백핸드 커트 ,백핸드 쇼트 ,Matching,72
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-406,1212,-364,292,0,-244,1779,129,0,416
-231,1386,-570,892,0,-67,1779,129,0,416
-285,1414,-809,1219,0,195,1779,129,0,416
-566,1408,-952,1373,0,382,1670,128,0,419
-695,1156,-1180,1305,0,462,1498,126,0,422
-834,910,-1366,1042,0,523,1498,126,0,422
-967,547,-1230,594,0,645,1272,124,0,428
-1096,329,-963,379,0,753,1272,124,0,428
-1195,143,-685,394,0,854,1166,124,0,429
-1215,52,-571,529,0,855,914,124,0,434
-1043,-50,-495,702,0,782,914,124,0,434
-880,24,-380,680,0,775,854,123,0,436
-671,211,-46,558,0,855,1000,126,0,439
-584,299,184,504,0,899,1000,126,0,439
-661,329,247,467,0,853,1322,131,0,440
-734,279,154,255,0,620,1322,131,0,440
-952,232,42,-104,0,323,1650,133,0,440
-1187,59,-232,-897,0,-194,2286,142,0,438
-1261,-133,-173,-1638,0,-500,2286,142,0,438
-1787,-366,-354,-2492,0,-797,2906,146,0,438
-2172,-462,-967,-3281,0,-1123,3370,152,0,440
-2483,-454,-1340,-4153,0,-1171,3370,152,0,440
-2668,-685,-1282,-3938,0,-431,3852,152,0,446
-3680,-1802,-1158,-2267,0,1806,3852,152,0,446
-3945,-2614,-1165,-831,0,2727,2383,150,0,448
-2394,-2150,-1065,-55,0,2994,1426,146,0,452
-1073,-1271,-2171,179,0,2445,1426,146,4,452
135,-975,-1145,-247,0,2067,1310,145,0,452
705,-220,-752,69,0,859,1554,142,0,448
974,287,-1522,523,0,22,1554,142,0,448
631,141,-1815,189,0,-745,1022,139,0,443
443,-10,-1078,71,0,-1173,1022,139,0,443
216,82,-771,338,0,-1359,1232,138,0,441
-88,172,-1098,426,0,-1359,1406,137,0,437
-302,209,-1262,268,0,-1318,1406,137,0,437
-825,288,-1161,4,0,-1168,1342,137,0,436
-1202,312,-1171,-101,0,-1108,998,138,0,435
-1140,375,-1085,-158,0,-873,998,138,0,435
-682,454,-405,38,0,-349,1123,138,0,434
-422,668,45,726,0,406,1123,138,0,434
-648,788,-284,1006,0,537,1187,138,0,434
-730,708,-704,712,0,210,1119,139,0,433
-642,634,-856,203,0,-116,1119,139,0,433
-553,702,-617,-411,0,-400,1170,139,0,432
-530,766,-348,-535,0,-578,1340,140,0,430
-524,750,-315,-294,0,-727,1340,140,0,430
-433,776,-595,269,0,-679,1733,138,0,429
-416,916,-918,675,0,-346,1733,138,0,429
-710,1175,-1149,1020,0,102,1654,133,0,426
-793,1278,-1218,1163,0,322,1654,133,0,426
-990,1499,-1308,1281,0,397,1654,133,0,426
-1061,1417,-1568,1215,0,192,1654,133,0,426
-878,810,-1553,764,0,-88,1578,131,0,425
-1100,350,-1293,415,0,-282,1578,131,0,425
-1253,-101,-1121,182,0,-551,1428,130,0,425
-1364,16,-1107,238,0,-750,958,129,0,422
-943,324,-1204,253,0,-750,958,129,0,422
-575,456,-1049,193,0,-516,958,129,0,422
-529,560,-885,64,0,-365,755,129,0,421
-470,515,-699,-181,0,-319,755,129,0,421

