백핸드 커트 ,백핸드 커트 ,Matching,76
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-460,845,-904,676,0,319,1427,132,0,432
-555,917,-961,807,0,368,1427,132,0,432
-646,843,-991,890,0,355,1427,132,0,432
-677,740,-1044,935,0,324,1244,131,0,436
-713,612,-1064,899,0,332,1244,131,0,436
-810,525,-1105,766,0,362,1034,130,0,438
-866,372,-1074,465,0,400,1034,130,0,438
-790,256,-868,249,0,464,797,132,0,440
-727,201,-481,165,0,563,660,132,0,443
-711,174,-383,173,0,549,660,132,0,443
-568,144,-348,125,0,472,641,133,0,446
-595,116,-341,27,0,421,641,133,0,446
-571,152,-234,-138,0,313,652,135,0,446
-526,185,-175,-256,0,237,719,136,0,447
-503,228,-87,-415,0,179,759,138,0,448
-505,261,-3,-508,0,123,942,140,0,449
-631,236,9,-599,0,30,1333,144,0,449
-725,207,19,-697,0,-201,1333,144,0,449
-932,176,-94,-793,0,-424,1696,146,0,450
-1308,137,-376,-1112,0,-780,2175,150,0,452
-1693,130,-570,-1541,0,-1036,2175,150,0,452
-2090,107,-444,-2079,0,-1160,2212,155,0,457
-2158,-41,-86,-2121,0,-656,2212,155,0,457
-2173,-551,474,-1335,0,1045,2101,156,0,465
-2498,-1049,60,-558,0,2347,2101,156,0,465
-2533,-1414,-730,-433,0,2951,1255,156,0,472
-2025,-1278,-967,-939,0,2800,1255,156,0,472
-1429,-996,-616,-962,0,2130,1108,155,3,475
-542,-656,-614,-713,0,1370,1338,155,0,475
-385,-435,-910,-365,0,1136,1713,153,0,475
-516,-393,-1482,-125,0,889,1713,153,0,475
-488,-529,-1744,-170,0,478,1550,152,0,473
-339,-492,-1658,-394,0,-210,1249,150,0,469
-28,-313,-1376,-436,0,-568,1249,150,0,469
21,-66,-1237,-298,0,-771,1261,149,0,467
15,45,-1233,-208,0,-892,1305,145,0,461
-90,187,-1107,-99,0,-994,1305,145,0,461
-222,284,-1142,130,0,-1124,1411,143,0,455
-359,228,-1281,196,0,-1222,1411,143,0,455
-573,203,-1327,145,0,-1475,1345,141,0,452
-497,206,-1237,138,0,-1572,1345,137,0,447
-468,306,-959,374,0,-1388,1345,137,0,447
-573,355,-968,739,0,-1099,1588,135,0,446
-842,466,-1228,1136,0,-782,1618,132,0,443
-960,538,-1375,1225,0,-640,1618,132,0,443
-964,648,-1464,1123,0,-577,1381,130,0,442
-890,749,-1314,808,0,-601,1288,128,0,442
-741,758,-1067,547,0,-651,1085,128,0,441
-550,676,-656,368,0,-571,1081,125,0,441
-592,582,-484,390,0,-453,1081,125,0,441
-687,509,-447,554,0,-333,1195,124,0,441
-749,312,-515,697,0,-250,1254,122,0,442
-873,34,-667,766,0,-78,1403,121,0,442
-1063,-137,-779,732,0,59,1520,118,0,443
-1306,-313,-997,579,0,79,1520,118,0,443
-1327,-359,-1133,340,0,-21,1273,117,0,444
-1147,-393,-1090,28,0,-118,761,117,0,445
-821,-177,-807,-300,0,-164,761,117,0,445
-512,7,-570,-339,0,-103,758,116,0,446
-403,236,-497,-187,0,29,778,113,0,447

