백핸드 커트 ,백핸드 쇼트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-472,-501,898,-67,0,-194,1147,64,0,7286
-424,-526,966,-77,0,-121,1147,64,0,7286
-403,-523,942,-64,0,-11,1147,53,0,7283
-435,-510,828,-106,0,30,1147,53,0,7283
-476,-481,807,-255,0,-13,1171,33,0,7278
-471,-473,934,-343,0,-103,1171,33,0,7278
-465,-443,1008,-297,0,-200,1150,19,0,7274
-452,-435,994,-240,0,-249,1128,11,0,7269
-364,-427,957,-206,0,-264,1128,11,0,7269
-298,-423,940,-227,0,-238,1128,11,0,7269
-266,-411,886,-294,0,-193,1128,11,0,7269
-268,-373,946,-370,0,-166,1128,11,0,7269
-269,-364,1034,-355,0,-180,1128,14,0,7270
-189,-342,1076,-257,0,-193,1116,15,0,7269
-192,-322,1059,-188,0,-172,1115,17,0,7269
-283,-345,966,-217,0,-196,1164,20,0,7269
-240,-454,1014,-291,0,-244,1206,24,0,7269
-205,-426,1117,-281,0,-249,1206,24,0,7269
-279,-453,1104,-287,0,-244,1191,26,0,7269
-298,-521,1115,-330,0,-258,1087,29,0,7269
-245,-540,1105,-370,0,-287,1087,29,0,7269
-128,-572,1015,-437,0,-357,1008,32,0,7271
105,-471,732,-632,0,-500,1042,33,0,7272
294,-399,476,-896,0,-682,1383,34,0,7273
786,-247,219,-1222,0,-825,2150,34,0,7277
786,-42,-148,-1375,0,-638,2150,34,0,7277
-328,561,-896,-1799,0,-557,3147,33,0,7279
-1010,889,-441,-1843,0,-805,5648,30,0,7286
-2437,700,1757,810,0,-1098,5648,30,0,7286
-7071,-98,-1196,4952,0,-2809,3452,34,0,7318
-1442,-6034,-2919,1656,0,-2015,3452,34,0,7318
5380,-9981,-254,-1413,0,2860,3452,34,0,7318
3210,-2106,-670,-4340,0,9983,1781,32,0,7333
727,2051,236,-4642,0,11647,1197,24,0,7353
-834,2007,537,-2912,0,9306,1197,24,0,7353
311,78,133,-2208,0,5856,2009,18,0,7357
1688,-1218,741,-1936,0,2690,1724,9,0,7360
1638,-1290,1365,-1559,0,1646,1724,9,0,7360
821,-1021,1547,-1124,0,1186,1438,5,0,7361
151,-650,1488,-690,0,764,1166,5,0,7362
-9,-571,1287,-468,0,545,1166,5,0,7362
-296,-465,1187,-221,0,352,1032,5,0,7363
-363,-345,1047,-46,0,218,1000,5,0,7363
-340,-293,858,58,0,124,1032,6,0,7363
-451,-239,845,110,0,117,1101,6,0,7363
-644,-151,798,170,0,107,1101,6,0,7363
-737,-149,794,217,0,55,1110,6,0,7363
-745,-139,739,227,0,5,1188,8,0,7362
-787,-167,706,190,0,-11,1188,8,0,7362
-868,-192,739,150,0,-32,1221,9,0,7362
-934,-201,772,116,0,-109,1220,9,0,7361
-959,-214,720,52,0,-179,1223,10,0,7361
-1036,-202,687,-105,0,-304,1173,12,0,7358
-1020,-221,753,-194,0,-411,1173,12,0,7358
-928,-230,727,-182,0,-514,1149,13,0,7357
-924,-206,632,-159,0,-555,1167,15,0,7355
-969,-213,574,-209,0,-597,1167,15,0,7355
-1001,-216,563,-259,0,-640,1167,17,0,7352
-1003,-201,540,-306,0,-690,1167,17,0,7352
-1003,-179,547,-370,0,-742,1185,20,0,7346

