백핸드 드라이브 ,백핸드 커트 ,Matching,20
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-817,748,-207,-167,0,222,1170,92,0,3674
-868,794,-193,-99,0,265,1151,91,0,3676
-859,776,-190,-52,0,284,1146,92,0,3678
-827,763,-173,-10,0,340,1155,91,0,3680
-872,754,-192,-31,0,373,1140,92,0,3681
-902,786,-268,-123,0,348,1140,92,0,3681
-820,801,-151,-206,0,312,1128,93,0,3683
-767,862,-109,-128,0,323,1128,93,0,3683
-780,829,-228,-25,0,343,1084,93,0,3683
-789,776,-213,-17,0,325,1062,95,0,3686
-712,663,-233,-39,0,359,1062,95,0,3686
-760,695,-346,-87,0,432,1062,95,0,3686
-820,723,-398,-162,0,471,1062,95,0,3686
-724,789,-377,-82,0,473,1062,95,0,3686
-641,864,-397,77,0,455,1062,95,0,3686
-523,889,-291,222,0,533,999,95,0,3688
-534,851,-250,245,0,577,952,94,0,3689
-671,770,-297,54,0,501,849,93,0,3691
-503,716,-292,-185,0,396,849,93,0,3691
-229,711,-160,-327,0,416,975,91,0,3693
-327,799,-163,-230,0,520,1119,89,0,3694
-749,753,-414,-184,0,450,1119,89,0,3694
-621,722,-366,-212,0,267,1266,87,0,3694
113,585,-247,1,0,306,1861,82,0,3691
510,583,-374,42,0,618,1861,82,0,3691
606,569,-702,-149,0,875,2600,79,0,3690
629,633,-832,-385,0,987,2945,75,0,3688
758,915,-1060,-157,0,776,4237,62,0,3679
1016,966,-2132,158,0,-62,4237,62,0,3679
1929,923,-2643,218,0,-945,4237,62,0,3679
2544,87,-2995,721,0,-1868,5397,52,0,3672
2159,-605,-3739,1338,0,-2447,5397,52,0,3672
1689,-2043,-4502,2249,0,-3096,5650,49,0,3671
1357,-2779,-4354,3330,0,-3499,6101,51,0,3682
225,-2869,-3758,5453,0,-4008,6101,51,0,3682
-746,-3030,-5324,6501,0,-4559,6036,56,0,3694
-682,-4253,-5055,6146,0,-4847,5167,70,0,3720
-1626,-4091,-3671,6086,0,-4473,5167,70,0,3720
-1825,-3814,-3300,6575,0,-3674,4982,76,0,3728
-2830,-3335,-3005,7131,0,-2230,4516,87,0,3741
-2991,-3541,-3047,6838,0,-1291,4516,87,0,3741
-2958,-3895,-1967,5692,0,-307,3431,92,0,3746
-2649,-3778,-1358,4654,0,221,3431,92,0,3746
-2171,-3215,-584,3366,0,737,2965,93,0,3749
-2173,-2652,-496,2597,0,855,2250,95,0,3754
-2068,-2434,-558,1895,0,716,2250,95,0,3754
-1838,-1916,-357,1173,0,462,1843,96,0,3755
-1594,-1584,-222,828,0,306,1740,96,0,3758
-1422,-1208,-189,617,0,234,1614,97,0,3759
-1379,-1052,-167,511,0,241,1434,98,0,3761
-1374,-888,-196,322,0,233,1434,98,0,3761
-1272,-792,-180,143,0,194,1365,98,0,3762
-1217,-668,-151,-46,0,148,1324,100,0,3765
-1199,-572,-127,-141,0,111,1324,100,0,3765
-1234,-461,-135,-229,0,45,1324,101,0,3765
-1256,-442,-186,-286,0,-42,1299,101,0,3764
-1248,-438,-213,-335,0,-149,1299,101,0,3764
-1216,-426,-244,-416,0,-268,1284,103,0,3765
-1185,-446,-269,-489,0,-297,1284,103,0,3765
-1114,-477,-261,-559,0,-244,1330,102,0,3764

