백핸드 쇼트 ,백핸드 커트 ,Matching,33
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-677,197,226,327,0,359,921,82,0,7386
-909,34,6,266,0,398,1030,83,0,7389
-820,-131,-19,52,0,396,1030,83,0,7389
-895,-184,-332,-82,0,395,1088,84,0,7388
-944,-145,-284,-248,0,365,1223,84,0,7389
-1057,65,-68,-123,0,328,1223,84,0,7389
-1158,292,-84,186,0,265,1264,84,0,7391
-1159,145,-487,434,0,197,1264,84,0,7391
-1122,-37,-539,466,0,167,1284,84,0,7392
-1275,-109,-552,390,0,56,1128,82,0,7394
-1233,-144,-574,177,0,-40,1128,82,0,7394
-1210,70,-389,-55,0,-52,922,82,0,7397
-1184,111,-396,-112,0,31,922,82,0,7397
-864,-6,-261,-48,0,375,943,81,0,7399
-679,19,-187,118,0,847,1290,79,0,7403
-815,60,-123,312,0,1413,1290,79,0,7403
-1114,183,-61,373,0,1543,1444,79,0,7404
-1460,311,-172,262,0,1218,1364,78,0,7403
-1667,508,-374,-249,0,33,1364,78,0,7403
-1245,587,-153,-604,0,-1186,1348,78,0,7402
40,190,-93,-434,0,-2327,2985,79,0,7402
1396,-171,-530,-43,0,-2248,2985,79,0,7402
2330,-680,-1477,-329,0,-430,3194,77,0,7408
1206,-555,-1673,-964,0,1735,3194,77,0,7408
-2450,683,-839,-678,0,3250,3687,76,0,7412
-3894,1014,-1020,865,0,2276,3021,70,0,7419
-2312,333,-2910,2247,0,832,3021,70,0,7419
-119,-741,-3800,2608,0,328,1796,69,0,7422
-64,-724,-3116,2283,0,537,1796,69,0,7422
-699,-16,-1590,1579,0,749,1856,71,0,7421
-1090,298,-559,1047,0,681,2719,76,1,7417
-1592,565,735,324,0,388,2719,76,0,7417
-1913,645,1403,-351,0,196,2970,79,0,7414
-2168,890,2218,-1184,0,32,2603,83,0,7408
-2037,865,2437,-1588,0,-51,2603,83,0,7408
-1786,690,2269,-1616,0,-188,2080,84,0,7406
-1746,596,1833,-1410,0,-382,1586,84,0,7402
-1565,584,1507,-1180,0,-586,1586,84,0,7402
-1203,588,1183,-870,0,-732,1301,84,0,7399
-1121,555,891,-687,0,-751,1301,84,0,7399
-1125,518,668,-515,0,-776,1152,84,0,7396
-973,462,625,-402,0,-777,1065,82,0,7394
-838,423,551,-271,0,-702,1065,82,0,7394
-822,413,527,-171,0,-621,1075,81,0,7393
-861,404,536,-15,0,-564,1063,80,0,7390
-928,385,504,104,0,-557,1063,80,0,7390
-912,380,411,185,0,-553,1055,78,0,7387
-914,376,327,194,0,-543,1055,78,0,7387
-949,333,255,138,0,-536,1074,77,0,7386
-919,290,299,91,0,-530,1172,74,0,7384
-1027,273,329,126,0,-515,1172,74,0,7384
-1107,242,317,239,0,-508,1171,71,0,7383
-1050,215,334,367,0,-481,1171,71,0,7383
-1081,195,256,514,0,-375,1214,69,0,7384
-1169,153,259,560,0,-293,1227,64,0,7387
-1179,42,274,619,0,-210,1227,64,0,7387
-1230,-28,213,618,0,-152,1209,61,0,7388
-1305,-109,227,592,0,-132,1040,55,0,7393
-1192,-173,375,595,0,-155,1040,55,0,7393
-947,-244,497,734,0,-182,962,53,0,7396

