백핸드 쇼트 ,포핸드 쇼트 ,Matching,35
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-1086,14,-246,140,0,-110,994,86,0,7206
-977,-38,-242,87,0,-136,896,85,0,7209
-798,-103,-128,4,0,22,896,85,0,7209
-800,-26,-7,-20,0,206,1039,85,0,7210
-918,50,-95,45,0,370,1150,85,0,7212
-1061,15,-140,12,0,428,1171,85,0,7213
-1194,44,-153,-83,0,426,1141,83,0,7214
-1243,133,-4,-145,0,354,1141,83,0,7214
-1182,196,84,-86,0,194,1058,83,0,7215
-1098,196,22,-22,0,110,1006,82,0,7217
-965,133,-81,-43,0,89,1006,82,0,7217
-964,88,-104,-84,0,134,1057,81,0,7217
-1068,134,-147,-124,0,175,1016,80,0,7219
-1022,282,-130,-174,0,209,1016,80,0,7219
-977,310,-52,-106,0,288,1008,78,0,7220
-926,218,9,167,0,416,1093,77,0,7222
-798,54,-77,333,0,594,1093,77,0,7222
-657,-40,-268,211,0,894,1459,77,0,7222
-710,128,-385,-166,0,974,1459,77,0,7222
-1284,578,-144,-614,0,468,1526,77,0,7222
-1419,725,155,-601,0,-496,1422,77,0,7219
-1119,520,150,-200,0,-1620,1422,77,0,7219
410,-291,-429,132,0,-2281,2151,76,0,7219
1808,-1107,-1141,-391,0,-1349,2151,76,0,7219
893,-610,-1398,-1527,0,1312,2518,76,0,7221
-1934,554,-996,-1415,0,2473,2916,70,0,7225
-3044,323,-1066,712,0,1236,2916,70,0,7225
-1328,-218,-2845,2672,0,-38,2588,67,0,7225
-387,-503,-3699,3331,0,-382,1480,67,0,7223
-88,-672,-2914,2661,0,-208,1480,67,0,7223
-638,-347,-1146,1576,0,-223,1662,69,0,7222
-1039,84,120,909,0,-450,2248,74,0,7218
-1220,339,1067,445,0,-578,2248,74,0,7218
-1392,385,1544,55,0,-451,2443,79,0,7214
-1892,377,1652,-161,0,-308,2443,79,0,7214
-2178,400,1522,-442,0,-299,2096,80,0,7211
-1926,379,1463,-528,0,-349,1761,82,0,7209
-1681,270,1307,-365,0,-369,1761,82,0,7209
-1646,232,1072,-220,0,-357,1453,83,0,7208
-1395,196,791,-141,0,-327,1300,83,0,7207
-1278,107,553,-189,0,-253,1300,83,0,7207
-1266,96,543,-262,0,-211,1186,84,0,7206
-1203,108,476,-261,0,-199,1186,84,0,7206
-1124,140,428,-245,0,-175,1154,85,0,7205
-1167,124,350,-228,0,-153,1089,86,0,7204
-1148,97,315,-196,0,-168,1089,86,0,7204
-1068,81,270,-120,0,-161,1071,86,0,7204
-1047,54,202,-76,0,-131,1081,88,0,7203
-1048,31,146,-62,0,-71,1081,88,0,7203
-1064,22,121,-71,0,-38,1093,88,0,7203
-1084,28,119,-84,0,-27,1093,88,0,7203
-1100,38,136,-73,0,-36,1072,88,0,7202
-1097,62,131,-55,0,-53,1042,89,0,7202
-1068,55,100,-32,0,-67,1042,89,0,7202
-1056,27,67,-21,0,-70,1023,89,0,7202
-1025,16,24,-51,0,-42,1023,88,0,7202
-993,11,31,-89,0,-1,1031,88,0,7202
-1000,-5,45,-82,0,58,1061,88,0,7203
-1048,13,42,-36,0,89,1061,88,0,7203
-1100,45,0,5,0,65,1008,87,0,7204

