백핸드 쇼트 ,포핸드 커트 ,Matching,25
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-1071,-40,176,122,0,195,1106,87,0,7208
-1092,-64,145,160,0,172,1133,87,0,7209
-1150,-89,97,176,0,115,1127,88,0,7211
-1098,-106,19,145,0,45,1151,88,0,7214
-1102,-48,21,89,0,54,1151,88,0,7214
-1182,-45,-19,40,0,92,1109,87,0,7216
-1127,-50,-15,30,0,146,1093,87,0,7220
-1034,-45,11,75,0,292,1093,87,0,7220
-1038,-30,42,166,0,424,1175,86,0,7222
-1126,-16,20,266,0,519,1249,85,0,7227
-1103,-3,-85,258,0,534,1249,85,0,7227
-1139,-9,-158,153,0,497,1275,85,0,7228
-1456,-1,-239,-83,0,233,990,84,0,7232
-1545,107,-188,-248,0,-124,990,84,0,7232
-1265,121,-65,-249,0,-471,723,83,0,7235
-854,-80,-6,-42,0,-388,723,83,0,7235
-95,-439,-149,222,0,416,1086,81,0,7238
186,-415,-280,229,0,1535,1615,81,0,7241
-520,210,-166,136,0,2703,1873,80,0,7243
-1691,633,144,227,0,2531,1934,79,0,7244
-2530,664,199,420,0,1143,1934,79,0,7244
-1554,171,-557,264,0,-1656,2333,78,0,7242
492,-286,-1045,-540,0,-3074,3426,79,0,7243
4407,-1596,-810,-1941,0,-1934,3426,79,0,7243
2496,-414,-463,-1825,0,1023,4659,77,0,7245
-4458,1946,32,32,0,2623,4366,66,0,7250
-3393,708,-1678,2402,0,1229,4366,66,0,7250
-1057,-306,-4937,4227,0,58,3709,63,0,7250
-354,-695,-5129,3697,0,68,1583,59,0,7251
-290,-573,-3297,2493,0,144,1583,59,0,7251
-465,-230,-1000,1259,0,135,2021,63,0,7251
-878,103,181,612,0,78,2021,63,0,7251
-1348,275,1019,-103,0,-90,2470,66,0,7251
-1894,387,1601,-555,0,-190,2415,71,0,7248
-2200,393,2055,-774,0,-462,2415,71,0,7248
-1997,300,1866,-740,0,-712,2098,73,0,7247
-1673,338,1703,-683,0,-864,1650,76,0,7246
-1376,344,1346,-669,0,-780,1650,76,0,7246
-1256,212,1212,-682,0,-486,1549,78,0,7246
-1217,126,1142,-590,0,-258,1549,78,0,7246
-1291,107,983,-443,0,-66,1439,79,0,7247
-1347,172,736,-285,0,67,1291,80,0,7248
-1326,186,620,-236,0,87,1291,80,0,7248
-1255,177,472,-225,0,52,1234,80,0,7249
-1226,163,434,-225,0,-11,1128,80,0,7252
-1153,137,419,-198,0,-114,1128,80,0,7252
-1083,95,394,-172,0,-158,1103,80,0,7252
-1057,62,364,-138,0,-174,1082,81,0,7253
-1057,68,346,-106,0,-170,1082,81,0,7253
-1011,66,302,-63,0,-148,1120,82,0,7254
-1040,64,279,-61,0,-97,1120,82,0,7254
-1077,45,272,-67,0,-55,1130,81,0,7256
-1069,9,302,-38,0,-20,1163,81,0,7257
-1067,35,351,21,0,-9,1163,81,0,7257
-1131,80,326,78,0,-25,1148,81,0,7257
-1142,56,280,66,0,-54,1141,81,0,7258
-1106,13,305,0,0,-97,1137,81,0,7259
-1063,29,370,-14,0,-125,1157,81,0,7261
-1143,8,414,3,0,-179,1157,81,0,7261
-1121,-29,409,35,0,-225,1125,81,0,7261

