백핸드 스메싱 ,포핸드 커트 ,Matching,20
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-712,232,581,-948,0,1097,891,76,0,4029
-710,276,433,-903,0,1028,938,74,0,4026
-735,264,306,-946,0,929,1035,69,0,4015
-863,279,373,-961,0,852,1035,69,0,4015
-919,360,532,-847,0,711,1035,69,0,4015
-821,396,496,-727,0,689,1035,69,0,4015
-840,448,444,-691,0,711,1035,69,0,4015
-800,496,380,-766,0,697,1262,73,0,4021
-771,535,531,-865,0,662,1262,73,0,4021
-754,721,764,-798,0,679,1235,76,0,4024
-594,780,699,-669,0,811,1243,78,0,4027
-796,834,371,-662,0,1007,1276,80,0,4031
-1069,767,274,-756,0,961,1184,83,0,4036
-1177,844,403,-713,0,703,1184,83,0,4036
-849,817,511,-621,0,797,1091,85,0,4039
-677,612,240,-651,0,1226,1308,89,0,4043
-536,396,196,-949,0,1610,1308,89,0,4043
-256,303,103,-1324,0,1758,2607,89,0,4044
436,510,-367,-1653,0,1639,4364,92,0,4042
989,629,-1075,-1983,0,1323,4364,92,0,4042
1516,300,-2212,-2281,0,801,5953,92,0,4036
1724,249,-3608,-2693,0,293,5953,92,0,4036
1818,-20,-5016,-2995,0,-920,6847,93,0,4029
1663,-959,-5518,-2602,0,-2273,8299,92,0,4013
-148,-2973,-5442,-632,0,-4651,8299,92,0,4013
-1099,-3471,-6902,1403,0,-6701,8775,90,0,4002
-1392,-4331,-7942,4220,0,-7014,8234,90,0,3812
-2018,-5383,-9040,5331,0,-6698,8234,90,0,3812
-3463,-5360,-6755,5716,0,-6045,6713,93,0,3806
-3621,-5354,-5485,6226,0,-5870,6713,93,0,3806
-3105,-5345,-4506,6598,0,-4977,5823,94,0,3803
-3616,-4996,-3064,6948,0,-2805,4295,93,0,3801
-3857,-4582,-2228,6623,0,-1316,4295,93,0,3801
-3610,-3583,-1391,5034,0,244,2888,96,0,3806
-3559,-3167,-582,3231,0,696,2888,96,0,3806
-2784,-2084,377,1550,0,565,2309,97,0,3807
-2248,-1511,334,827,0,423,1708,100,0,3811
-1834,-972,348,251,0,353,1708,100,0,3811
-1696,-522,293,61,0,365,1624,101,0,3812
-1671,-368,297,33,0,317,1466,102,0,3814
-1696,-205,167,94,0,191,1466,102,0,3814
-1649,-104,-66,25,0,32,1290,103,0,3816
-1315,-124,-148,-317,0,-82,1238,104,0,3817
-1092,-144,-68,-585,0,24,1238,104,0,3817
-1200,21,299,-599,0,192,1244,105,0,3820
-1314,128,88,-423,0,207,1244,105,0,3820
-1263,66,-194,-482,0,118,1213,105,0,3820
-1228,26,-142,-660,0,39,1184,105,0,3821
-1168,121,64,-716,0,-63,1184,105,0,3821
-1117,167,75,-641,0,-121,1263,104,0,3821
-1199,185,-22,-586,0,-181,1263,104,0,3821
-1235,169,-160,-591,0,-318,1271,102,0,3820
-1132,75,-305,-678,0,-387,1415,101,0,3821
-1127,58,-371,-879,0,-318,1415,101,0,3821
-1334,90,-255,-975,0,-292,1468,100,0,3820
-1440,169,-143,-919,0,-420,1489,97,0,3817
-1431,140,-247,-815,0,-567,1489,97,0,3817
-1467,162,-240,-746,0,-664,1484,92,0,3811
-1418,232,-244,-700,0,-669,1484,92,0,3811
-1406,147,-278,-654,0,-627,1529,89,0,3808

