백핸드 스메싱 ,백핸드 쇼트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-1806,-1505,313,741,0,-79,1546,95,0,4522
-1268,-913,227,350,0,-111,1519,95,0,4521
-1361,-616,170,215,0,-53,1545,99,0,4520
-1523,-477,47,107,0,-105,1545,99,0,4520
-1570,-426,34,-120,0,-256,1469,101,0,4518
-1500,-397,-12,-319,0,-401,1469,101,0,4518
-1374,-523,-98,-650,0,-530,1469,102,0,4517
-1354,-505,-28,-824,0,-615,1505,103,0,4515
-1395,-470,78,-906,0,-671,1505,103,0,4515
-1421,-507,43,-858,0,-714,1502,104,0,4514
-1278,-619,-217,-922,0,-699,1600,105,0,4511
-1334,-619,-254,-1131,0,-639,1600,105,0,4511
-1392,-676,-331,-1501,0,-612,1619,104,0,4511
-1367,-650,-259,-1714,0,-650,1742,104,0,4509
-1386,-594,-318,-1814,0,-723,1742,104,0,4509
-1533,-591,-359,-1813,0,-919,1803,103,0,4507
-1590,-696,-453,-1788,0,-1115,1806,103,0,4508
-1467,-901,-493,-1824,0,-1261,1824,101,0,4507
-1432,-963,-423,-1924,0,-1207,1896,98,0,4505
-1354,-1104,-514,-2154,0,-930,1896,98,0,4505
-1341,-1173,-463,-2338,0,-629,1978,96,0,4504
-1505,-1184,-540,-2432,0,-325,1970,91,0,4500
-1489,-1289,-783,-2486,0,-193,1970,91,0,4500
-1545,-1141,-577,-2454,0,-91,1939,88,0,4498
-1699,-1043,-657,-2246,0,-123,1899,85,0,4494
-1634,-1072,-798,-2177,0,-250,1701,81,0,4488
-1524,-881,-617,-2048,0,-446,1469,74,0,4476
-1501,-713,-495,-1862,0,-622,1469,74,0,4476
-1429,-665,-558,-1599,0,-880,1277,71,0,4468
-1307,-628,-538,-1463,0,-1041,1210,66,0,4460
-1193,-537,-386,-1304,0,-1174,1066,63,0,4453
-1109,-446,-323,-1152,0,-1264,821,57,0,4441
-909,-396,-211,-955,0,-1291,821,57,0,4441
-733,-383,-177,-794,0,-1219,800,55,0,4437
-661,-284,-158,-677,0,-1067,897,52,0,4429
-803,-168,-75,-554,0,-880,897,52,0,4429
-876,-94,-34,-473,0,-799,923,50,0,4426
-913,-135,-23,-416,0,-789,924,46,0,4420
-920,-126,24,-400,0,-820,924,46,0,4420
-936,-19,158,-357,0,-876,891,44,0,4415
-944,3,194,-303,0,-934,891,44,0,4415
-833,21,243,-252,0,-956,916,43,0,4413
-786,25,313,-217,0,-880,1020,42,0,4411
-812,6,390,-167,0,-755,1050,41,0,4410
-877,-51,472,-55,0,-530,1081,41,0,4408
-888,-68,493,-23,0,-397,1098,40,0,4406
-887,-98,508,-19,0,-287,1098,40,0,4406
-925,-118,568,-25,0,-195,1134,40,0,4405
-970,-122,602,-28,0,-159,1122,40,0,4404
-966,-129,649,-12,0,-169,1122,40,0,4404
-902,-124,682,21,0,-200,1104,38,0,4402
-840,-139,680,34,0,-217,1104,38,0,4402
-793,-194,725,26,0,-211,1126,39,0,4401
-732,-258,767,27,0,-182,1162,37,0,4400
-684,-349,781,50,0,-103,1162,37,0,4400
-706,-424,755,51,0,-27,1231,36,0,4399
-832,-517,687,-8,0,32,1267,34,0,4398
-908,-598,701,-80,0,24,1267,34,0,4398
-845,-661,714,-130,0,-7,1239,33,0,4397
-694,-724,750,-141,0,-1,1222,30,0,4395

