백핸드 스메싱 ,포핸드 스메싱 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-615,-21,597,-1338,0,1582,935,77,0,5107
-653,139,528,-1073,0,1639,935,77,0,5107
-741,247,421,-930,0,1577,1077,78,0,5098
-722,222,436,-821,0,1426,1077,78,0,5098
-653,281,422,-788,0,1398,1077,78,0,5098
-691,327,400,-811,0,1389,1077,78,0,5098
-731,395,403,-860,0,1371,1077,78,0,5098
-848,487,452,-871,0,1321,1091,82,0,5104
-935,511,402,-837,0,1135,1091,82,0,5104
-868,574,396,-819,0,905,1062,84,0,5106
-665,638,533,-697,0,760,1062,86,0,5109
-466,689,614,-444,0,765,1070,90,0,5112
-245,730,409,-286,0,946,1070,90,0,5112
-450,551,114,-473,0,1235,1405,95,0,5116
-860,396,585,-969,0,1445,1405,95,0,5116
-846,312,567,-1023,0,1389,1898,101,0,5113
-343,267,362,-1273,0,1190,1898,101,0,5113
523,420,-58,-1604,0,1094,1898,101,0,5113
1120,759,-979,-2222,0,1131,4347,103,0,5110
873,901,-1811,-2512,0,689,6392,105,0,5095
964,390,-3246,-2509,0,-676,6392,105,0,5095
1672,-71,-4295,-2151,0,-1724,8965,103,0,4979
2116,-907,-5251,-1481,0,-2355,8965,103,0,4979
381,-2600,-7022,-633,0,-3711,8965,103,0,4979
-1358,-3891,-7093,-311,0,-5654,11843,98,0,4917
-1393,-5956,-6341,2675,0,-7368,11843,98,0,4917
-1890,-7530,-9503,5522,0,-7692,11228,98,0,4903
-2562,-9223,-9825,6127,0,-6418,8857,100,0,4888
-3841,-7783,-7643,6066,0,-5639,8857,100,0,4888
-4680,-7223,-5735,6243,0,-5692,5814,102,0,4877
-4505,-6448,-4559,6372,0,-5958,5814,102,0,4877
-2933,-6320,-2784,6520,0,-4216,5814,102,0,4877
-4044,-5527,-2117,6244,0,-1775,3866,102,0,4877
-4087,-4612,-1648,4825,0,-269,3866,102,0,4877
-3796,-3443,-539,2457,0,341,2015,104,0,4877
-3114,-2533,-49,1241,0,71,2015,104,0,4877
-1968,-1326,323,584,0,-308,1656,106,0,4874
-1536,-887,158,381,0,-417,1481,108,0,4873
-1443,-651,53,208,0,-355,1481,108,0,4873
-1466,-559,-57,63,0,-318,1399,109,0,4872
-1414,-435,-172,-232,0,-400,1272,111,0,4870
-1266,-351,-98,-459,0,-478,1272,111,0,4870
-1117,-406,-58,-585,0,-504,1394,113,0,4869
-1229,-332,-74,-658,0,-502,1509,115,0,4867
-1225,-364,-209,-800,0,-576,1509,115,0,4867
-1276,-491,-244,-1058,0,-691,1687,116,0,4865
-1425,-527,-268,-1186,0,-787,1687,116,0,4865
-1451,-640,-295,-1298,0,-867,1797,115,0,4865
-1519,-744,-428,-1440,0,-891,1850,114,0,4863
-1481,-882,-494,-1771,0,-873,1850,114,0,4863
-1407,-958,-361,-1950,0,-764,2012,113,0,4861
-1474,-950,-378,-1962,0,-565,2222,110,0,4862
-1710,-948,-702,-1956,0,-490,2222,110,0,4862
-1862,-1002,-801,-2070,0,-504,2169,105,0,4860
-1782,-1216,-870,-2191,0,-551,2169,105,0,4860
-1578,-1266,-903,-2186,0,-459,2106,101,0,4859
-1456,-1246,-950,-2157,0,-117,2078,93,0,4857
-1542,-1139,-942,-2143,0,157,2078,93,0,4857
-1662,-1062,-909,-2029,0,264,1945,88,0,4854
-1637,-1038,-993,-1937,0,168,1725,79,0,4845

