백핸드 스메싱 ,백핸드 커트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-847,104,617,-1636,0,1570,1147,96,0,6902
-850,204,551,-1486,0,1534,1147,96,0,6902
-874,306,452,-1408,0,1526,1147,96,0,6902
-927,331,285,-1387,0,1505,1147,96,0,6902
-1097,368,322,-1351,0,1427,1147,96,0,6902
-1106,384,332,-1253,0,1266,1147,96,0,6902
-1039,492,254,-1159,0,1159,1147,96,0,6902
-964,605,150,-1061,0,1061,1163,98,0,6906
-926,646,2,-992,0,974,1197,99,0,6909
-852,828,-54,-904,0,909,1212,100,0,6912
-616,814,-115,-629,0,1008,1390,100,0,6914
-781,981,-314,-333,0,1203,1534,101,0,6920
-852,949,-478,-141,0,1475,1534,101,0,6920
-944,1030,-262,-8,0,1606,1700,101,0,6922
-533,1008,39,238,0,1669,2235,103,0,6920
-59,888,43,259,0,1704,2235,103,0,6920
370,777,-29,-56,0,1491,2235,103,0,6920
919,582,-316,-483,0,964,3828,106,0,6915
1830,114,-1338,-1348,0,301,3828,106,0,6915
2068,2,-2346,-2211,0,-59,6477,108,0,6902
1953,-698,-3181,-2797,0,-612,6477,108,0,6902
1909,-1506,-4704,-2994,0,-1616,7606,109,0,6890
1531,-2008,-5408,-2552,0,-2690,8016,106,0,6853
150,-3556,-5593,-738,0,-4822,8016,106,0,6853
-176,-4383,-6180,1610,0,-6521,9672,104,1,6804
-1100,-5078,-9150,4702,0,-7247,8864,103,0,6723
-1797,-7619,-9599,4679,0,-6935,8864,103,0,6723
-4073,-6501,-6799,4728,0,-6782,6870,102,0,6701
-4028,-6208,-5329,4871,0,-6934,6870,102,0,6701
-3131,-5841,-3481,5492,0,-5630,5985,101,0,6695
-3734,-5221,-2620,6327,0,-3820,5085,97,0,6689
-4189,-4678,-2421,6445,0,-2336,5085,97,0,6689
-4185,-3970,-1553,4987,0,-1275,3809,97,0,6688
-3525,-3555,-512,3410,0,-1017,2645,98,0,6688
-2447,-2740,193,1852,0,-706,2387,98,0,6687
-2025,-1936,198,1006,0,-432,1987,99,0,6687
-1869,-1277,271,313,0,-167,1568,101,0,6688
-1876,-930,245,74,0,-160,1568,101,0,6688
-1641,-591,43,-103,0,-307,1402,102,0,6687
-1466,-436,17,-266,0,-352,1402,102,0,6687
-1322,-402,43,-364,0,-335,1434,103,0,6688
-1313,-453,2,-389,0,-329,1503,104,0,6687
-1348,-448,-170,-486,0,-388,1503,104,0,6687
-1384,-515,-304,-760,0,-576,1501,106,0,6686
-1293,-597,-301,-968,0,-728,1501,106,0,6686
-1248,-606,-249,-1100,0,-859,1638,106,0,6686
-1334,-566,-314,-1147,0,-899,1787,107,0,6686
-1431,-631,-383,-1265,0,-905,1787,107,0,6686
-1498,-745,-370,-1353,0,-880,1897,107,0,6686
-1527,-878,-419,-1441,0,-796,1982,106,0,6685
-1573,-917,-542,-1573,0,-699,1982,106,0,6685
-1651,-923,-626,-1780,0,-603,1971,103,0,6685
-1716,-921,-677,-2055,0,-521,1971,103,0,6685
-1631,-956,-719,-2189,0,-456,1901,102,0,6685
-1554,-864,-729,-2234,0,-296,1884,97,0,6680
-1566,-875,-754,-2167,0,-174,1884,97,0,6680
-1616,-783,-704,-1989,0,-50,1822,93,0,6675
-1685,-707,-694,-1820,0,-50,1636,87,0,6656
-1584,-729,-861,-1698,0,-164,1636,87,0,6656
-1422,-721,-839,-1682,0,-294,1480,83,0,6639

