포핸드 커트 ,포핸드 커트 ,Matching,86
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
307,-253,1081,-427,0,320,1075,25,0,4091
314,-335,977,-382,0,474,1060,24,0,4093
178,-441,876,-432,0,602,1122,21,0,4094
-36,-523,871,-535,0,631,1122,21,0,4094
-90,-520,924,-526,0,527,1209,20,0,4095
-23,-711,951,-366,0,357,1242,16,0,4096
205,-772,737,-235,0,276,1242,16,0,4096
189,-891,762,-147,0,297,1296,12,0,4096
14,-874,632,-74,0,310,1296,12,0,4096
-105,-1035,698,-89,0,229,1364,10,0,4096
15,-1129,708,-118,0,135,1395,9,0,4096
155,-1106,679,-160,0,182,1417,6,0,4095
188,-1043,616,-262,0,413,1603,4,0,4095
-7,-918,707,-339,0,590,1603,4,0,4095
-493,-641,947,-197,0,544,2123,4,0,4094
-723,-502,1033,135,0,180,2855,4,0,4091
-155,-784,913,863,0,-515,2855,4,0,4091
996,-1469,618,1406,0,-479,4264,3,0,4088
2208,-2695,57,1360,0,464,5389,2,0,4083
526,-3971,-815,-424,0,1544,5389,2,0,4083
-2782,-5115,840,-2372,0,717,4921,1,0,4078
-4814,-4988,2689,-2627,0,-2047,1301,5,0,4065
-2183,-2797,101,-1911,0,-4181,1301,5,0,4065
454,-345,74,-1301,0,-4545,1996,9,0,4061
230,1293,1330,-292,0,-3392,2028,11,0,4057
-412,2167,1295,962,0,-2003,1525,15,0,4055
-381,1636,828,866,0,-1360,1027,22,0,4051
-331,690,884,379,0,-1021,1027,22,0,4051
-191,71,1097,66,0,-829,946,27,0,4047
-126,-5,1232,132,0,-767,946,27,0,4047
-12,-18,1013,283,0,-760,853,29,0,4046
93,-136,828,313,0,-784,864,32,0,4042
275,-232,759,274,0,-763,864,32,0,4042
313,-239,808,282,0,-681,819,33,0,4039
315,-167,786,407,0,-570,759,34,0,4036
344,-104,721,480,0,-481,759,34,0,4036
382,-78,639,507,0,-377,771,35,0,4035
391,-78,664,529,0,-301,771,35,0,4033
380,-43,679,573,0,-222,771,35,0,4033
344,32,676,654,0,-147,789,37,0,4031
402,26,604,674,0,-117,789,37,0,4031
445,38,604,653,0,-75,828,36,0,4030
449,45,655,626,0,-46,879,37,0,4029
476,73,711,628,0,5,879,37,0,4029
511,107,708,637,0,62,881,37,0,4028
526,150,680,614,0,137,899,36,0,4028
521,130,678,576,0,177,899,36,0,4028
550,57,695,534,0,220,911,35,0,4029
562,38,727,534,0,261,901,33,0,4032
566,19,719,553,0,293,901,33,0,4032
566,-41,715,586,0,300,901,33,0,4032
567,-96,660,588,0,301,901,33,0,4032
594,-179,640,539,0,288,946,31,0,4033
641,-236,630,496,0,296,975,31,0,4035
676,-278,609,415,0,355,975,31,0,4035
669,-317,632,350,0,417,981,30,0,4037
660,-332,658,282,0,507,975,30,0,4040
648,-328,671,246,0,578,975,30,0,4040
633,-329,671,228,0,650,973,30,0,4044
601,-339,721,256,0,758,973,30,0,4044

