포핸드 드라이브 ,포핸드 드라이브 ,Matching,60
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
454,357,-877,-249,0,-399,990,103,0,1169
405,382,-773,-214,0,-331,1028,109,0,1159
423,380,-786,-176,0,-318,1028,109,0,1159
495,384,-824,-177,0,-282,1024,114,0,1152
489,396,-803,-203,0,-242,1033,78,0,913
462,422,-758,-206,0,-220,1033,78,0,913
465,451,-770,-187,0,-212,1040,35,0,861
439,451,-748,-153,0,-205,1040,35,0,861
424,462,-750,-106,0,-220,1040,35,0,861
492,441,-825,-91,0,-236,1040,35,0,861
551,414,-848,-121,0,-199,1040,35,0,861
487,436,-804,-108,0,-178,1101,34,0,861
516,449,-855,-45,0,-235,1110,31,0,860
546,453,-882,-11,0,-275,1110,31,0,860
584,412,-867,25,0,-276,1095,30,0,860
567,381,-867,65,0,-248,1090,27,0,861
503,328,-890,83,0,-338,1090,27,0,861
496,243,-865,56,0,-469,1185,26,0,861
519,194,-896,27,0,-573,1377,22,0,862
423,149,-900,-9,0,-591,1377,22,0,862
232,34,-851,-19,0,-607,1850,19,0,868
-8,-210,-905,-38,0,-633,1850,19,0,868
-326,-415,-889,-63,0,-605,3031,16,0,877
-1085,-600,-969,52,0,-518,3031,16,0,877
-1663,-507,-1624,146,0,-364,3972,25,0,902
-2410,160,-2088,172,0,377,3972,25,0,902
-3051,591,-1550,806,0,1642,3972,25,0,902
-2622,416,-2297,2737,0,4799,5719,34,0,917
-3822,-625,-3118,3643,0,6761,6435,55,0,957
-4724,-2452,-2127,4179,0,7467,6435,55,0,957
-2957,-4315,-3202,4785,0,8089,6874,72,0,1012
-3024,-4607,-3868,4702,0,8660,6874,72,0,1012
-3539,-4837,-3788,4604,0,8492,6669,80,0,1040
-3999,-5017,-3391,4727,0,7610,5825,91,0,1078
-3471,-5468,-3094,4402,0,5855,5825,91,0,1078
-2713,-5318,-2670,3787,0,4708,4800,93,0,1088
-2179,-4702,-1970,2944,0,3868,4093,96,0,1105
-2153,-4088,-1388,2501,0,3430,4093,96,0,1105
-2145,-3767,-1111,2267,0,3050,3546,96,0,1111
-1920,-3447,-715,2133,0,2720,3107,96,0,1115
-1599,-3178,-783,1991,0,2624,2974,96,0,1121
-1349,-2898,-845,1607,0,2583,2659,93,1,1132
-1301,-2681,-695,1199,0,2542,2659,93,0,1132
-1491,-2458,-367,962,0,2427,2317,92,0,1137
-1413,-2258,-287,989,0,2268,1974,82,0,1151
-1227,-2060,-403,1010,0,2144,1974,82,0,1151
-1062,-1938,-494,917,0,2023,1974,82,0,1151
-1041,-1855,-451,771,0,1888,1688,68,0,1161
-944,-1788,-437,617,0,1679,1688,68,0,1161
-835,-1706,-435,534,0,1533,1441,55,0,1167
-713,-1517,-465,501,0,1377,1367,9,0,1184
-523,-1313,-579,405,0,1156,1367,9,0,1184
-455,-1281,-608,358,0,1060,1253,84,0,1182
-381,-1250,-642,320,0,981,1253,84,0,1182
-311,-1164,-700,268,0,886,1219,149,0,1159
-297,-1090,-727,221,0,782,1219,149,0,1159
-271,-996,-679,187,0,587,1219,149,0,1159
-193,-954,-697,209,0,440,1219,149,0,1159
-78,-930,-797,229,0,314,1167,150,0,1159
-71,-938,-818,194,0,246,1167,150,0,1159

