포핸드 드라이브 ,백핸드 커트 ,Matching,11
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-1126,-1007,-689,131,0,1536,1489,148,0,1891
-909,-967,-735,137,0,1335,1489,148,0,1891
-836,-972,-755,167,0,1207,1489,148,0,1891
-726,-999,-850,179,0,1017,1405,148,0,1892
-627,-999,-898,124,0,838,1334,148,0,1891
-542,-970,-861,65,0,594,1236,147,0,1892
-509,-884,-819,83,0,429,1236,147,0,1892
-512,-803,-800,139,0,219,1232,146,0,1891
-453,-778,-851,145,0,82,1231,145,0,1889
-382,-774,-914,90,0,-2,1207,145,0,1888
-512,-754,-730,13,0,-106,1269,143,0,1885
-601,-736,-640,60,0,-254,1269,143,0,1885
-546,-771,-724,128,0,-467,1345,142,0,1882
-526,-813,-846,80,0,-603,1435,141,0,1877
-599,-881,-872,-98,0,-785,1435,141,0,1877
-668,-903,-719,-190,0,-919,1586,140,0,1874
-729,-940,-597,-143,0,-993,1832,138,0,1868
-677,-994,-715,-111,0,-1011,1832,138,0,1868
-859,-1079,-771,-223,0,-1126,2199,136,0,1857
-1226,-1165,-642,-294,0,-1419,2199,136,0,1857
-1268,-1281,-684,-263,0,-1769,2459,134,0,1853
-1293,-1472,-731,-131,0,-2041,2992,131,0,1840
-1627,-1636,-821,-38,0,-2208,2992,131,0,1840
-1757,-1855,-1133,-177,0,-2535,3281,127,0,1825
-1955,-1949,-1282,-580,0,-2744,3281,127,0,1825
-2129,-1983,-1313,-1205,0,-2901,3367,124,0,1817
-2401,-1946,-1170,-1503,0,-2892,3460,115,0,1783
-2764,-1849,-1050,-1418,0,-2934,3460,115,0,1783
-2799,-1709,-1218,-1197,0,-3132,3460,115,0,1783
-2849,-1614,-1270,-1082,0,-3469,3272,108,0,1751
-2824,-1563,-1351,-1146,0,-3984,3272,108,0,1751
-2851,-1582,-1241,-1225,0,-4300,2964,106,0,1732
-2675,-1614,-1086,-1151,0,-4451,2640,100,0,1696
-2606,-1559,-1000,-1001,0,-4384,2640,100,0,1696
-2480,-1366,-1179,-918,0,-4435,2028,97,0,1668
-2276,-1079,-1388,-1075,0,-4683,2028,97,0,1668
-1746,-937,-1261,-1360,0,-4959,1724,96,0,1656
-1360,-914,-1133,-1456,0,-4890,1340,95,0,1635
-1069,-833,-955,-1496,0,-4473,1340,95,0,1635
-940,-707,-854,-1534,0,-4165,1178,95,0,1626
-918,-656,-815,-1549,0,-4011,976,95,0,1597
-638,-520,-924,-1615,0,-4035,976,95,0,1597
-445,-526,-946,-1687,0,-3990,976,95,0,1597
-399,-455,-842,-1711,0,-3764,976,95,0,1597
-333,-415,-832,-1683,0,-3559,941,96,0,1591
-200,-338,-852,-1617,0,-3237,949,97,0,1580
-130,-274,-861,-1545,0,-2951,949,97,0,1580
-159,-216,-879,-1436,0,-2667,994,98,0,1577
-143,-140,-935,-1352,0,-2476,1031,99,0,1570
-16,-125,-946,-1206,0,-2184,1031,99,0,1570
-12,-116,-973,-1069,0,-1929,1109,99,0,1562
-76,-112,-1052,-988,0,-1745,1109,99,0,1562
-14,-85,-1110,-912,0,-1565,1106,99,0,1560
54,-51,-1140,-851,0,-1405,1057,99,0,1556
50,15,-1100,-772,0,-1181,1057,99,0,1556
57,101,-1047,-662,0,-1050,1067,98,0,1553
92,178,-1023,-488,0,-954,1094,98,0,1548
145,202,-1058,-392,0,-892,1094,98,0,1548
218,244,-1083,-375,0,-807,1043,97,0,1546
297,248,-1016,-392,0,-749,1043,97,0,1546

