포핸드 쇼트 ,포핸드 커트 ,Matching,92
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
620,-1613,887,2338,0,-133,1723,77,0,3656
529,-1407,968,2086,0,-35,1633,83,0,3654
433,-1269,1067,1855,0,44,1633,83,0,3654
345,-1151,1172,1636,0,129,1592,84,0,3654
417,-1104,1146,1460,0,198,1520,90,0,3654
542,-1074,1043,1143,0,329,1520,90,0,3654
570,-1038,1034,831,0,442,1474,90,0,3655
458,-928,1098,444,0,557,1428,92,0,3656
422,-889,1109,197,0,581,1428,92,0,3656
439,-881,1050,-91,0,556,1415,92,0,3658
516,-929,964,-299,0,553,1415,92,0,3658
571,-952,872,-500,0,572,1421,92,0,3660
630,-989,754,-753,0,597,1462,90,0,3663
638,-997,686,-944,0,606,1462,90,0,3663
625,-1077,641,-1147,0,631,1523,89,0,3666
637,-1186,539,-1275,0,647,1633,84,0,3680
589,-1313,429,-1432,0,661,1633,84,0,3680
543,-1413,308,-1564,0,615,1720,79,0,3706
544,-1563,236,-1747,0,499,1720,79,0,3706
487,-1624,161,-1863,0,361,1749,77,0,3730
327,-1649,118,-2000,0,51,1845,72,0,3770
371,-1691,70,-2033,0,-250,1845,72,0,3770
495,-1746,-26,-1993,0,-480,1876,70,0,3779
578,-1809,-222,-1929,0,-656,1827,68,0,3785
552,-1825,-367,-1940,0,-772,1827,68,0,3785
512,-1810,-470,-2035,0,-917,1671,68,0,3784
459,-1790,-498,-2125,0,-1039,1671,68,0,3784
369,-1699,-432,-2156,0,-1179,1558,69,0,3782
337,-1597,-361,-2063,0,-1261,1398,73,0,3779
338,-1436,-414,-1840,0,-1322,1398,73,0,3779
343,-1337,-455,-1653,0,-1375,1349,75,0,3776
380,-1244,-538,-1461,0,-1479,1268,79,0,3769
437,-1218,-624,-1380,0,-1559,1268,79,0,3769
408,-1167,-655,-1400,0,-1607,1083,83,0,3762
374,-1021,-585,-1458,0,-1636,1083,83,0,3762
422,-905,-459,-1418,0,-1601,1071,84,0,3759
494,-832,-488,-1284,0,-1522,1069,87,0,3752
535,-815,-492,-1184,0,-1457,1069,87,0,3752
565,-778,-514,-1077,0,-1385,1050,88,0,3749
570,-748,-545,-1010,0,-1331,999,90,0,3743
528,-711,-577,-972,0,-1284,999,90,0,3743
558,-682,-563,-953,0,-1241,935,91,0,3736
601,-619,-570,-905,0,-1155,935,91,0,3736
554,-555,-580,-816,0,-1056,899,92,0,3733
494,-515,-563,-737,0,-1039,888,92,0,3728
525,-472,-548,-623,0,-1044,888,92,0,3728
584,-415,-572,-541,0,-987,864,92,0,3726
613,-363,-570,-495,0,-845,799,92,0,3721
586,-318,-532,-484,0,-712,799,92,0,3721
553,-234,-470,-461,0,-573,855,92,0,3718
552,-199,-433,-419,0,-503,855,92,0,3718
641,-143,-460,-346,0,-387,909,92,0,3717
740,-115,-504,-311,0,-275,923,91,0,3714
783,-97,-503,-293,0,-177,923,91,0,3714
787,-83,-433,-253,0,-101,945,91,0,3713
806,-69,-407,-198,0,-91,1004,91,0,3711
871,-74,-386,-126,0,-111,1004,91,0,3711
920,-64,-386,-103,0,-113,1014,91,0,3709
956,-40,-361,-115,0,-104,1008,91,0,3707
956,-10,-324,-118,0,-85,1008,91,0,3707

