포핸드 쇼트 ,포핸드 쇼트 ,Matching,93
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
733,-152,-487,-145,0,-894,972,126,0,4108
736,-145,-470,-107,0,-825,972,126,0,4108
759,-176,-531,-59,0,-756,972,126,0,4108
771,-200,-585,-41,0,-670,972,126,0,4108
732,-186,-593,-46,0,-580,972,126,0,4108
716,-173,-635,-60,0,-539,988,126,0,4106
747,-143,-632,-99,0,-520,989,125,0,4105
741,-117,-606,-108,0,-503,1027,125,0,4102
726,-71,-598,-55,0,-480,1027,125,0,4102
787,-96,-635,-2,0,-432,1041,123,0,4100
814,-132,-701,42,0,-304,1041,123,0,4100
740,-165,-754,38,0,-217,1003,120,0,4098
674,-134,-760,8,0,-210,985,119,0,4098
590,-22,-629,56,0,-280,1165,114,0,4095
579,6,-629,169,0,-338,1165,114,0,4095
633,-23,-803,246,0,-300,1372,108,0,4094
674,-120,-945,196,0,-160,1372,108,0,4094
470,-251,-1067,115,0,115,1546,104,0,4095
191,-335,-1131,197,0,218,2056,94,0,4093
19,-523,-1415,535,0,210,2056,94,0,4093
-13,-669,-1634,914,0,324,2334,89,0,4093
-140,-767,-2034,1449,0,627,2561,72,0,4087
-184,-871,-2158,1868,0,958,2561,72,0,4087
-548,-1005,-2088,2427,0,1283,2824,57,0,4078
-403,-1173,-1802,3521,0,1631,2824,57,0,4078
275,-1471,-2008,4529,0,2337,3132,50,0,4070
761,-1996,-1849,5416,0,3731,3577,44,0,4055
892,-2396,-1523,5975,0,4421,3577,44,0,4055
443,-3276,-1378,6378,0,3764,3573,45,0,4049
104,-3926,-848,6133,0,2405,3151,51,0,4038
966,-3710,-498,5220,0,1013,3151,51,0,4038
1470,-3329,-388,4336,0,632,2422,53,0,4036
974,-2615,248,3260,0,567,2063,58,0,4031
340,-2186,827,2841,0,438,2063,58,0,4031
382,-2067,747,2678,0,197,1825,63,0,4027
740,-1940,558,2374,0,-29,1825,63,0,4027
848,-1697,650,2146,0,-39,1567,66,0,4025
745,-1406,729,1975,0,-22,1306,80,0,4021
673,-1259,750,1880,0,-63,1306,80,0,4021
715,-1184,694,1699,0,-105,1306,80,0,4021
659,-1110,713,1517,0,-127,1306,80,0,4021
563,-1016,843,1336,0,-154,1306,80,0,4021
571,-926,834,1241,0,-177,1291,83,0,4020
667,-907,789,1108,0,-157,1291,83,0,4020
751,-869,728,841,0,-15,1227,86,0,4021
696,-804,733,617,0,107,1137,87,0,4023
545,-677,783,357,0,193,1137,87,0,4023
488,-642,793,225,0,189,1150,88,0,4024
643,-660,758,129,0,208,1111,89,0,4027
653,-659,692,29,0,291,1111,89,0,4027
515,-647,691,-202,0,441,1163,89,0,4030
463,-675,720,-338,0,534,1163,89,0,4030
454,-760,654,-479,0,633,1256,87,0,4033
477,-881,582,-613,0,715,1351,83,0,4041
443,-991,506,-774,0,780,1351,83,0,4041
371,-1085,480,-1023,0,788,1510,78,0,4052
379,-1164,431,-1206,0,716,1510,78,0,4052
505,-1296,332,-1441,0,633,1589,74,0,4060
546,-1364,306,-1599,0,630,1722,66,0,4082
521,-1450,255,-1769,0,635,1722,66,0,4082

