포핸드 스메싱 ,백핸드 커트 ,Matching,75
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
753,-409,307,30,0,804,842,107,0,2257
654,-460,277,-62,0,877,841,106,0,2260
606,-508,259,-118,0,871,853,106,0,2262
603,-566,226,-158,0,828,852,104,0,2266
559,-563,211,-171,0,830,884,102,0,2270
515,-622,171,-173,0,820,972,99,0,2276
507,-722,146,-183,0,813,972,99,0,2276
424,-790,105,-234,0,827,1076,93,0,2285
366,-826,78,-286,0,822,1076,93,0,2285
365,-934,59,-345,0,823,1146,90,0,2289
326,-992,13,-388,0,835,1294,81,0,2301
241,-1067,-8,-445,0,827,1294,81,0,2301
130,-1182,29,-529,0,767,1397,76,0,2308
128,-1275,-16,-588,0,689,1566,65,0,2319
115,-1382,-90,-694,0,611,1566,65,0,2319
110,-1475,-134,-786,0,566,1685,60,0,2322
91,-1559,-191,-926,0,526,1795,48,0,2329
7,-1625,-170,-1035,0,472,1795,48,0,2329
-44,-1752,-153,-1117,0,342,1851,36,0,2335
-66,-1841,-185,-1140,0,232,1851,36,0,2335
-134,-1842,-213,-1142,0,100,1845,30,0,2336
-279,-1806,-229,-1158,0,-124,1854,17,0,2338
-323,-1785,-244,-1155,0,-336,1854,17,0,2338
-280,-1831,-299,-1132,0,-562,1825,3,0,2336
-267,-1850,-346,-1116,0,-677,1825,3,0,2336
-279,-1817,-356,-1119,0,-760,1782,0,0,2335
-302,-1755,-366,-1153,0,-818,1733,12,0,2329
-341,-1734,-374,-1214,0,-945,1733,12,0,2329
-340,-1752,-312,-1227,0,-1045,1660,19,0,2326
-324,-1695,-276,-1152,0,-1094,1537,29,0,2318
-328,-1632,-298,-1082,0,-1095,1537,29,0,2318
-311,-1539,-286,-1035,0,-1105,1457,35,0,2315
-222,-1533,-285,-1021,0,-1061,1347,46,0,2306
-174,-1514,-310,-1029,0,-1001,1347,46,0,2306
-220,-1392,-343,-1093,0,-1007,1203,55,0,2298
-245,-1338,-319,-1165,0,-1101,1203,55,0,2298
-243,-1207,-282,-1214,0,-1296,1147,59,0,2293
-135,-1164,-213,-1201,0,-1414,1087,67,0,2285
35,-1054,-166,-1073,0,-1381,1087,67,0,2285
189,-1025,-222,-994,0,-1255,1122,74,0,2280
230,-1084,-243,-968,0,-1091,1122,74,0,2280
169,-1126,-229,-982,0,-949,1087,77,0,2278
116,-1108,-199,-996,0,-956,1027,84,0,2274
106,-1071,-178,-998,0,-1071,1027,84,0,2274
170,-1010,-192,-966,0,-1167,1009,86,0,2273
278,-962,-181,-880,0,-1212,1004,92,0,2273
375,-923,-218,-797,0,-1168,1004,92,0,2273
461,-886,-252,-710,0,-1057,969,114,0,2298
410,-906,-232,-680,0,-997,969,114,0,2298
393,-911,-206,-648,0,-1029,969,114,0,2298
504,-886,-241,-612,0,-1081,969,114,0,2298
568,-851,-284,-609,0,-1076,969,114,0,2298
617,-830,-240,-625,0,-998,946,121,0,2299
630,-743,-197,-591,0,-907,946,121,0,2299
579,-729,-160,-521,0,-864,946,121,0,2299
551,-718,-164,-467,0,-897,946,121,0,2299
626,-682,-229,-430,0,-955,910,124,0,2292
680,-639,-248,-413,0,-975,910,124,0,2292
716,-546,-303,-394,0,-966,855,125,0,2287
720,-466,-358,-385,0,-929,855,125,0,2287

