포핸드 스메싱 ,포핸드 스메싱 ,Matching,75
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
590,-897,-235,-671,0,-845,969,123,0,2284
593,-858,-186,-738,0,-870,969,123,0,2284
681,-774,-164,-731,0,-885,969,123,0,2284
673,-706,-166,-673,0,-870,969,123,0,2284
658,-694,-141,-566,0,-865,969,123,0,2284
658,-668,-214,-495,0,-875,1071,123,0,2282
730,-682,-339,-466,0,-937,1089,125,0,2276
771,-712,-347,-483,0,-994,1089,125,0,2276
798,-711,-271,-473,0,-1012,1073,126,0,2273
765,-643,-230,-367,0,-988,1119,125,0,2268
805,-562,-285,-260,0,-975,1119,125,0,2268
854,-592,-315,-181,0,-983,1170,123,0,2264
828,-633,-293,-137,0,-1006,1170,123,0,2264
809,-719,-326,-128,0,-1074,1230,123,0,2262
755,-830,-325,-191,0,-1157,1291,119,0,2259
732,-926,-220,-329,0,-1306,1291,119,0,2259
715,-893,-291,-428,0,-1348,1453,116,0,2257
491,-615,-719,-611,0,-1246,1826,112,0,2256
173,-369,-905,-671,0,-1043,2035,107,0,2256
-121,-200,-1073,-381,0,-636,2930,101,0,2258
-451,-286,-1696,432,0,148,4592,82,0,2259
-414,-775,-2420,1112,0,978,4592,82,0,2259
-594,-1673,-3206,1847,0,2091,5478,58,0,2262
-940,-2532,-3381,2320,0,2576,5478,58,0,2262
-1203,-3412,-2855,3711,0,2643,6735,43,0,2262
-356,-4364,-3239,5417,0,2951,7967,29,0,2262
15,-5597,-4097,7223,0,4282,8225,19,0,2261
-634,-7085,-3852,7874,0,4228,8357,20,0,2261
498,-9068,-1850,8592,0,3040,7047,40,0,2254
1212,-8823,-851,9334,0,2049,7047,40,0,2254
709,-7976,-246,9174,0,915,6131,52,0,2251
694,-7379,549,7706,0,-349,5807,60,0,2248
1047,-7109,1296,5986,0,-796,4385,67,0,2246
472,-5504,1852,4140,0,-729,3013,73,0,2244
196,-3895,1999,3204,0,-688,2671,78,0,2242
492,-2752,1730,2368,0,-423,2085,84,0,2242
401,-2120,1675,1889,0,-193,1157,108,0,2243
257,-1507,1576,1728,0,-143,1157,108,0,2243
545,-1225,1207,1719,0,-134,1157,108,0,2243
667,-1069,960,1677,0,-64,1157,108,0,2243
537,-941,909,1619,0,2,1157,108,0,2243
492,-835,859,1625,0,-7,1157,108,0,2243
635,-774,671,1562,0,-15,1146,111,0,2243
676,-738,654,1443,0,58,1101,114,0,2244
614,-637,711,1336,0,173,1055,119,0,2247
560,-573,737,1284,0,231,1055,119,0,2247
638,-529,715,1212,0,307,1020,123,0,2250
691,-498,647,1122,0,394,1020,123,0,2250
627,-447,678,977,0,486,1016,126,0,2256
610,-437,706,869,0,542,1016,126,0,2256
642,-436,677,761,0,593,1016,126,0,2256
598,-434,709,616,0,682,992,126,0,2260
565,-491,703,522,0,745,992,126,0,2260
562,-552,618,421,0,794,982,126,0,2262
581,-595,561,308,0,809,964,121,0,2271
594,-617,506,147,0,846,964,121,0,2271
565,-637,463,35,0,897,964,121,0,2271
464,-680,451,-56,0,944,1071,119,0,2275
406,-741,383,-103,0,960,1108,116,0,2279
357,-883,326,-180,0,1007,1206,113,0,2283

