포핸드 스메싱 ,포핸드 커트 ,Matching,75
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
703,-472,608,441,0,813,1012,114,0,2262
736,-490,545,352,0,884,976,114,0,2265
683,-523,454,239,0,990,983,111,0,2272
604,-558,361,133,0,1034,983,111,0,2272
578,-659,375,-11,0,1096,1029,107,0,2281
538,-686,360,-66,0,1195,1029,107,0,2281
480,-750,294,-137,0,1266,1120,103,0,2286
358,-878,263,-276,0,1287,1322,96,0,2296
283,-996,289,-396,0,1252,1322,96,0,2296
232,-1130,309,-511,0,1218,1509,87,0,2306
137,-1230,319,-571,0,1179,1509,87,0,2306
29,-1389,283,-638,0,1050,1597,82,0,2312
-8,-1479,218,-694,0,913,1748,71,0,2321
-15,-1597,122,-765,0,683,1748,71,0,2321
-30,-1644,18,-835,0,460,1850,65,0,2327
-7,-1723,-76,-924,0,192,2035,53,0,2333
22,-1835,-110,-977,0,84,2035,53,0,2333
-86,-1977,-87,-1019,0,49,2117,46,0,2337
-298,-2082,-147,-1090,0,-15,2129,31,0,2339
-389,-2126,-273,-1183,0,-199,2129,31,0,2339
-388,-2137,-403,-1355,0,-507,2015,18,0,2339
-364,-2062,-485,-1531,0,-716,2015,18,0,2339
-361,-2007,-371,-1745,0,-869,1936,12,0,2338
-376,-1940,-284,-1783,0,-895,1851,8,0,2334
-349,-1929,-263,-1731,0,-876,1851,8,0,2334
-320,-1897,-275,-1675,0,-844,1766,11,0,2331
-301,-1880,-283,-1615,0,-807,1617,17,0,2328
-402,-1773,-325,-1545,0,-777,1560,22,0,2324
-278,-1690,-124,-1403,0,-778,1411,33,0,2316
-260,-1548,-106,-1180,0,-731,1411,33,0,2316
-250,-1471,-170,-1073,0,-749,1284,39,0,2311
-200,-1390,-174,-1013,0,-828,1162,48,0,2301
-139,-1303,-180,-1012,0,-892,1162,48,0,2301
-43,-1197,-203,-1032,0,-926,1092,53,0,2297
0,-1129,-181,-1060,0,-937,1046,61,0,2288
-79,-1104,-113,-1110,0,-1032,1046,61,0,2288
-82,-1065,-96,-1140,0,-1163,1010,69,0,2281
33,-1063,-12,-1108,0,-1231,1010,69,0,2281
100,-1028,22,-1008,0,-1171,980,71,0,2278
127,-998,-16,-937,0,-1094,956,78,0,2273
174,-982,-116,-936,0,-1021,956,78,0,2273
216,-969,-87,-967,0,-948,901,82,0,2271
220,-892,-51,-933,0,-864,885,85,0,2270
202,-840,-37,-867,0,-858,891,87,0,2269
195,-800,-92,-800,0,-939,983,95,0,2270
221,-774,-139,-785,0,-1041,983,95,0,2270
430,-830,-95,-726,0,-1058,995,107,0,2280
533,-762,-147,-649,0,-966,995,107,0,2280
597,-838,-186,-612,0,-890,995,107,0,2280
590,-897,-235,-671,0,-845,969,123,0,2284
593,-858,-186,-738,0,-870,969,123,0,2284
681,-774,-164,-731,0,-885,969,123,0,2284
673,-706,-166,-673,0,-870,969,123,0,2284
658,-694,-141,-566,0,-865,969,123,0,2284
658,-668,-214,-495,0,-875,1071,123,0,2282
730,-682,-339,-466,0,-937,1089,125,0,2276
771,-712,-347,-483,0,-994,1089,125,0,2276
798,-711,-271,-473,0,-1012,1073,126,0,2273
765,-643,-230,-367,0,-988,1119,125,0,2268
805,-562,-285,-260,0,-975,1119,125,0,2268

