675,769,92,-41,-128,83
672,771,89,-51,-144,90
668,773,87,-62,-158,96
665,774,85,-74,-171,99
659,772,89,-86,-182,100
650,770,96,-100,-195,100
642,765,107,-117,-218,96
636,760,125,-134,-241,88
635,752,155,-155,-259,75
641,739,198,-177,-266,54
670,722,258,-200,-252,17
728,699,332,-215,-215,-36
817,673,412,-213,-147,-109
920,621,517,-179,-61,-193
1043,536,631,-117,24,-250
1206,404,731,13,148,-233
1387,262,788,226,308,-129
1567,165,720,578,566,58
1660,113,557,1010,846,285
1630,97,347,1477,1037,606
1470,89,136,1851,1035,1054
1372,122,-82,2013,806,1587
1380,103,-225,2041,735,1955
1301,34,-327,1975,853,2073
1073,-31,-448,1816,1015,2032
838,-75,-590,1649,1091,1953
632,-99,-705,1513,1001,1861
492,-107,-772,1402,861,1766
401,-96,-798,1305,768,1654
315,-77,-822,1212,694,1531
240,-47,-833,1122,614,1397
179,-9,-827,1025,546,1264
132,33,-813,918,504,1132
90,74,-807,804,495,996
42,114,-806,697,488,870
-8,155,-806,608,468,762
-50,196,-806,535,436,671
-82,233,-798,479,394,594
-106,266,-785,429,354,523
-124,299,-772,380,325,457
-140,330,-760,334,304,394
-154,363,-750,294,287,335
-166,395,-740,258,272,281
-179,426,-733,226,255,233
-187,457,-726,200,234,194
-193,487,-723,179,213,159
-198,515,-720,163,191,132
