포핸드 쇼트 ,포핸드 쇼트 ,Matching,91
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
736,337,-754,-586,0,156,1084,140,0,1946
728,273,-744,-664,0,123,1098,143,0,1945
675,253,-844,-718,0,111,1090,146,0,1944
671,144,-911,-740,0,143,1078,148,0,1944
590,139,-837,-711,0,141,1123,151,0,1943
531,139,-899,-620,0,107,1123,151,0,1943
568,122,-972,-485,0,80,1112,151,0,1943
565,124,-973,-380,0,129,1097,152,0,1943
445,143,-962,-255,0,197,1104,152,0,1944
385,141,-994,-172,0,253,1134,151,0,1944
263,145,-1082,-153,0,269,1156,150,0,1945
184,153,-1187,-245,0,233,1156,150,0,1945
173,151,-1205,-366,0,170,1091,148,0,1946
183,129,-1149,-438,0,95,1091,148,0,1946
124,90,-1064,-322,0,46,1118,146,0,1946
126,48,-1001,57,0,69,1224,142,0,1947
95,-17,-1046,372,0,214,1224,142,0,1947
111,-78,-1107,613,0,438,1385,141,0,1948
49,-67,-1303,540,0,558,1503,136,0,1948
-242,-93,-1560,68,0,442,1503,136,0,1948
-430,-241,-1337,-170,0,27,1579,130,0,1947
-59,-295,-1051,94,0,-462,1579,130,0,1947
310,-711,-1163,1030,0,-491,1845,124,0,1946
300,-895,-1466,1751,0,-113,1944,113,0,1945
162,-787,-1675,2501,0,518,1944,113,0,1945
72,-776,-1935,2912,0,890,1742,108,0,1944
363,-656,-1960,2996,0,1157,1230,99,0,1943
569,-412,-1476,2826,0,1344,1230,99,0,1943
737,-98,-981,2568,0,1461,1232,93,0,1939
774,114,-865,2430,0,1339,1232,93,0,1939
1037,269,-620,2207,0,1112,1229,90,0,1937
1105,420,-351,1852,0,924,1228,89,0,1936
1008,463,-84,1573,0,784,1257,89,0,1937
1100,505,218,1355,0,672,1287,89,0,1938
1186,532,496,1299,0,660,1287,89,0,1938
1118,443,450,1286,0,616,1294,90,0,1939
1131,440,392,1186,0,480,1313,90,0,1941
1168,419,382,995,0,283,1317,92,0,1944
1189,421,406,842,0,217,1312,93,0,1945
1150,452,466,707,0,180,1304,96,0,1955
1096,512,552,568,0,169,1304,96,0,1955
1078,559,582,506,0,222,1267,97,0,1959
986,596,587,438,0,312,1233,100,0,1969
941,615,584,358,0,355,1233,100,0,1969
888,643,560,235,0,351,1237,101,0,1970
873,660,533,121,0,317,1242,101,0,1972
892,681,534,-28,0,277,1242,103,0,1974
929,709,556,-124,0,288,1170,105,0,1977
872,710,556,-184,0,331,1170,105,0,1977
765,742,485,-257,0,329,1172,106,0,1977
762,759,441,-339,0,299,1172,106,0,1977
816,742,407,-464,0,279,1172,106,0,1975
897,699,355,-569,0,312,1156,107,0,1977
900,686,304,-711,0,360,1153,108,0,1976
859,683,272,-844,0,346,1177,109,0,1977
874,673,265,-1019,0,259,1241,108,0,1974
931,658,305,-1104,0,177,1241,108,0,1974
1041,603,305,-1155,0,96,1243,109,0,1974
1075,564,269,-1158,0,71,1247,107,0,1972
1098,533,268,-1153,0,72,1247,107,0,1972

