포핸드 커트 ,백핸드 커트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
521,421,-1005,-297,0,-505,1196,150,0,26570
591,495,-1002,-310,0,-537,1099,153,0,26569
626,444,-888,-246,0,-444,1031,159,0,26567
594,369,-867,-171,0,-333,1031,159,0,26567
605,340,-871,-139,0,-213,916,167,0,26567
591,317,-920,-179,0,-112,916,167,0,26567
631,286,-788,-255,0,0,916,167,0,26567
659,182,-603,-216,0,83,942,170,0,26567
746,116,-452,-49,0,185,942,170,0,26567
692,39,-458,211,0,364,1108,172,0,26567
709,-73,-472,350,0,445,1108,172,0,26567
749,-106,-518,381,0,523,1292,173,0,26567
821,-126,-497,291,0,573,1374,174,0,26566
959,-214,-342,84,0,651,1694,174,0,26565
1248,-226,-295,-204,0,815,2263,175,0,26563
1129,-352,-291,-797,0,800,3263,177,0,26557
1257,-302,-600,-1344,0,122,3263,177,0,26557
3309,-133,-1087,-1803,0,-493,2945,178,0,26545
4568,-340,-337,-1327,0,-57,2945,178,0,26545
3060,-1235,76,563,0,-853,2437,176,0,26537
2132,-2211,295,3202,0,-5977,1821,160,1,26517
2888,1241,-2189,4033,0,-8647,1821,160,1,26517
2246,-286,-2126,2177,0,-6616,1821,160,0,26517
842,-1148,-864,1108,0,-3926,2049,143,0,26516
-429,-1177,-781,839,0,-670,2049,143,0,26516
-896,-980,-1654,1079,0,892,1781,135,0,26516
-1030,-420,-1939,1080,0,1375,1131,120,0,26517
-150,-103,-1872,791,0,1606,1131,120,0,26517
-77,-77,-1425,426,0,1903,849,110,0,26519
-42,-36,-998,345,0,1901,849,110,0,26519
386,-181,-645,355,0,1790,962,105,0,26519
441,-233,-603,369,0,1694,1135,101,0,26524
837,-263,-490,326,0,1684,1168,98,0,26527
1018,-288,-344,432,0,1850,1224,92,0,26580
896,-313,-437,576,0,1903,1224,92,0,26580
1030,-383,-244,798,0,1852,1371,91,0,26639
1189,-412,-144,1034,0,1828,1474,87,0,26667
1244,-493,-227,1318,0,1827,1474,87,0,26667
1332,-524,-270,1432,0,1733,1503,87,0,26667
1386,-525,-237,1490,0,1624,1507,86,0,26670
1408,-560,-77,1595,0,1473,1505,87,0,26667
1401,-582,51,1740,0,1346,1495,87,0,26666
1371,-612,170,1947,0,1100,1477,87,0,26667
1378,-645,136,2047,0,822,1477,87,0,26667
1402,-631,-5,1981,0,365,1421,87,0,26665
1486,-639,-42,1784,0,94,1421,87,0,26665
1429,-610,-110,1466,0,-48,1227,87,0,26665
1249,-564,-125,1186,0,-136,1087,89,0,26662
1137,-497,-7,867,0,-289,1087,89,0,26662
1134,-475,113,729,0,-324,878,90,0,26658
1090,-433,174,686,0,-291,878,90,0,26658
893,-360,103,689,0,-245,878,90,0,26658
824,-300,46,669,0,-249,882,91,0,26657
823,-290,7,589,0,-262,882,91,0,26657
807,-307,-47,473,0,-294,893,91,0,26656
825,-279,-27,291,0,-362,928,91,0,26655
842,-285,46,171,0,-366,928,91,0,26655
878,-306,141,108,0,-302,913,93,0,26652
854,-313,84,94,0,-242,913,93,0,26652
879,-308,52,66,0,-151,913,93,0,26652

