포핸드 커트 ,포핸드 스메싱 ,Matching,26
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
808,618,-514,-308,0,-194,1241,125,0,27800
813,648,-498,-316,0,-226,1241,125,0,27800
818,667,-495,-311,0,-256,1241,125,0,27800
828,675,-533,-316,0,-308,1241,125,0,27800
844,710,-569,-340,0,-351,1252,127,0,27796
809,742,-584,-364,0,-381,1294,129,0,27795
815,781,-575,-360,0,-386,1323,132,0,27789
801,795,-575,-334,0,-403,1323,132,0,27789
812,811,-575,-315,0,-505,1385,135,0,27784
853,826,-597,-336,0,-646,1385,135,0,27784
909,864,-598,-402,0,-789,1382,142,0,27779
875,879,-586,-452,0,-828,1382,142,0,27779
850,888,-642,-533,0,-876,1382,142,0,27779
832,898,-617,-621,0,-938,1435,144,0,27776
850,917,-544,-705,0,-1012,1506,150,0,27774
874,907,-443,-732,0,-1063,1506,150,0,27774
775,881,-396,-718,0,-1171,1896,152,0,27773
712,812,-371,-700,0,-1292,1896,152,0,27773
701,703,-401,-730,0,-1358,3089,152,0,27774
654,524,-476,-903,0,-1263,5117,149,0,27779
615,267,-502,-1126,0,-1039,5117,149,0,27779
1184,-3244,-1190,-542,0,1014,7231,104,0,27815
1750,-3832,-2112,-224,0,2249,7231,104,0,27815
3289,-4418,-1418,357,0,4270,7231,104,0,27815
4830,-4559,1219,2266,0,6318,7231,104,0,27815
5627,-3853,2385,6337,0,7862,7684,89,0,27818
6662,-2264,774,11497,0,7027,8560,65,1,27798
7734,-2899,-584,12957,0,4927,8560,65,1,27798
8946,-3699,-383,11801,0,1964,7487,55,0,27748
8692,-3681,1797,10720,0,301,7487,55,0,27748
6953,-3891,1696,9054,0,-2115,6541,56,0,27732
6622,-3956,1986,6753,0,-3621,5185,59,0,27709
5845,-3658,3218,3010,0,-3447,5185,59,0,27709
4101,-3160,4055,1336,0,-2289,3184,62,0,27702
2294,-2265,2423,403,0,-1401,1966,67,0,27694
1675,-1339,1941,-89,0,-1185,1966,67,0,27694
1409,-635,1727,-291,0,-915,1634,69,0,27691
1065,-188,1555,-259,0,-615,1263,74,0,27684
878,29,1403,-146,0,-441,1263,74,0,27684
769,242,1107,-43,0,-284,1163,75,0,27682
722,371,951,-55,0,-172,1142,78,0,27678
654,482,861,-83,0,-59,1105,80,0,27676
614,566,756,-100,0,7,1077,83,0,27672
588,662,658,-127,0,54,1077,83,0,27672
566,708,595,-146,0,63,1073,87,0,27670
573,758,517,-165,0,49,1073,87,0,27670
571,798,446,-194,0,21,1071,88,0,27669
607,795,466,-179,0,9,1027,90,0,27667
639,777,486,-71,0,42,1027,90,0,27667
610,773,384,24,0,71,1002,92,0,27667
598,772,280,79,0,107,984,94,0,27664
589,760,245,94,0,140,984,94,0,27664
583,765,202,79,0,175,988,96,0,27664
619,771,193,10,0,194,965,98,0,27662
619,756,215,-117,0,200,965,98,0,27662
599,726,235,-190,0,166,961,101,0,27659
617,747,168,-258,0,128,961,101,0,27659
612,760,167,-364,0,107,936,103,0,27658
600,738,199,-446,0,67,889,105,0,27656
597,705,252,-508,0,11,889,105,0,27656

