포핸드 커트 ,백핸드 스메싱 ,Matching,20
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
676,373,843,3,0,-192,1147,32,0,27712
635,367,855,-62,0,-164,1153,39,0,27699
591,367,873,-126,0,-160,1163,40,0,27699
576,387,899,-205,0,-163,1163,40,0,27699
547,414,907,-268,0,-148,1163,40,0,27699
519,429,941,-339,0,-115,1231,43,0,27701
445,507,930,-418,0,-73,1231,43,0,27701
491,554,976,-416,0,-67,1244,46,0,27702
501,549,955,-424,0,-92,1244,46,0,27702
498,535,981,-445,0,-118,1244,46,0,27702
517,528,1006,-463,0,-136,1237,47,0,27704
484,501,1039,-465,0,-126,1122,48,0,27704
462,495,1004,-482,0,-95,998,50,0,27706
373,493,803,-662,0,5,998,50,0,27706
258,490,704,-928,0,95,1098,52,0,27707
144,480,614,-1315,0,179,1541,54,0,27709
72,528,613,-1574,0,239,1541,54,0,27709
-42,691,760,-1702,0,348,2284,56,0,27714
-226,809,810,-1591,0,400,2284,56,0,27714
-386,847,1068,-1114,0,344,3113,56,0,27717
-344,565,1830,-160,0,209,4800,52,0,27731
-141,121,3080,1668,0,47,4800,52,0,27731
203,-735,4032,4862,0,3,5467,51,0,27745
651,-2563,3016,6175,0,113,7569,73,2,27846
678,-6963,-869,1798,0,2773,7569,73,1,27846
2092,-7916,-3548,-6790,0,5964,7569,73,0,27846
6843,-3340,2121,-16133,0,8668,6315,88,0,27873
6148,-4011,5443,-17743,0,5795,6315,88,0,27873
3071,-4353,4441,-17112,0,3832,5426,93,0,27870
1172,-3951,5335,-14931,0,3569,5426,93,0,27870
730,-4464,4035,-10455,0,1634,4514,95,0,27865
2016,-4805,2335,-7409,0,-98,3377,100,0,27850
2359,-4436,1613,-5546,0,-940,3377,100,0,27850
2596,-2865,1697,-3959,0,-1027,2160,101,0,27839
2181,-2133,1377,-2949,0,-798,2160,101,0,27839
1800,-1480,992,-1888,0,-624,1806,101,0,27838
1616,-1177,805,-1244,0,-555,1305,101,0,27839
1387,-843,648,-542,0,-485,1305,101,0,27839
1213,-656,455,-56,0,-444,1098,101,0,27838
1096,-463,256,454,0,-389,988,100,0,27841
1039,-350,314,790,0,-301,988,100,0,27841
928,-170,309,1318,0,-200,986,95,0,27847
914,-89,289,1550,0,-160,986,95,0,27847
936,13,280,1794,0,-106,986,95,0,27847
937,145,228,1975,0,-57,986,95,0,27847
913,264,162,2114,0,9,1235,93,0,27849
899,463,180,2284,0,58,1235,93,0,27849
917,612,197,2400,0,55,1348,91,0,27849
900,811,94,2462,0,-11,1543,90,0,27848
959,969,80,2366,0,-92,1543,90,0,27848
1065,1105,24,2079,0,-151,1561,90,0,27848
1086,1186,11,1792,0,-94,1561,90,0,27848
998,1328,-25,1425,0,13,1468,90,0,27848
884,1343,-20,1121,0,36,1271,92,0,27848
812,1293,104,826,0,-4,1271,92,0,27848
761,1181,162,684,0,-38,1137,93,0,27848
673,1094,103,560,0,-108,1100,94,0,27848
654,1019,-62,368,0,-223,995,93,0,27847
596,780,-68,190,0,-291,1015,93,0,27844
747,750,-147,49,0,-363,1015,93,0,27844

