백핸드 커트 ,포핸드 커트 ,Matching,87
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
162,-449,904,46,0,218,878,76,0,21420
155,-442,782,27,0,174,878,76,0,21420
127,-487,640,-213,0,175,878,76,0,21420
139,-410,759,-471,0,210,889,78,0,21416
261,-394,791,-645,0,203,872,81,0,21404
285,-383,830,-710,0,180,872,81,0,21404
317,-304,937,-637,0,193,782,82,0,21397
-191,-227,1032,-268,0,187,710,85,0,21376
42,-283,577,-71,0,197,710,85,0,21376
298,-152,493,-21,0,75,775,87,0,21345
193,-107,368,-53,0,-6,775,87,0,21345
335,-126,215,-205,0,-107,978,91,0,21328
473,-101,110,-477,0,-33,978,91,0,21328
699,-109,300,-709,0,233,1097,95,0,21322
639,-292,618,-716,0,467,1097,95,0,21322
390,-341,590,-476,0,361,1175,100,0,21318
492,-501,179,-247,0,107,1175,100,0,21318
865,-606,296,-184,0,145,1291,109,0,21319
1172,-478,240,-196,0,667,1291,109,0,21319
954,-510,-96,-522,0,1119,1291,109,0,21319
523,-268,-599,-1249,0,1465,1944,116,0,21320
571,-56,-656,-1981,0,1532,1944,116,0,21320
1150,423,-271,-2686,0,1589,2333,121,0,21322
2449,286,916,-3156,0,1251,2333,121,0,21322
2801,66,1498,-2855,0,1040,1859,122,0,21322
2842,91,1659,-1758,0,966,1501,121,0,21322
2228,-4,1360,-895,0,894,1501,121,0,21322
1005,-159,756,-36,0,145,1634,118,0,21319
749,-195,620,476,0,-739,1634,118,0,21319
1351,-193,867,1095,0,-1248,1645,115,0,21319
1769,164,162,1555,0,-932,1569,110,0,21320
1864,-24,593,1608,0,170,1569,110,0,21320
2247,-182,1209,2215,0,928,1014,107,0,21321
1075,102,-143,2388,0,1047,996,104,0,21324
847,-46,-278,2137,0,932,996,104,0,21324
837,-192,-332,1792,0,802,1041,104,0,21324
849,-418,-210,1212,0,673,1083,106,0,21323
839,-468,-231,690,0,592,1083,106,0,21323
701,-471,-455,-188,0,397,1153,111,0,21321
491,-511,-235,-857,0,98,1153,111,0,21321
663,-620,365,-1323,0,-361,1252,119,0,21320
844,-755,169,-1478,0,-565,1252,119,0,21320
1016,-622,93,-1675,0,-632,1252,119,0,21320
1501,-387,-10,-2046,0,-356,971,124,0,21323
1229,-374,582,-2036,0,55,971,124,0,21323
1070,-357,312,-2017,0,115,971,124,0,21323
869,-391,368,-1738,0,150,971,124,0,21323
809,-434,306,-1440,0,118,986,125,0,21324
762,-451,270,-1023,0,44,986,125,0,21324
773,-462,265,-696,0,5,1013,125,0,21324
793,-484,261,-344,0,-6,1041,122,0,21326
815,-547,181,98,0,20,1041,122,0,21326
906,-587,148,405,0,102,1030,120,0,21327
881,-553,74,739,0,272,1024,115,0,21330
887,-534,74,958,0,398,1024,115,0,21330
873,-491,-11,1195,0,564,1038,112,0,21332
937,-502,-88,1320,0,691,1024,106,0,21339
920,-474,-136,1426,0,851,1024,106,0,21339
884,-462,-171,1470,0,924,1033,78,0,21422
877,-478,-238,1496,0,951,1033,78,0,21422

