백핸드 커트 ,백핸드 커트 ,Matching,93
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
514,-12,-756,-142,0,149,980,137,0,10928
535,-46,-785,-122,0,111,1025,141,0,10933
636,-127,-812,-162,0,83,1025,141,0,10933
706,-144,-776,-198,0,80,1007,143,0,10933
738,-131,-704,-193,0,112,1007,143,0,10933
721,-100,-703,-174,0,128,1007,145,0,10932
773,-151,-684,-150,0,138,1007,145,0,10932
768,-142,-622,-134,0,133,1048,148,0,10931
841,-187,-564,-108,0,122,1048,148,0,10931
848,-223,-598,-122,0,152,1030,149,0,10932
880,-269,-545,-178,0,215,977,151,0,10933
903,-322,-474,-203,0,273,977,151,0,10933
815,-295,-440,-161,0,312,984,153,0,10932
802,-272,-427,-43,0,245,984,153,0,10932
829,-325,-412,96,0,209,992,155,0,10933
792,-391,-512,249,0,184,992,155,0,10933
766,-469,-566,256,0,191,928,158,0,10933
753,-465,-400,201,0,239,928,158,0,10933
678,-466,-308,201,0,332,928,158,0,10933
584,-518,-300,164,0,434,1284,159,0,10934
582,-629,-339,64,0,528,1810,160,0,10934
694,-810,-327,-95,0,679,1810,160,0,10934
1006,-1143,-324,-320,0,999,2179,161,0,10933
1260,-1367,-196,-412,0,1235,2629,162,0,10929
1798,-1444,148,-213,0,1283,2629,162,0,10929
3121,-2887,-791,238,0,-808,1016,158,0,10911
4302,-4183,-375,395,0,-1859,1016,158,0,10911
3100,-3871,-590,440,0,-3030,1016,158,0,10911
2732,-3009,-691,-197,0,-3393,1016,158,0,10911
742,-680,-55,-608,0,-2650,1130,156,0,10909
-543,356,-489,-425,0,-1945,1435,151,0,10904
-1114,1021,-683,-229,0,-1228,1435,151,0,10904
-1278,1229,-918,-36,0,-835,1435,151,0,10904
-1315,1036,-1293,18,0,-631,1265,148,0,10902
-843,469,-1347,-150,0,-456,894,147,0,10901
240,56,-807,-5,0,-179,1094,142,0,10900
314,-4,-927,16,0,-217,1094,142,0,10900
572,-192,-952,-138,0,-272,1094,142,0,10900
492,-224,-981,-164,0,-274,1094,142,0,10900
530,-271,-941,-196,0,-268,920,139,0,10900
477,-299,-954,-217,0,-184,920,139,0,10900
445,-252,-765,-40,0,-52,997,133,0,10906
428,-231,-729,144,0,34,997,133,0,10906
402,-240,-829,271,0,137,997,133,0,10906
493,-269,-867,207,0,270,997,133,0,10906
681,-225,-713,81,0,581,951,133,0,10907
721,-181,-555,90,0,854,1075,130,0,10911
775,-169,-546,206,0,1050,1075,130,0,10911
746,-136,-611,269,0,1042,1075,130,0,10911
842,-159,-665,239,0,847,1050,126,0,10915
1029,-178,-561,248,0,767,1050,126,0,10915
1104,-136,-494,351,0,803,1050,126,0,10915
949,-63,-557,491,0,780,1050,126,0,10915
780,-52,-688,498,0,563,1089,124,0,10914
908,-35,-626,461,0,301,1089,124,0,10914
938,-16,-583,504,0,222,1089,124,0,10914
904,24,-622,558,0,154,1067,122,0,10913
855,15,-672,508,0,104,1041,122,0,10913
792,60,-691,358,0,31,1027,120,0,10911
838,60,-599,278,0,34,1027,120,0,10911

