백핸드 드라이브 ,백핸드 쇼트 ,Matching,81
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
496,648,619,110,0,-291,1113,75,0,69227
450,619,591,78,0,-182,1196,70,0,69235
457,635,591,50,0,-91,1196,70,0,69235
487,642,654,40,0,53,1196,70,0,69235
441,698,638,16,0,114,1196,70,0,69235
475,780,649,-77,0,111,1196,70,0,69235
455,825,744,-128,0,71,1182,72,0,69234
425,814,802,-103,0,-17,1182,72,0,69234
362,874,783,-33,0,-194,1118,72,0,69234
287,884,806,66,0,-407,1013,73,0,69234
258,827,838,217,0,-678,965,74,0,69233
250,713,818,299,0,-766,826,75,0,69234
274,517,520,182,0,-595,871,78,0,69235
333,404,357,-146,0,-195,871,78,0,69235
271,388,399,-607,0,530,1240,81,0,69241
157,480,350,-838,0,1004,1240,81,0,69241
-2,828,427,-914,0,1202,1688,82,0,69243
-261,1086,467,-668,0,915,2145,83,0,69247
-650,1288,363,-118,0,174,2145,83,0,69247
-916,1205,1061,1139,0,-1298,2576,83,0,69249
-800,845,1898,2976,0,-2540,3084,86,0,69260
-947,-160,286,3473,0,-3066,3084,86,0,69260
-766,-2352,-1537,1312,0,-1673,3250,91,0,69268
916,-3729,-625,-2136,0,4515,2330,100,0,69291
1351,-2285,-411,-5482,0,9319,2330,100,0,69291
531,526,3037,-8225,0,10171,1572,93,0,69318
-134,363,2293,-7771,0,8602,1572,93,0,69318
-65,-185,1472,-6715,0,6269,1701,87,0,69340
144,-722,1197,-5702,0,4898,2131,70,0,69425
231,-1171,811,-4835,0,3606,2131,70,0,69425
693,-1504,667,-4241,0,2075,2131,70,0,69425
950,-1568,956,-3850,0,1228,2376,59,0,69442
1313,-1532,1053,-3267,0,543,2376,59,0,69442
1611,-1477,1056,-2776,0,170,2376,59,0,69442
1583,-1294,1247,-2411,0,-45,2353,56,0,69443
1551,-1162,1357,-2070,0,-215,2353,56,0,69443
1626,-1102,1366,-1611,0,-403,2215,54,0,69442
1667,-1072,1328,-1338,0,-446,1973,51,0,69440
1649,-959,1289,-1113,0,-334,1973,51,0,69440
1548,-850,1288,-909,0,-164,1774,50,0,69439
1321,-733,1142,-582,0,8,1606,50,0,69435
1187,-648,1088,-320,0,34,1606,50,0,69435
1093,-622,996,27,0,-41,1609,52,0,69426
1094,-665,976,253,0,-130,1609,52,0,69426
1155,-684,989,430,0,-195,1609,52,0,69426
1146,-612,994,671,0,-229,1519,53,0,69423
1076,-574,970,905,0,-264,1510,55,0,69418
1000,-540,921,1200,0,-374,1558,64,0,69393
1004,-502,955,1360,0,-494,1558,64,0,69393
1050,-475,1053,1543,0,-642,1558,64,0,69393
1064,-445,1060,1687,0,-758,1535,70,0,69368
1053,-445,1059,1831,0,-922,1535,70,0,69368
1076,-440,1067,1900,0,-1049,1479,74,0,69353
1074,-377,1070,1973,0,-1152,1364,81,0,69325
1022,-299,968,2017,0,-1279,1364,81,0,69325
1033,-262,1032,2015,0,-1356,1254,86,0,69308
980,-223,965,2003,0,-1417,1254,86,0,69308
956,-220,887,1969,0,-1450,1160,90,0,69300
932,-163,857,1970,0,-1496,1052,96,0,69283
885,-82,767,2018,0,-1560,1052,96,0,69283

