백핸드 드라이브 ,포핸드 드라이브 ,Matching,40
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
382,3,864,252,0,-151,966,53,0,26782
416,-11,865,292,0,-176,979,53,0,26780
408,-30,888,349,0,-198,983,53,0,26777
404,-31,843,418,0,-245,983,53,0,26777
395,-29,848,495,0,-335,1054,53,0,26772
379,-24,836,541,0,-424,1054,53,0,26772
415,-16,947,615,0,-538,1076,54,1,26771
462,-34,958,677,0,-605,1097,52,0,26765
496,-64,989,725,0,-676,1097,52,0,26765
484,-88,921,742,0,-751,1177,52,0,26762
411,-135,932,673,0,-931,1323,52,0,26759
478,-123,1072,632,0,-1072,1359,51,0,26756
495,-58,1243,650,0,-1170,1380,50,0,26753
579,-40,1413,769,0,-1204,1242,50,0,26749
563,-32,1327,894,0,-1191,1193,50,0,26747
453,-36,1168,887,0,-1239,1139,51,0,26740
385,2,1019,710,0,-1330,1139,51,0,26740
458,122,857,223,0,-1401,1375,52,0,26739
569,209,943,-265,0,-1309,1744,55,0,26735
552,339,1299,-807,0,-1029,1744,55,0,26735
363,344,1579,-1068,0,-816,1830,57,0,26733
31,475,1780,-1211,0,-758,1816,58,0,26731
28,626,1717,-1270,0,-822,1816,58,0,26731
80,713,1578,-1414,0,-832,1896,56,0,26728
118,769,1752,-1722,0,-641,1896,56,0,26728
-256,613,1910,-1901,0,-500,1717,53,0,26725
-422,674,1865,-2047,0,-598,1544,36,0,26720
-341,733,1818,-2125,0,-606,1544,36,0,26720
-472,671,1840,-2076,0,-540,1544,36,0,26720
-640,634,1836,-1829,0,-545,1544,36,0,26720
-762,466,1526,-1444,0,-632,1544,36,0,26720
-644,433,1355,-1207,0,-651,1412,38,0,26719
-666,352,1259,-937,0,-512,1363,43,0,26721
-790,234,1224,-757,0,-388,1363,43,0,26721
-906,66,1049,-661,0,-308,1341,47,0,26724
-877,17,755,-774,0,-207,1341,47,0,26724
-840,10,686,-971,0,-45,1406,50,0,26726
-1007,15,754,-1058,0,144,1974,53,0,26730
-1024,-139,759,-940,0,174,1974,53,0,26730
-916,-340,725,-636,0,176,2698,55,0,26737
-936,-596,683,-300,0,206,2698,55,0,26737
-1213,-891,745,88,0,51,4169,55,0,26746
-1379,-1458,1068,584,0,-589,4169,55,0,26746
-1017,-2179,1902,1237,0,-1149,5764,55,0,26766
-369,-2918,2736,2036,0,-949,5764,55,0,26766
-194,-4936,2441,3015,0,346,6728,55,0,26783
1227,-6535,20,2587,0,2139,6805,55,0,26804
6626,-5728,-2719,-933,0,8081,6214,54,0,26832
5593,-4687,-294,-4912,0,12848,5177,45,0,26897
5654,-5334,1650,-7327,0,14319,5177,45,0,26897
1731,-3662,3070,-6035,0,14032,5316,17,0,26942
-256,-3255,3055,-4477,0,12443,5316,17,0,26942
-872,-3951,3016,-3637,0,10234,5316,17,0,26942
-1290,-4280,3229,-3476,0,8249,4581,10,0,26948
-964,-4077,3236,-3438,0,5334,3903,4,0,26950
-398,-3302,3751,-3156,0,3279,3626,5,0,26948
267,-2352,3763,-1919,0,241,2848,13,0,26921
659,-1846,3358,-1053,0,-1589,2848,13,0,26921
571,-1458,3383,-808,0,-2192,2848,13,0,26921
472,-1008,3238,-556,0,-2723,2848,13,0,26921

