백핸드 드라이브 ,포핸드 커트 ,Matching,20
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
466,-28,885,221,0,-126,919,93,0,26796
495,-51,778,230,0,-191,916,94,0,26794
525,-40,748,197,0,-224,919,94,0,26792
561,-42,749,130,0,-225,919,94,0,26792
561,-75,721,90,0,-193,926,94,0,26792
508,-61,779,100,0,-184,923,95,0,26790
536,-64,800,153,0,-177,913,94,0,26789
515,-98,802,225,0,-148,871,94,0,26786
449,-114,799,331,0,-168,871,94,0,26786
441,-138,739,397,0,-218,875,94,0,26785
447,-149,701,435,0,-292,906,92,0,26781
469,-150,639,459,0,-349,906,92,0,26781
474,-208,643,477,0,-417,1025,92,0,26779
482,-213,786,587,0,-489,1101,86,0,26771
431,-288,873,866,0,-579,1101,86,0,26771
454,-336,915,1125,0,-662,1101,86,0,26771
503,-368,909,1473,0,-746,1101,84,0,26769
502,-406,894,1707,0,-816,1101,81,0,26765
582,-384,853,1954,0,-938,1101,74,0,26758
590,-378,730,2041,0,-1036,1101,74,0,26758
653,-411,600,1978,0,-1124,1285,67,0,26746
607,-469,524,1700,0,-1234,1285,67,0,26746
577,-540,549,1396,0,-1356,1285,67,0,26746
540,-575,826,1051,0,-1553,1832,61,0,26740
698,-617,1141,986,0,-1629,1832,61,0,26740
916,-635,1554,1257,0,-1511,1720,59,0,26738
1027,-697,1690,1723,0,-1282,1363,57,0,26736
818,-671,1500,2325,0,-987,1246,54,0,26733
606,-505,1318,2591,0,-879,1246,54,0,26733
527,-407,989,2521,0,-831,1455,54,0,26731
479,-344,705,1688,0,-686,1455,54,0,26731
452,-374,596,501,0,-451,2047,59,0,26732
416,-183,1095,-1433,0,-35,2047,59,0,26732
320,66,1663,-2732,0,187,2559,61,0,26733
311,472,2364,-4006,0,94,2633,71,0,26737
629,898,3067,-4537,0,12,2633,71,0,26737
370,1016,3444,-4546,0,223,2633,71,0,26737
-293,745,3038,-4512,0,166,2633,71,0,26737
-161,765,3123,-4525,0,179,2633,71,0,26737
-411,587,2650,-4126,0,340,1718,81,0,26736
-509,381,1983,-3686,0,357,1718,81,0,26736
-624,31,1730,-3140,0,141,1546,86,0,26735
-705,-42,1676,-2615,0,-153,1159,92,0,26733
-568,-233,1455,-1926,0,-533,1159,92,0,26733
-410,-256,1223,-1509,0,-669,1013,94,0,26732
-348,-324,983,-1197,0,-666,903,99,0,26729
-375,-364,831,-1097,0,-618,903,99,0,26729
-450,-364,669,-1012,0,-598,903,99,0,26729
-443,-398,487,-958,0,-595,1417,98,0,26730
-461,-412,459,-904,0,-566,1417,98,0,26730
-487,-422,420,-772,0,-505,1417,98,0,26730
-539,-497,526,-538,0,-447,2163,95,0,26734
-525,-692,992,333,0,-404,2163,95,0,26734
-674,-898,1126,1097,0,-510,2712,85,0,26752
-661,-1118,1219,2060,0,-946,2712,85,0,26752
-572,-1363,1275,2678,0,-1423,2712,85,0,26752
-217,-1918,1362,3084,0,-1929,6461,75,0,26800
246,-2576,1410,3090,0,-1808,6461,75,0,26800
1428,-3856,562,2715,0,-332,6461,75,0,26800
3731,-4769,-1695,1369,0,3063,6715,70,0,26855

