백핸드 드라이브 ,백핸드 커트 ,Matching,40
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1010,-210,141,-158,0,-246,1018,108,0,26747
1014,-218,102,-195,0,-215,1018,108,0,26747
1009,-233,55,-276,0,-179,995,110,0,26747
1018,-253,48,-442,0,-111,918,115,0,26746
987,-281,131,-549,0,-35,918,115,0,26746
894,-320,80,-896,0,103,888,126,0,26745
926,-287,80,-1046,0,102,888,126,0,26745
918,-347,197,-1205,0,136,888,126,0,26745
848,-332,223,-1259,0,119,888,126,0,26745
796,-331,216,-1300,0,41,906,130,0,26744
851,-312,276,-1314,0,-45,906,130,0,26744
831,-278,250,-1288,0,-61,903,131,0,26741
845,-266,173,-1272,0,-106,903,131,0,26741
832,-265,116,-1267,0,-185,903,131,0,26741
801,-305,109,-1231,0,-392,1057,132,0,26740
763,-310,137,-1125,0,-615,1113,131,0,26739
872,-290,309,-794,0,-823,1251,129,0,26737
984,-255,459,-364,0,-780,1382,126,0,26736
1049,-211,635,202,0,-545,1417,122,0,26735
1116,-151,768,1140,0,-73,1470,118,0,26735
1097,-41,606,1901,0,221,1785,99,0,26735
1198,154,321,2823,0,320,1785,99,0,26735
1298,327,-3,3411,0,177,1785,99,0,26735
1451,752,-566,3753,0,-111,2004,89,0,26739
1864,1179,-1080,3487,0,-152,2004,89,0,26739
1957,1139,-1231,2524,0,107,1180,81,0,26747
1673,680,-629,1784,0,239,1180,81,0,26747
1178,0,-182,1265,0,55,1168,67,0,26797
1171,-231,-185,944,0,-92,1168,67,0,26797
1280,-422,-107,619,0,-4,1168,67,0,26797
1090,-601,-127,225,0,327,1168,67,0,26797
1099,-692,-21,-99,0,613,1168,67,0,26797
1029,-676,83,-538,0,980,1152,71,0,26834
1021,-645,147,-909,0,1175,1152,71,0,26834
892,-536,398,-1380,0,1257,1152,71,0,26834
622,-496,654,-1626,0,1136,1152,71,0,26834
254,-506,971,-1721,0,684,1476,66,0,26831
116,-519,1220,-1554,0,216,1476,66,0,26831
236,-517,1439,-1187,0,-210,1377,63,0,26828
410,-609,1315,-586,0,-568,1255,55,0,26820
570,-743,1119,-182,0,-737,1255,55,0,26820
775,-767,929,198,0,-851,1001,47,0,26812
804,-706,826,451,0,-839,1001,47,0,26812
751,-618,644,729,0,-773,845,43,0,26807
649,-510,512,891,0,-721,667,37,0,26799
528,-388,414,1028,0,-680,667,37,0,26799
454,-323,365,1092,0,-663,672,34,0,26794
372,-279,336,1116,0,-668,768,32,0,26791
326,-294,370,1114,0,-701,817,29,0,26786
291,-279,426,1111,0,-761,1039,25,0,26777
293,-271,530,1111,0,-856,1039,25,0,26777
332,-303,676,1141,0,-919,1370,23,0,26772
447,-373,905,1233,0,-953,1653,21,0,26764
505,-433,1106,1363,0,-945,1653,21,0,26764
590,-420,1314,1564,0,-921,1878,20,0,26759
560,-265,1517,1718,0,-919,2110,20,0,26756
427,108,1673,1917,0,-1144,2205,19,0,26752
297,481,1660,1893,0,-1591,2638,18,0,26749
445,688,1686,1345,0,-2465,3741,12,0,26744
1152,1503,2231,503,0,-2743,3741,12,0,26744

