백핸드 드라이브 ,백핸드 드라이브 ,Matching,55
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
815,-196,790,1250,0,-2136,1179,72,0,41493
764,-181,857,1038,0,-2084,1197,63,0,41483
759,-141,954,923,0,-2057,1156,36,0,41459
782,-105,965,830,0,-2015,1156,36,0,41459
807,-74,902,757,0,-1980,1104,22,0,41446
786,-32,848,604,0,-1893,1077,60,0,41419
755,13,849,446,0,-1784,1077,60,0,41419
685,20,873,310,0,-1630,1077,60,0,41419
575,-2,898,197,0,-1452,1077,60,0,41419
561,63,877,121,0,-1334,1077,60,0,41419
575,130,857,-4,0,-1155,1077,60,0,41419
571,191,887,-97,0,-992,1155,60,0,41414
454,232,1012,-142,0,-816,1155,60,0,41414
423,310,1030,-143,0,-789,1155,58,0,41410
447,394,1003,-204,0,-853,1155,58,0,41410
478,467,1147,-353,0,-880,1155,58,0,41410
306,456,1245,-316,0,-1022,861,54,0,41403
322,446,1194,-273,0,-1141,861,54,0,41403
299,370,1064,-287,0,-1115,861,54,0,41403
257,220,778,-460,0,-920,1024,52,0,41402
165,98,409,-1023,0,-394,1573,49,0,41403
24,182,320,-1494,0,124,1573,49,0,41403
-219,465,552,-1547,0,788,2757,45,0,41403
-536,705,457,-1098,0,1005,2757,45,0,41403
-1177,821,300,-556,0,356,2757,45,0,41403
-1264,792,1785,511,0,-746,4386,36,0,41406
-1041,518,3841,3910,0,-1845,4386,36,0,41406
-966,-37,2579,5837,0,-2702,4386,36,0,41406
-92,-4169,-1892,2829,0,-1942,3665,32,0,41457
2629,-5666,-4565,-3289,0,4611,3665,32,0,41457
3862,-2174,202,-10405,0,10806,3665,32,0,41457
622,-381,4003,-12484,0,10844,2158,70,0,41492
-447,-765,2863,-10603,0,8848,2158,70,0,41492
707,-1717,995,-7593,0,6697,2236,99,0,41517
584,-2164,258,-5581,0,5150,2236,99,0,41517
354,-2332,81,-4118,0,3009,2059,109,0,41527
390,-2100,369,-3540,0,1760,1959,105,0,41538
671,-1592,854,-3053,0,614,1959,105,0,41538
941,-1355,1099,-2652,0,173,1940,63,0,41744
992,-1255,1154,-2214,0,-40,1940,63,0,41744
991,-1147,1205,-1744,0,-188,1940,63,0,41744
972,-1073,1286,-1415,0,-241,1940,63,0,41744
982,-1042,1328,-995,0,-271,1860,64,0,41734
965,-975,1389,-695,0,-270,1860,64,0,41734
930,-889,1415,-344,0,-276,1812,66,0,41720
911,-853,1411,-59,0,-306,1812,66,0,41720
816,-771,1468,319,0,-429,1803,69,0,41706
783,-629,1536,643,0,-622,1693,74,0,41675
789,-519,1530,1052,0,-925,1693,74,0,41675
876,-524,1491,1443,0,-1140,1586,83,0,41631
875,-471,1460,1629,0,-1185,1586,83,0,41631
830,-377,1473,1785,0,-1231,1586,83,0,41631
757,-291,1403,2030,0,-1336,1463,87,0,41619
717,-280,1297,2174,0,-1429,1400,93,0,41602
708,-280,1215,2292,0,-1531,1400,93,0,41602
737,-282,1248,2371,0,-1570,1359,97,0,41595
699,-264,1232,2494,0,-1598,1283,101,0,41584
571,-187,1150,2642,0,-1743,1283,101,0,41584
562,-76,1143,2732,0,-1976,1297,102,0,41578
662,-86,1150,2774,0,-2258,1253,103,0,41568

