백핸드 드라이브 ,포핸드 쇼트 ,Matching,26
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
982,290,112,141,0,478,1157,81,0,21399
1055,305,170,280,0,496,1157,81,0,21399
1104,273,255,397,0,463,1153,79,0,21397
1162,258,248,552,0,306,1119,71,0,21389
994,380,310,603,0,52,1119,71,0,21389
876,366,311,646,0,-417,1119,71,0,21389
761,308,187,639,0,-1153,1189,66,0,21384
777,213,114,543,0,-1695,1402,61,0,21380
505,230,476,522,0,-2216,1780,49,0,21371
1472,513,848,785,0,-2161,1780,49,0,21371
2439,680,313,1320,0,-1090,1348,42,0,21367
1179,107,1501,1832,0,-156,1033,29,0,21361
1154,848,1213,3916,0,1174,1033,29,0,21361
1055,1074,391,4477,0,957,903,25,0,21353
611,1005,-275,4453,0,524,903,25,0,21353
222,729,-623,4045,0,136,903,25,0,21353
-156,235,-733,3166,0,-340,903,25,0,21353
-289,-216,-718,2338,0,-651,1050,27,0,21354
-31,-460,-743,1149,0,-860,1305,30,0,21359
342,-365,-791,192,0,-778,1305,30,0,21359
856,-274,-477,-940,0,-346,1467,40,0,21373
825,-231,-400,-1591,0,72,1467,40,0,21373
986,-157,110,-2193,0,553,1728,46,0,21382
983,-300,588,-2354,0,819,1865,63,0,21406
1190,-252,1337,-2212,0,967,1865,63,0,21406
1860,-109,1841,-1920,0,1402,1442,77,0,21430
1435,-46,1878,-1641,0,1763,1442,77,0,21430
1463,-43,755,-1641,0,2191,1329,88,0,21445
1460,-183,627,-1630,0,2449,1329,88,0,21445
1431,-223,467,-1584,0,2347,1223,94,0,21456
1246,-323,368,-1439,0,1994,1223,94,0,21456
1155,-373,272,-1219,0,1608,1223,94,0,21456
1143,-444,286,-834,0,1144,1151,94,0,21458
1179,-520,214,-506,0,884,1065,94,0,21462
1125,-542,7,-257,0,693,1065,94,0,21462
1091,-725,-124,-83,0,547,1065,94,0,21462
866,-746,-206,-17,0,429,1011,93,0,21462
716,-652,-213,11,0,192,1024,91,0,21463
759,-694,-116,-8,0,47,1024,91,0,21463
769,-748,-80,-19,0,5,1024,91,0,21463
748,-754,-41,-15,0,6,1015,91,0,21463
715,-737,-24,-6,0,5,1012,91,0,21463
705,-729,-26,0,0,-2,1012,91,0,21463
699,-727,-18,3,0,-15,1012,91,0,21463
702,-725,-8,-1,0,-22,1014,91,0,21463
704,-732,-18,-6,0,-21,1014,91,0,21463
709,-732,-24,-9,0,-12,1014,91,0,21463
703,-732,-26,-15,0,-1,1014,91,0,21463
711,-729,-31,16,0,-4,1013,91,0,21463
710,-729,-23,25,0,-11,1012,91,0,21462
706,-736,-23,17,0,-12,1012,91,0,21462
700,-737,-26,-7,0,5,1012,91,0,21462
702,-735,-16,-22,0,14,1011,91,0,21461
700,-735,-17,-25,0,23,1011,91,0,21461
700,-735,-17,-23,0,23,1011,91,0,21461
697,-732,-9,-19,0,15,1020,91,0,21462
704,-724,-13,-5,0,-3,1020,91,0,21462
716,-734,-29,23,0,-26,1020,91,0,21462
714,-738,-27,33,0,-21,1016,93,0,21462
715,-737,-33,43,0,-12,1016,93,0,21462

