백핸드 드라이브 ,백핸드 스메싱 ,Matching,63
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1283,425,-362,-1088,0,-954,1406,90,0,12703
1186,712,-305,-856,0,-349,1394,91,0,12714
938,644,-218,-585,0,328,1394,91,0,12714
1544,326,-643,-320,0,638,1221,88,0,12738
1115,384,-705,-18,0,972,1221,88,0,12738
1000,777,-144,160,0,946,1221,88,0,12738
884,897,-198,309,0,720,1221,88,0,12738
912,775,-96,415,0,322,1221,88,0,12738
1019,672,-126,435,0,43,1187,87,0,12736
1032,652,-78,360,0,-121,1137,85,0,12734
1090,706,14,249,0,-153,1137,85,0,12734
962,641,85,119,0,-114,1108,87,0,12732
869,636,151,23,0,-155,1108,87,0,12732
837,637,191,-61,0,-241,1147,89,0,12732
922,668,291,-105,0,-244,1110,90,0,12731
931,629,192,-149,0,-133,1110,90,0,12731
868,624,96,-251,0,49,1147,91,0,12730
720,684,69,-344,0,124,1369,92,0,12731
528,814,168,-261,0,57,1369,92,0,12731
279,954,125,-32,0,-167,1903,91,0,12731
98,1096,80,361,0,-614,1903,91,0,12731
-135,1173,16,747,0,-989,2593,91,0,12730
-414,1143,323,1480,0,-1527,4521,88,0,12732
-657,727,1297,2560,0,-1652,4521,88,0,12732
-1527,-482,2938,4534,0,-1687,6218,90,0,12735
-1946,-2850,3231,5163,0,-1790,7640,93,0,12739
-1500,-6587,3676,2935,0,-304,7628,97,0,12745
324,-10663,415,-3778,0,5313,4726,101,0,12737
3255,-8483,-930,-10743,0,9327,4726,101,0,12737
3607,-3913,671,-15417,0,8728,4120,94,0,12647
2265,-2520,1452,-14934,0,7291,4748,81,0,12611
1466,-2633,2161,-12195,0,5045,4748,81,0,12611
1187,-3645,3088,-9108,0,3300,4500,77,0,12608
1123,-5219,2390,-4396,0,1636,3216,71,0,12601
1675,-5837,213,-2308,0,327,3216,71,0,12601
2492,-3268,646,-1113,0,-321,1859,70,0,12591
1861,-2049,257,-615,0,-231,1859,70,0,12591
1469,-1601,544,-198,0,-515,1859,70,0,12591
1537,-1368,495,-15,0,-479,1859,70,0,12591
1389,-1181,485,206,0,-319,1765,71,0,12589
1291,-1124,478,348,0,-231,1750,73,0,12578
1245,-1090,452,590,0,-154,1750,73,0,12578
1222,-1131,374,823,0,-140,1750,73,0,12578
1217,-1165,320,1160,0,-221,1892,74,0,12562
1255,-1224,331,1474,0,-345,1892,74,0,12562
1351,-1278,414,1976,0,-512,1870,77,0,12514
1462,-1272,480,2461,0,-606,1870,77,0,12514
1478,-1247,438,2978,0,-677,1766,79,0,12476
1243,-1259,117,3521,0,-873,1761,82,0,12434
1194,-1252,22,3754,0,-1134,1761,82,0,12434
1304,-1277,241,3949,0,-1318,1650,82,0,12427
1241,-1160,485,4087,0,-1322,1485,82,0,12418
972,-976,870,4237,0,-1395,1485,82,0,12418
873,-936,869,4235,0,-1496,1427,82,0,12413
880,-887,854,3885,0,-1566,1306,82,0,12408
801,-867,880,3330,0,-1461,1306,82,0,12408
677,-790,955,2638,0,-1291,1206,82,0,12405
580,-606,1122,1828,0,-1041,1158,83,0,12403
558,-406,1124,1425,0,-872,1009,84,0,12401
516,-169,957,1116,0,-708,880,86,0,12399

