백핸드 쇼트 ,백핸드 쇼트 ,Matching,91
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
801,15,876,288,0,-1565,1083,73,0,33224
789,33,821,298,0,-1524,1052,71,0,33217
807,16,729,230,0,-1455,1052,71,0,33217
800,-6,696,103,0,-1383,1052,71,0,33217
768,34,743,-54,0,-1286,1052,71,0,33217
715,91,779,-119,0,-1226,989,72,0,33213
692,174,765,-132,0,-1204,910,75,0,33209
682,246,692,-145,0,-1173,910,75,0,33209
630,258,654,-184,0,-1146,879,75,0,33207
643,294,604,-240,0,-1091,810,77,0,33204
638,298,634,-232,0,-979,810,77,0,33204
531,283,615,-135,0,-765,740,80,0,33203
501,258,479,-100,0,-596,740,80,0,33203
594,216,339,-175,0,-292,764,80,0,33202
614,236,270,-275,0,24,843,83,0,33203
575,266,292,-358,0,348,843,83,0,33203
402,358,519,-312,0,611,982,84,0,33204
230,497,672,-60,0,525,1094,88,0,33205
30,711,678,459,0,-20,1094,88,0,33205
-126,737,910,867,0,-724,979,98,0,33208
15,774,2055,1674,0,-1549,979,98,0,33208
-35,484,1605,2215,0,-1681,979,98,0,33208
-354,-403,-108,528,0,-1334,2618,111,0,33218
150,-697,2362,-873,0,255,2618,111,0,33218
1181,-2754,704,-2404,0,2962,1958,120,0,33224
1311,-1466,-1345,-6936,0,4271,1556,133,0,33232
98,39,2552,-9318,0,3952,1556,133,0,33232
276,330,1792,-7423,0,3165,1146,130,0,33235
678,-176,867,-5253,0,2893,1146,130,0,33235
769,-605,-223,-2863,0,2423,1283,127,0,33237
748,-974,-809,-1927,0,1845,1017,123,0,33238
820,-783,-106,-1736,0,1335,1017,123,0,33238
679,-632,315,-1608,0,1115,1074,120,0,33238
550,-462,605,-1413,0,784,1204,116,0,33239
529,-344,781,-1258,0,511,1204,116,0,33239
588,-312,911,-1097,0,260,1317,114,0,33239
657,-303,1014,-874,0,38,1387,111,0,33241
743,-305,1059,-711,0,-34,1402,109,0,33244
756,-221,1146,-464,0,-38,1417,106,0,33249
710,-137,1220,-237,0,-58,1417,106,0,33249
660,-69,1252,60,0,-136,1421,103,0,33257
637,-72,1274,212,0,-201,1421,103,0,33257
579,-68,1271,312,0,-263,1421,103,0,33257
566,-14,1308,382,0,-296,1418,103,0,33258
548,26,1312,522,0,-329,1414,101,0,33263
555,58,1337,653,0,-358,1414,101,0,33263
532,79,1347,803,0,-381,1383,101,0,33264
500,62,1339,959,0,-453,1383,101,0,33264
492,29,1307,1053,0,-518,1366,100,0,33263
491,-13,1303,1072,0,-630,1330,100,0,33261
527,-19,1303,1088,0,-713,1330,100,0,33261
544,-26,1215,1136,0,-788,1330,100,0,33260
533,-40,1250,1179,0,-840,1292,99,0,33257
520,-60,1260,1319,0,-935,1292,99,0,33257
524,-73,1184,1374,0,-1023,1290,99,0,33253
531,-87,1148,1346,0,-1095,1290,99,0,33253
544,-119,1172,1289,0,-1150,1283,99,0,33251
521,-78,1216,1295,0,-1193,1225,98,0,33245
524,-42,1199,1372,0,-1275,1225,98,0,33245
577,-75,1092,1393,0,-1318,1216,97,0,33243

