백핸드 커트 ,백핸드 쇼트 ,Matching,36
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
495,773,85,-94,0,-168,1016,55,0,-7492
552,828,49,-78,0,-175,1022,53,0,-7494
484,892,50,6,0,-196,1022,53,0,-7494
473,919,65,140,0,-266,1015,52,0,-7495
411,943,76,450,0,-411,1008,50,0,-7497
356,943,147,754,0,-542,1008,50,0,-7497
350,887,387,1251,0,-661,997,50,0,-7498
274,782,498,1662,0,-707,997,50,0,-7498
150,608,466,1970,0,-781,1120,51,0,-7497
42,346,422,2029,0,-803,1264,53,0,-7496
-12,-10,530,1796,0,-610,1448,56,0,-7492
-72,-452,921,1284,0,-63,1553,65,0,-7482
-18,-805,966,705,0,615,1553,65,0,-7482
256,-1248,591,-605,0,1865,1638,73,0,-7475
644,-1373,105,-2232,0,2880,1705,91,0,-7459
1199,-946,-553,-4559,0,3653,1705,91,0,-7459
2039,-463,747,-7003,0,4294,1577,125,0,-7438
1964,-35,1022,-7261,0,4602,1577,125,0,-7438
1482,-12,868,-6981,0,4571,1577,125,0,-7438
1047,-41,174,-6645,0,4090,1577,125,0,-7438
1010,-349,-196,-6150,0,3344,1577,125,0,-7438
977,-675,-136,-5411,0,2740,1577,125,0,-7438
909,-1109,-236,-3833,0,1724,1928,126,0,-7439
1110,-1421,-644,-2716,0,916,1937,126,0,-7440
1437,-1373,-682,-1879,0,162,1846,126,0,-7442
1538,-1106,-382,-1464,0,-149,1799,125,0,-7443
1517,-936,-141,-844,0,-338,1799,125,0,-7443
1543,-946,-184,-413,0,-377,1794,123,0,-7444
1648,-1015,-331,-172,0,-395,1752,122,0,-7444
1687,-946,-220,-39,0,-272,1752,122,0,-7444
1542,-866,-143,65,0,-215,1733,120,0,-7443
1524,-750,-47,233,0,-218,1733,120,0,-7443
1556,-742,-42,410,0,-160,1740,119,0,-7442
1626,-742,-132,601,0,-44,1712,117,0,-7441
1632,-771,-189,647,0,38,1712,117,0,-7441
1643,-736,-123,626,0,90,1661,114,0,-7439
1667,-721,-17,647,0,87,1661,114,0,-7439
1660,-697,15,789,0,3,1627,112,0,-7440
1669,-688,-79,945,0,-141,1528,104,0,-7439
1692,-711,-23,1139,0,-336,1528,104,0,-7439
1728,-647,66,1561,0,-619,1350,99,0,-7439
1620,-541,38,1966,0,-888,1150,87,0,-7440
1465,-406,-148,2371,0,-1348,1150,87,0,-7440
1495,-363,-252,2514,0,-1733,921,84,0,-7443
1498,-279,-250,2526,0,-1988,766,97,0,-7257
1326,-279,-114,2478,0,-2029,766,97,0,-7257
1159,-142,-96,2361,0,-2001,766,97,0,-7257
855,-178,189,2330,0,-1933,766,97,0,-7257
629,-90,82,2232,0,-1952,766,97,0,-7257
540,-91,393,2203,0,-1986,766,97,0,-7257
688,116,249,2170,0,-1922,766,97,0,-7257
678,-14,27,1846,0,-1617,766,97,0,-7257
525,56,-40,1439,0,-1345,766,97,0,-7257
494,114,193,987,0,-933,766,97,0,-7257
501,178,381,849,0,-584,876,94,0,-7258
313,313,504,844,0,-272,876,94,0,-7258
217,425,497,890,0,-247,876,94,0,-7258
233,504,190,921,0,-403,949,92,0,-7260
466,552,-51,859,0,-540,949,92,0,-7260
630,615,-258,741,0,-599,967,90,0,-7262

