백핸드 쇼트 ,백핸드 스메싱 ,Matching,81
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
525,317,571,836,0,-1560,708,115,0,12336
448,296,520,773,0,-1294,674,114,0,12334
322,310,543,729,0,-1117,635,111,0,12333
291,337,604,736,0,-975,635,111,0,12333
309,318,583,821,0,-761,498,109,0,12334
223,303,490,867,0,-591,498,109,0,12334
133,316,345,865,0,-445,510,108,0,12333
25,363,216,800,0,-424,532,107,0,12333
-9,326,-6,608,0,-482,730,105,0,12336
13,183,-73,368,0,-519,730,105,0,12336
113,-21,153,147,0,-488,730,105,0,12336
193,-162,567,231,0,-337,1153,104,0,12338
332,-192,1238,965,0,40,950,101,0,12345
331,-145,1359,1937,0,428,950,101,0,12345
-4,-11,735,2779,0,525,1157,99,0,12349
-247,-90,-388,2715,0,-17,2576,102,0,12353
-82,-478,-718,1485,0,-549,2576,102,0,12353
1346,-1049,1231,-417,0,18,2695,105,0,12353
1244,-1909,2520,-918,0,2387,2028,106,0,12344
1679,-3952,-1704,-3755,0,4845,2028,106,0,12344
-264,500,1043,-8675,0,5871,3245,102,0,12309
1489,-1305,2248,-6117,0,1922,3245,102,0,12309
4118,-1845,1186,-1640,0,-2134,3245,102,0,12309
4310,-973,956,-562,0,-2475,3245,102,0,12309
3228,-132,836,8,0,-1998,2293,104,0,12319
2323,210,846,422,0,-1172,1597,105,0,12324
1634,456,695,691,0,-624,1260,108,0,12339
1113,510,568,900,0,-265,1260,108,0,12339
914,460,615,1060,0,-208,1326,109,0,12343
938,294,713,1314,0,-281,1489,106,0,12352
962,215,621,1482,0,-371,1489,106,0,12352
1037,170,565,1507,0,-456,1489,106,0,12352
1049,191,693,1448,0,-536,1489,106,0,12352
1130,312,1056,1666,0,-742,1489,106,0,12352
1136,421,1015,2119,0,-964,1467,94,0,12346
1054,570,852,2523,0,-1236,1467,94,0,12346
951,635,888,2910,0,-1734,1467,94,0,12346
997,602,976,3014,0,-2062,1420,84,0,12339
1058,535,852,2931,0,-2202,1420,84,0,12339
1147,520,801,2726,0,-2216,1071,77,0,12335
1053,534,755,2412,0,-2095,887,53,0,12309
907,530,781,2163,0,-1976,887,53,0,12309
725,494,723,1899,0,-1915,887,53,0,12309
680,468,667,1754,0,-1843,887,53,0,12309
552,449,724,1642,0,-1724,887,53,0,12309
544,409,737,1633,0,-1628,887,53,0,12309
496,320,710,1655,0,-1459,536,48,0,12302
430,299,580,1632,0,-1324,536,48,0,12302
320,297,355,1436,0,-1115,447,45,0,12296
177,272,181,1170,0,-972,447,45,0,12296
127,185,88,864,0,-894,447,45,0,12296
187,169,229,544,0,-829,858,45,0,12297
235,135,444,472,0,-722,858,45,0,12297
250,63,622,572,0,-470,1128,46,0,12301
336,-9,861,809,0,-156,1128,46,0,12301
531,-58,1053,1385,0,403,1056,47,0,12304
399,-7,854,1917,0,827,1166,52,0,12313
-72,20,163,2275,0,943,1166,52,0,12313
-276,-121,-437,1871,0,631,2088,57,0,12318
-204,-422,-466,770,0,124,4148,74,0,12335

