백핸드 쇼트 ,포핸드 커트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
547,83,691,1002,0,-412,1058,61,0,17661
541,-20,749,941,0,-254,1135,60,0,17660
395,-67,815,915,0,-136,1135,60,0,17660
251,-97,1005,991,0,-138,1159,60,0,17658
246,-109,973,1073,0,-223,1245,60,0,17658
332,-112,942,1104,0,-327,1245,60,0,17658
413,-116,1005,1054,0,-420,1332,61,0,17659
462,-185,967,930,0,-414,1332,61,0,17659
542,-318,927,541,0,-272,1453,63,0,17660
535,-366,1064,92,0,-30,1571,67,0,17669
342,-431,1274,-454,0,276,1571,67,0,17669
366,-592,1357,-831,0,468,1598,69,0,17676
588,-882,1462,-1360,0,880,1547,74,0,17700
440,-812,1447,-1785,0,1166,1547,74,0,17700
474,-588,1491,-2171,0,1258,1478,77,0,17715
624,-186,1508,-2289,0,1374,1386,79,0,17738
499,121,1086,-2083,0,1356,1386,79,0,17738
429,574,674,-1762,0,1049,1613,78,0,17747
875,726,395,-1490,0,842,1613,78,0,17747
1106,856,-20,-1057,0,761,1735,77,0,17746
1134,979,-231,-752,0,663,1859,74,0,17743
1172,983,-465,-379,0,400,1859,74,0,17743
1291,945,-560,-191,0,143,1900,73,0,17741
1521,923,-623,-26,0,-129,1909,70,0,17733
1682,934,-641,71,0,-254,1909,70,0,17733
1809,988,-734,114,0,-313,1753,70,0,17728
1875,963,-811,39,0,-318,1753,70,0,17728
1818,989,-752,-38,0,-288,1502,69,0,17723
1534,1047,-646,-43,0,-304,1387,70,0,17715
1426,1043,-567,-1,0,-364,1387,70,0,17715
1311,1033,-421,150,0,-392,1200,69,0,17709
1090,1000,-249,323,0,-416,1033,69,0,17696
865,931,9,596,0,-453,1033,69,0,17696
830,889,182,847,0,-499,924,68,0,17679
758,731,250,1045,0,-492,924,68,0,17679
649,539,370,1168,0,-522,927,68,0,17675
656,345,484,1206,0,-538,952,68,0,17663
720,210,490,1155,0,-381,952,68,0,17663
590,216,576,1050,0,-223,1010,67,0,17659
374,179,865,991,0,-220,1023,66,0,17655
373,28,1021,1083,0,-353,1023,66,0,17655
572,10,856,1206,0,-458,1021,65,0,17652
542,-25,713,1173,0,-420,1021,65,0,17652
426,-54,774,992,0,-296,1099,64,0,17651
358,-38,937,933,0,-241,1155,65,0,17650
347,-84,940,928,0,-266,1155,65,0,17650
418,-53,914,835,0,-356,1240,65,0,17652
418,-27,961,720,0,-428,1289,67,0,17653
531,-109,949,497,0,-441,1289,67,0,17653
571,-213,913,184,0,-286,1397,69,0,17656
418,-339,1015,-374,0,25,1539,73,0,17664
445,-465,1208,-756,0,276,1539,73,0,17664
622,-700,1373,-1080,0,727,1472,78,0,17690
489,-751,1143,-1441,0,1085,1472,78,0,17690
396,-495,1333,-2046,0,1201,1472,80,0,17706
728,-300,1477,-2155,0,1307,1422,81,0,17727
733,-41,1061,-2096,0,1471,1456,82,0,17744
495,579,945,-1833,0,1346,1517,82,0,17758
441,884,701,-1571,0,975,1517,82,0,17758
1005,903,342,-1218,0,590,1587,82,0,17758

