백핸드 스메싱 ,포핸드 커트 ,Matching,43
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
170,366,857,219,0,-630,989,86,0,27127
148,373,910,106,0,-567,988,85,0,27126
131,427,957,119,0,-568,927,86,0,27124
138,443,854,210,0,-579,865,85,0,27122
201,427,805,282,0,-589,865,85,0,27122
230,416,712,345,0,-572,877,86,0,27121
293,406,691,371,0,-507,914,86,0,27119
281,400,721,388,0,-421,914,86,0,27119
263,398,770,408,0,-361,925,84,0,27115
265,411,804,439,0,-369,925,84,0,27115
296,386,826,505,0,-399,925,84,0,27115
345,370,767,559,0,-397,970,83,0,27113
371,370,731,569,0,-344,970,83,0,27113
406,386,697,549,0,-285,1043,82,0,27112
396,398,792,522,0,-198,1151,79,0,27109
345,424,838,563,0,-166,1151,79,0,27109
269,460,902,653,0,-190,1253,78,0,27107
174,490,1005,871,0,-298,1433,74,0,27102
147,539,1112,1108,0,-438,1433,74,0,27102
231,632,1183,1474,0,-599,1542,70,0,27097
379,684,1235,1711,0,-621,1542,70,0,27097
513,712,1219,1793,0,-490,1581,68,0,27095
453,619,1284,1558,0,-416,1709,67,0,27089
282,647,1349,749,0,-707,1709,67,0,27089
102,615,1444,-202,0,-1302,1843,66,0,27086
312,1135,1635,-1299,0,-1967,1600,59,0,27077
1621,1426,2236,-1658,0,-1531,1600,59,0,27077
-483,2020,1442,-1315,0,230,1600,59,0,27077
-958,1802,1032,-1100,0,77,948,54,0,27073
-450,961,935,-953,0,-339,948,54,0,27073
-105,511,910,-839,0,-552,924,55,0,27070
108,235,905,-624,0,-670,822,56,0,27069
129,134,822,-449,0,-725,811,57,0,27063
141,-83,734,-233,0,-835,811,57,0,27063
221,-75,768,-87,0,-904,811,57,0,27063
315,-67,797,128,0,-880,799,57,0,27058
359,-224,760,238,0,-820,799,57,0,27058
262,-152,736,334,0,-767,799,57,0,27058
211,-129,734,395,0,-729,838,58,0,27058
180,-177,773,425,0,-696,879,58,0,27057
130,-148,816,414,0,-682,920,59,0,27055
95,-124,823,364,0,-678,920,59,0,27055
89,-56,866,202,0,-652,991,60,0,27054
48,-3,898,28,0,-585,1082,60,0,27053
-112,59,976,-211,0,-499,1107,62,0,27054
-394,128,1063,-435,0,-504,1107,62,0,27054
-394,102,1071,-457,0,-517,1073,63,0,27058
-283,22,997,-392,0,-364,1073,63,0,27058
-270,-25,914,-233,0,58,1073,63,0,27058
-294,-86,970,-73,0,467,1682,62,0,27062
-445,-245,1016,175,0,907,1682,62,0,27062
-621,-269,1042,393,0,1003,2318,62,0,27064
-744,-249,1087,656,0,774,2563,62,0,27067
-750,-171,1217,1123,0,-45,3197,62,0,27068
-698,-407,1096,1556,0,-1019,5846,67,0,27085
-707,-1636,333,1728,0,-2703,5846,67,0,27085
-1810,-2232,122,1379,0,-4672,5846,67,0,27085
3180,-2081,3800,1803,0,-3717,7629,75,0,27120
3244,-4267,1936,1797,0,1755,7629,75,0,27120
2531,-6699,-4239,-416,0,9298,6633,77,0,27146

