백핸드 스메싱 ,포핸드 드라이브 ,Matching,50
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
409,53,733,1074,0,-1061,1017,114,0,26811
491,-22,764,1140,0,-1153,1017,114,0,26811
578,-42,845,1311,0,-1155,1013,112,0,26808
564,-71,815,1460,0,-1077,1018,109,0,26807
556,-97,900,1644,0,-967,977,101,0,26799
515,-106,855,1783,0,-923,977,101,0,26799
514,-178,839,1857,0,-925,977,101,0,26799
456,-255,812,1897,0,-1041,1025,97,0,26795
465,-321,821,1879,0,-1165,1070,91,0,26787
569,-385,800,1808,0,-1248,1070,91,1,26787
590,-415,791,1704,0,-1211,1074,88,0,26783
566,-439,631,1466,0,-1133,1191,82,0,26774
496,-506,670,1216,0,-1121,1191,82,0,26774
402,-525,842,1030,0,-1253,1368,80,0,26769
354,-523,1019,1043,0,-1475,1532,70,0,26753
462,-429,1140,1260,0,-1795,1532,70,0,26753
695,-153,1284,1729,0,-1984,1532,70,0,26753
819,-89,1420,1979,0,-1873,1377,62,0,26744
780,-195,1391,2069,0,-1707,1377,62,0,26744
667,-514,1242,1933,0,-1490,1377,62,0,26744
411,-745,1061,1497,0,-1463,1575,61,0,26743
281,-1002,997,455,0,-1568,1854,54,0,26745
214,-1210,1246,-616,0,-1690,1854,54,0,26745
362,-1312,1845,-1789,0,-1756,1854,54,0,26745
468,-1144,2279,-2397,0,-1604,1854,54,0,26745
409,-906,2305,-2954,0,-944,1690,49,0,26750
57,-790,2134,-3394,0,-284,1361,58,0,26755
-109,-668,2214,-3576,0,340,1361,58,0,26755
-513,-592,1930,-3337,0,855,1361,58,0,26755
-993,-359,1636,-2996,0,878,1361,58,0,26755
-957,-426,1399,-2436,0,503,1361,58,0,26755
-677,-635,1108,-2071,0,155,829,62,0,26755
-284,-541,818,-1673,0,-100,829,62,0,26755
-246,-384,746,-1350,0,-155,829,62,0,26755
-149,-388,748,-951,0,-153,738,62,0,26755
-217,-361,547,-372,0,-72,751,62,0,26756
-183,-414,423,14,0,3,880,61,0,26758
-161,-500,261,419,0,141,1305,57,0,26764
-219,-452,341,680,0,235,1305,57,0,26764
-218,-494,364,1034,0,300,1930,49,0,26781
-164,-500,370,1341,0,343,1930,49,0,26781
-70,-591,366,1799,0,415,1930,49,0,26781
-100,-787,373,2211,0,384,1930,49,0,26781
-326,-1217,315,2769,0,-135,2843,49,0,26787
-331,-2033,-256,2889,0,-1733,5741,58,0,26815
473,-2574,-503,1834,0,-2464,5741,58,0,26815
2004,-3034,861,594,0,-1146,5741,58,0,26815
2348,-4774,1172,-40,0,4040,6853,62,0,26839
1734,-5903,-1442,515,0,8281,7624,68,0,26921
4318,-6020,-4670,-874,0,11573,7624,68,0,26921
7490,-5152,-1656,-4196,0,14190,5295,67,0,26993
9038,-5626,1168,-9616,0,14034,5295,67,0,26993
4099,-2021,4114,-11921,0,10937,4483,60,0,27001
1061,-2504,3694,-10291,0,7789,4335,54,0,27005
1519,-3883,2007,-7384,0,4192,4060,51,0,27006
2050,-4583,806,-5134,0,2292,4060,51,0,27006
2238,-4435,-781,-3632,0,783,2669,46,0,27006
2884,-3822,-922,-2815,0,-100,2669,46,0,27006
3035,-2792,-621,-1967,0,-145,2669,46,0,27006
2630,-1850,-732,-922,0,148,2073,43,0,27007

