백핸드 스메싱 ,포핸드 쇼트 ,Matching,86
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1165,-591,1137,-2891,0,-570,1422,35,0,-3920
1046,-506,1045,-2403,0,-476,900,24,0,-3923
887,-416,973,-1963,0,-399,900,24,0,-3923
679,-309,846,-1374,0,-375,900,24,0,-3923
601,-236,769,-930,0,-397,900,24,0,-3923
539,-153,705,-373,0,-404,905,25,0,-3924
472,-146,719,2,0,-408,905,25,0,-3924
422,-94,728,413,0,-430,905,25,0,-3924
404,-37,774,683,0,-448,1028,28,0,-3925
386,-29,810,966,0,-442,1154,36,0,-3926
353,3,900,1178,0,-444,1154,36,0,-3926
292,-5,948,1420,0,-508,1393,53,0,-3925
295,19,1043,1581,0,-586,1393,53,0,-3925
330,48,1174,1776,0,-651,1393,53,0,-3925
330,63,1301,2083,0,-703,1588,67,0,-3920
302,49,1342,2312,0,-747,1588,67,0,-3920
268,-82,1450,2534,0,-826,1751,75,0,-3913
335,-171,1590,2662,0,-867,1865,84,0,-3901
371,-217,1708,2833,0,-859,1892,91,0,-3887
290,-239,1714,2989,0,-879,2026,107,0,-3850
254,-359,1805,3167,0,-1000,2026,107,0,-3850
338,-439,1987,3344,0,-1113,1992,113,0,-3836
409,-539,1891,3570,0,-1213,1974,134,0,-3819
399,-613,1780,3634,0,-1293,1974,134,0,-3819
439,-672,1802,3683,0,-1367,1974,134,0,-3819
512,-760,1816,3822,0,-1406,1752,138,0,-3818
522,-841,1685,3863,0,-1396,1702,141,0,-3817
560,-814,1620,3808,0,-1416,1519,140,0,-3819
617,-787,1437,3791,0,-1418,1519,140,0,-3819
690,-837,1126,3670,0,-1381,1458,138,0,-3820
721,-885,1024,3476,0,-1329,1388,132,0,-3824
709,-879,1006,3235,0,-1272,1388,132,0,-3824
736,-832,930,3076,0,-1199,1303,128,0,-3826
739,-839,766,2899,0,-1101,1255,123,0,-3829
784,-847,664,2588,0,-1038,1236,115,0,-3835
831,-804,622,2293,0,-1064,1236,115,0,-3835
858,-758,651,2099,0,-1127,1160,102,0,-3843
844,-760,626,2055,0,-1163,1160,102,0,-3843
845,-729,517,2020,0,-1232,1160,102,0,-3843
834,-710,405,1908,0,-1288,1154,98,0,-3845
879,-677,396,1687,0,-1352,1093,88,0,-3849
921,-650,425,1530,0,-1355,1093,88,0,-3849
948,-619,435,1380,0,-1269,1093,88,0,-3849
911,-626,357,1242,0,-1195,1077,81,0,-3846
868,-553,315,997,0,-1149,1077,81,0,-3846
871,-477,336,811,0,-1116,1122,78,0,-3844
934,-357,394,477,0,-950,1151,70,0,-3839
957,-305,447,394,0,-877,1151,70,0,-3839
967,-258,509,335,0,-823,1151,70,0,-3839
983,-206,566,333,0,-838,1151,70,0,-3839
978,-112,592,372,0,-934,1189,71,0,-3845
958,-27,600,404,0,-1043,1189,71,0,-3845
986,37,594,391,0,-1173,1245,70,0,-3848
1047,77,617,332,0,-1212,1273,71,0,-3851
1069,129,692,212,0,-1204,1267,73,0,-3856
1066,156,779,104,0,-1213,1267,73,0,-3856
1090,191,802,-27,0,-1197,1128,76,0,-3859
983,135,792,-274,0,-1092,996,81,0,-3863
835,112,781,-488,0,-990,996,81,0,-3863
699,145,708,-762,0,-787,985,88,0,-3866

