백핸드 스메싱 ,백핸드 드라이브 ,Matching,60
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
712,-313,977,1637,0,-2197,1190,81,0,38621
752,-285,902,1502,0,-2163,1175,64,0,38602
729,-302,856,1352,0,-2107,1175,64,0,38602
771,-338,808,1115,0,-2005,1190,52,0,38591
778,-327,869,968,0,-1881,1172,37,0,38576
722,-311,920,881,0,-1735,1163,17,0,38561
731,-250,907,822,0,-1638,1148,54,0,38534
744,-218,895,689,0,-1512,1148,54,0,38534
731,-188,883,547,0,-1436,1148,54,0,38534
738,-139,852,384,0,-1385,1148,54,0,38534
730,-10,875,205,0,-1316,1148,54,0,38534
696,72,916,143,0,-1275,1143,55,0,38531
636,125,942,145,0,-1245,1144,55,0,38528
597,123,926,145,0,-1257,1144,55,0,38528
596,166,917,82,0,-1312,1182,56,0,38525
616,226,975,28,0,-1359,1182,56,0,38525
660,248,1032,-18,0,-1330,1121,55,0,38523
613,201,1037,-44,0,-1223,982,54,0,38523
542,137,922,-124,0,-1078,982,54,0,38523
546,19,745,-439,0,-835,1070,52,0,38523
627,51,647,-826,0,-509,1233,51,0,38523
508,218,637,-1277,0,22,1331,51,0,38525
415,465,676,-1398,0,355,1725,48,0,38526
253,734,697,-1162,0,593,1725,48,0,38526
-135,1039,563,-773,0,386,2500,45,0,38526
-590,1182,1026,19,0,-533,3293,42,0,38524
-511,1050,2329,1486,0,-1375,3466,38,0,38522
-793,703,3589,4292,0,-2424,3206,32,0,38523
-758,-613,2192,4978,0,-3144,4373,11,0,38532
-332,-3695,-894,2103,0,-1830,4373,11,0,38532
1340,-5026,-1957,-4794,0,5998,3246,21,0,38568
1699,-2070,2504,-10667,0,9424,3246,21,0,38568
434,-1510,3260,-12433,0,7250,2713,35,0,38583
73,-954,2743,-11197,0,5149,2531,71,0,38618
1005,-1577,1226,-8310,0,3437,2531,71,1,38618
1485,-2203,363,-6117,0,2572,2531,71,1,38618
1557,-2278,-18,-4366,0,1627,1679,91,0,38629
1412,-1902,242,-3639,0,1103,1679,91,0,38629
904,-1265,772,-3014,0,537,1601,100,0,38633
851,-986,979,-2586,0,62,1563,123,0,38645
852,-841,1184,-2217,0,-177,1563,123,0,38645
787,-759,1252,-1946,0,-211,1563,123,0,38645
757,-688,1238,-1699,0,-179,1505,118,0,38646
723,-583,1290,-1290,0,-80,1458,86,0,38536
663,-545,1274,-899,0,-23,1458,86,0,38536
606,-487,1243,-423,0,-31,1458,86,0,38536
549,-442,1256,-107,0,-92,1458,86,0,38536
535,-411,1319,246,0,-199,1458,86,0,38536
510,-351,1321,512,0,-303,1473,89,0,38552
508,-260,1319,849,0,-459,1510,91,0,38341
517,-217,1356,1134,0,-582,1521,94,0,38337
524,-158,1401,1464,0,-715,1540,97,0,38341
516,-139,1387,1835,0,-883,1622,102,0,38336
524,-180,1441,2010,0,-995,1622,102,0,38336
523,-239,1551,2163,0,-1114,1595,105,0,38331
525,-243,1540,2265,0,-1202,1526,111,0,38322
504,-304,1497,2324,0,-1313,1526,111,0,38322
472,-291,1541,2384,0,-1408,1526,111,0,38322
425,-290,1454,2499,0,-1576,1473,112,0,38311
429,-275,1439,2530,0,-1716,1473,112,0,38311

