백핸드 스메싱 ,백핸드 쇼트 ,Matching,66
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
667,466,770,1032,0,-1597,1010,18,0,3241
608,453,735,875,0,-1440,985,61,0,3174
563,441,804,732,0,-1338,985,61,0,3174
456,440,928,602,0,-1242,985,61,0,3174
370,481,982,567,0,-1190,985,61,0,3174
326,502,867,494,0,-1095,985,61,0,3174
299,483,807,370,0,-1002,985,62,0,3173
199,474,834,205,0,-899,997,64,0,3172
132,493,877,142,0,-857,997,64,0,3172
83,539,903,130,0,-784,944,66,0,3172
56,519,873,140,0,-691,926,66,0,3174
15,509,784,149,0,-569,919,66,0,3174
-87,469,630,106,0,-395,1108,67,0,3175
-183,425,527,15,0,-287,1108,67,0,3175
-263,338,538,-90,0,-194,1511,66,0,3184
-252,269,698,-88,0,-136,1511,66,0,3184
-118,111,1063,150,0,2,1511,66,0,3184
-12,-50,1422,584,0,207,1857,64,0,3186
-34,-305,1645,1363,0,542,1903,61,0,3189
-203,-572,1453,1798,0,711,2218,57,0,3197
-242,-1167,834,1528,0,869,3322,42,0,3211
43,-1766,541,381,0,1220,3322,42,0,3211
313,-2312,1045,-1326,0,1860,4054,33,0,3222
969,-3118,2107,-3290,0,3059,4302,11,0,3241
1381,-3715,2313,-4324,0,4166,4302,11,0,3241
2488,-4189,80,-6547,0,5232,3482,32,0,3272
3158,-3286,-447,-9810,0,5618,3482,32,0,3272
2734,-1721,1932,-12437,0,5626,3080,46,0,3291
1264,-144,2585,-10703,0,5247,3271,73,0,3325
1214,-671,2389,-8123,0,4238,3271,73,0,3325
1719,-2208,1451,-4292,0,2003,3271,73,0,3325
2508,-2344,1134,-2812,0,846,2945,80,0,3330
2781,-2107,1454,-2295,0,636,2945,80,0,3330
2241,-1495,1639,-1710,0,654,1923,88,0,3335
1789,-1076,1491,-1299,0,633,1923,88,0,3335
1560,-931,1324,-1003,0,555,1923,88,0,3335
1454,-733,1280,-680,0,363,1370,95,0,3343
1322,-508,1288,-489,0,291,1370,95,0,3343
1123,-322,1224,-331,0,257,1370,95,0,3343
972,-185,1140,-206,0,218,1370,95,0,3343
847,-90,1107,-88,0,198,1105,97,0,3352
752,-4,1021,13,0,179,1105,97,0,3352
645,86,945,75,0,160,1068,97,0,3358
615,118,894,69,0,145,1063,91,0,3384
564,169,894,33,0,130,1063,91,0,3384
530,213,913,29,0,105,1038,45,0,3540
493,244,935,80,0,62,1038,45,0,3540
488,254,929,139,0,24,1038,45,0,3540
470,198,866,173,0,-30,1038,45,0,3540
489,171,883,162,0,-77,1038,45,0,3540
480,136,911,153,0,-118,1069,47,0,3539
506,128,958,203,0,-179,1050,50,0,3536
502,106,927,279,0,-217,1050,50,0,3536
516,59,881,340,0,-266,1094,54,0,3532
511,18,869,363,0,-311,1094,54,0,3532
559,-35,920,363,0,-380,1113,56,0,3529
564,-66,966,400,0,-437,1106,60,0,3519
556,-76,923,486,0,-542,1106,60,0,3519
564,-62,913,565,0,-656,1138,62,0,3512
596,-82,913,656,0,-775,1207,67,0,3497

