백핸드 스메싱 ,백핸드 스메싱 ,Matching,57
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
383,854,645,406,0,-672,1111,100,0,-676
368,847,618,389,0,-791,1114,102,0,-673
384,832,636,357,0,-854,1114,102,0,-673
317,830,701,319,0,-884,1056,103,0,-671
257,794,730,295,0,-881,986,104,0,-670
229,715,776,264,0,-850,986,104,0,-670
200,641,765,209,0,-758,945,105,0,-668
58,555,719,101,0,-612,980,107,0,-666
-106,504,693,-15,0,-533,980,107,0,-666
-195,436,789,-123,0,-467,1067,106,0,-666
-221,346,850,-109,0,-399,1251,106,0,-662
-203,245,941,12,0,-310,1251,106,0,-662
-148,106,1107,337,0,-123,1376,106,0,-657
-118,-49,1213,705,0,48,1376,106,0,-657
-123,-286,1213,1202,0,276,1556,105,0,-654
-152,-466,1157,1446,0,429,1845,104,0,-650
-84,-853,977,1372,0,688,1982,102,0,-654
78,-1215,832,891,0,1068,2467,100,0,-658
328,-1806,732,-396,0,1898,3176,89,0,-677
485,-2174,1101,-1632,0,2683,3176,89,0,-677
830,-2591,1319,-2760,0,3541,3325,53,0,-683
1251,-3036,1346,-3983,0,4798,3325,53,0,-683
1316,-3134,895,-5255,0,5512,3055,26,0,-648
2430,-2814,687,-7981,0,5694,2366,104,0,-614
3313,-2600,372,-10061,0,5792,2366,104,0,-614
1349,-179,2516,-10074,0,5484,1657,46,0,-365
1633,-1425,1183,-1397,0,214,1657,46,0,-365
1320,-1075,1057,-705,0,170,1657,46,0,-365
1231,-875,905,-236,0,75,1657,46,0,-365
1209,-778,832,263,0,-35,1617,48,0,-365
1177,-775,811,583,0,-99,1549,53,0,-368
1124,-753,757,901,0,-202,1549,53,0,-368
1110,-754,761,1079,0,-302,1591,66,0,-372
1102,-749,859,1316,0,-441,1591,66,0,-372
1103,-696,1009,1551,0,-554,1591,66,0,-372
1093,-668,1012,1820,0,-677,1554,72,0,-373
1077,-662,965,2112,0,-854,1507,79,0,-370
1048,-645,926,2344,0,-1115,1477,104,0,-226
1114,-655,1056,2487,0,-1372,1477,104,0,-226
1117,-561,1144,2719,0,-1514,1477,104,0,-226
1031,-476,1032,2896,0,-1630,1477,104,0,-226
1050,-481,928,3036,0,-1787,1473,108,0,-224
1101,-503,847,3070,0,-1883,1447,112,0,-224
1192,-522,848,3047,0,-1919,1347,116,0,-228
1159,-448,939,3050,0,-1884,1347,116,0,-228
1017,-267,952,3112,0,-1900,1248,116,0,-231
927,-166,859,3179,0,-2011,1214,104,0,-246
1038,-172,666,3129,0,-2128,1214,104,0,-246
1096,-129,766,3059,0,-2154,1214,104,0,-246
1045,-46,847,3039,0,-2131,1214,104,0,-246
977,83,824,3009,0,-2122,1122,96,0,-251
920,153,681,2902,0,-2129,1006,22,0,-334
861,247,577,2630,0,-2137,1006,22,0,-334
838,274,624,2389,0,-2117,1006,22,0,-334
770,307,694,2123,0,-2024,1006,22,0,-334
728,310,679,1930,0,-1903,1006,22,0,-334
604,312,738,1672,0,-1735,1007,72,0,-366
583,303,803,1475,0,-1629,1007,72,0,-366
409,296,880,1273,0,-1537,1007,72,0,-366
373,285,886,1112,0,-1513,1007,72,0,-366

