백핸드 스메싱 ,백핸드 커트 ,Matching,85
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
847,-327,-305,-235,0,-319,850,119,0,11377
771,-313,-286,-142,0,-304,809,121,0,11378
792,-243,-393,-65,0,-215,809,121,0,11378
715,-235,-430,-26,0,-194,757,123,0,11378
591,-207,-435,-46,0,-221,753,125,0,11379
543,-149,-499,-81,0,-300,753,125,0,11379
477,-152,-445,-31,0,-375,878,131,0,11381
554,-116,-449,31,0,-385,878,131,0,11381
774,-108,-557,33,0,-287,878,131,0,11381
709,-215,-546,9,0,-3,727,135,0,11383
609,-233,-461,39,0,190,727,135,0,11383
634,-209,-468,178,0,320,644,138,0,11384
415,-338,-218,379,0,397,644,138,0,11384
261,-203,-351,660,0,396,880,139,0,11384
108,-117,-691,708,0,270,1128,143,0,11383
251,-140,-752,518,0,-54,1128,143,0,11383
476,-288,-899,361,0,-263,1128,143,0,11383
576,-469,-840,225,0,-362,1162,153,0,11379
570,-524,-923,203,0,-383,1162,153,0,11379
705,-558,-896,267,0,-376,1162,153,0,11379
292,-753,-691,620,0,-541,1162,153,0,11379
199,-719,-722,1005,0,-740,1635,155,0,11378
450,-476,-1247,1160,0,-835,1965,157,0,11377
162,-437,-1905,946,0,-764,1971,160,0,11376
593,-282,-1882,404,0,-698,1971,160,0,11376
776,-18,-1953,-55,0,-474,1786,163,0,11376
706,-143,-1621,-369,0,-259,1786,163,0,11376
815,-130,-1992,-318,0,-151,1255,164,0,11376
529,-62,-1143,-253,0,-52,1252,164,0,11376
153,-390,-1230,87,0,62,1252,164,0,11376
289,-174,-1333,184,0,-43,1078,164,0,11376
354,-130,-962,118,0,1,1124,164,0,11375
222,-225,-1057,57,0,32,1124,164,0,11375
201,-271,-1147,-3,0,-94,1026,164,0,11374
402,-6,-1124,-4,0,-167,1026,164,0,11374
288,-133,-985,-184,0,-130,1019,164,0,11373
259,-159,-982,-147,0,-120,1012,164,0,11373
163,-150,-990,-95,0,-110,1012,164,0,11373
134,-135,-999,-63,0,-134,1012,163,0,11372
146,-102,-959,-47,0,-169,1012,163,0,11372
216,-102,-977,-47,0,-173,1026,163,0,11372
220,-73,-1008,-76,0,-162,1021,162,0,11371
183,-82,-960,-104,0,-148,1021,162,0,11371
160,-103,-965,-60,0,-164,1060,162,0,11371
187,-137,-988,37,0,-190,1129,161,0,11370
244,-151,-1033,95,0,-188,1129,161,0,11370
322,-180,-1080,120,0,-142,1115,161,0,11370
307,-194,-1039,120,0,-109,1130,161,0,11369
314,-179,-1084,121,0,-92,1128,161,0,11369
273,-193,-1088,87,0,-94,1121,159,0,11366
274,-179,-1118,41,0,-152,1121,159,0,11366
293,-160,-1087,-7,0,-238,1103,159,0,11365
296,-173,-1056,-68,0,-296,1098,158,0,11362
360,-44,-993,-102,0,-376,1098,158,0,11362
364,-139,-1053,-213,0,-393,1068,157,0,11361
381,-94,-1016,-312,0,-432,1050,157,0,11358
322,-87,-928,-330,0,-474,1050,157,0,11358
286,-78,-882,-281,0,-559,1226,156,0,11355
176,-125,-705,-212,0,-615,1226,156,0,11355
522,77,-1310,-177,0,-624,960,155,0,11353

