포핸드 쇼트 ,포핸드 커트 ,Matching,53
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
629,694,332,-185,0,108,1364,50,0,30593
634,751,444,-305,0,-47,1364,50,0,30593
692,777,575,-375,0,-181,1364,50,0,30593
812,759,803,-310,0,-260,1304,43,0,30596
852,750,885,-164,0,-256,1304,43,0,30596
833,703,845,46,0,-204,1198,36,0,30598
777,672,766,162,0,-161,1198,36,0,30598
682,613,727,215,0,-167,1225,30,0,30599
642,536,754,226,0,-226,1225,30,0,30599
770,433,878,271,0,-247,1140,22,0,30600
860,322,938,375,0,-150,1140,22,0,30600
830,114,897,670,0,48,1060,15,0,30598
847,51,800,812,0,82,1060,15,0,30598
851,-78,596,839,0,59,1060,15,0,30598
809,-146,432,690,0,4,1566,13,0,30599
846,-185,434,404,0,-32,1566,13,0,30599
954,-181,491,198,0,81,1566,13,0,30599
660,-188,-64,-112,0,434,2833,13,0,30595
643,-63,-367,-343,0,92,2833,13,0,30595
1222,-203,789,-228,0,-301,4136,12,0,30593
2775,-276,3389,1243,0,260,4073,11,0,30589
3339,98,2663,4320,0,2029,2438,10,0,30586
2716,162,-1482,3358,0,1164,1488,20,0,30570
350,-1224,-2752,-3019,0,-1823,1488,20,0,30570
492,-280,71,-5223,0,-6274,2814,26,0,30559
3631,929,1950,-3449,0,-7635,1472,35,0,30546
3046,519,1135,-2235,0,-5134,1472,35,0,30546
1394,205,846,-1712,0,-2745,1229,42,0,30542
180,418,1288,-1455,0,-1052,1229,42,0,30542
-172,576,1373,-1157,0,-517,973,48,0,30540
-264,610,1145,-821,0,-240,973,48,0,30540
-164,615,910,-642,0,-206,973,48,0,30540
108,627,747,-492,0,-214,946,50,0,30539
268,637,755,-409,0,-164,873,53,0,30538
437,638,726,-282,0,-37,873,53,0,30538
458,588,632,-199,0,64,848,53,0,30538
423,580,473,-165,0,136,825,56,0,30538
406,596,417,-230,0,191,824,57,0,30538
263,597,403,-328,0,222,881,61,0,30540
332,618,501,-428,0,186,881,61,0,30540
362,623,530,-446,0,224,866,65,0,30543
333,648,582,-427,0,290,866,65,0,30543
279,678,562,-384,0,364,813,71,0,30552
219,677,545,-333,0,515,813,71,0,30552
259,677,490,-321,0,675,813,71,0,30552
196,651,460,-324,0,890,789,73,0,30556
125,669,420,-327,0,967,781,77,0,30563
194,671,382,-350,0,997,781,77,0,30563
330,627,300,-436,0,1108,803,82,0,30574
336,615,295,-469,0,1177,803,82,0,30574
491,562,374,-389,0,1274,803,82,0,30574
495,531,340,-283,0,1400,819,84,0,30582
542,457,221,-193,0,1542,819,84,0,30582
622,377,206,-117,0,1633,883,84,0,30588
689,299,162,-32,0,1725,883,84,0,30588
710,248,89,-17,0,1750,915,84,0,30590
844,175,110,-46,0,1768,1099,85,0,30593
987,105,125,-85,0,1838,1196,86,0,30598
1043,6,48,-145,0,1881,1196,86,0,30598
1128,-21,101,-269,0,1876,1289,87,0,30600

