포핸드 쇼트 ,백핸드 쇼트 ,Matching,53
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
115,725,491,-176,0,216,841,66,0,30683
226,743,455,-53,0,310,841,66,0,30683
291,741,485,89,0,497,841,66,0,30683
242,707,394,216,0,701,841,66,0,30685
307,701,393,273,0,863,826,66,0,30688
334,648,397,369,0,1082,817,66,0,30695
243,618,382,432,0,1199,817,66,0,30695
279,549,291,437,0,1258,817,66,0,30695
435,531,270,371,0,1335,838,67,0,30698
506,474,338,277,0,1428,1097,68,0,30709
598,400,417,201,0,1500,1097,68,0,30709
768,309,502,176,0,1551,1097,68,0,30709
785,162,717,235,0,1643,1189,68,0,30713
876,139,798,325,0,1708,1187,68,0,30716
925,53,551,360,0,1728,1294,68,0,30724
993,30,589,234,0,1753,1294,68,0,30724
1024,30,661,82,0,1756,1405,68,0,30732
1015,-58,718,-44,0,1746,1405,68,0,30732
1079,-66,767,-186,0,1696,1523,68,0,30736
1177,-82,788,-300,0,1637,1626,68,0,30743
1147,-44,783,-430,0,1558,1626,68,0,30743
1160,-77,792,-680,0,1419,1947,63,0,30750
1172,-105,877,-831,0,1294,1947,63,0,30750
1302,-149,1032,-870,0,1107,1947,63,0,30750
1475,-172,1212,-759,0,1045,1947,63,0,30750
1543,-206,1291,-487,0,1088,1178,59,0,30748
1337,-173,1144,-302,0,1061,1178,59,0,30748
1073,-89,676,-331,0,793,1090,56,0,30748
922,-48,451,-532,0,528,1090,56,0,30748
812,-18,641,-656,0,215,1174,55,0,30747
860,-6,686,-540,0,-34,1247,51,0,30745
823,-7,744,-394,0,-211,1247,51,0,30745
931,-69,696,-192,0,-291,1369,48,0,30742
1164,-83,654,-19,0,-75,1369,48,0,30742
1274,-62,924,305,0,400,1074,47,0,30740
947,-97,664,612,0,666,994,44,0,30737
624,-239,750,910,0,700,994,44,0,30737
714,-203,920,1270,0,664,726,44,0,30733
721,-154,216,1373,0,556,669,43,0,30730
543,-77,307,1226,0,483,669,43,0,30730
367,-269,266,1015,0,241,806,42,0,30729
541,-345,419,875,0,175,865,41,0,30729
485,-398,365,716,0,173,865,41,0,30729
500,-444,454,572,0,206,922,41,0,30728
483,-481,569,497,0,245,922,41,0,30728
300,-483,382,350,0,240,922,41,0,30728
214,-585,568,205,0,172,922,41,0,30728
275,-546,686,127,0,86,953,41,0,30727
253,-563,711,91,0,54,965,40,0,30727
254,-562,720,62,0,11,965,40,0,30727
248,-560,727,47,0,-10,988,40,0,30727
266,-560,745,32,0,-25,988,40,0,30727
278,-575,738,12,0,-32,1010,40,0,30727
281,-587,779,1,0,-26,1007,40,0,30727
290,-605,762,-5,0,-14,997,40,0,30727
276,-605,756,-12,0,-8,997,40,0,30727
266,-599,779,-13,0,-3,970,40,0,30727
267,-591,779,1,0,-5,970,40,0,30727
275,-568,740,23,0,-10,970,40,0,30727
262,-562,725,16,0,-16,999,40,0,30727

