포핸드 커트 ,포핸드 쇼트 ,Matching,31
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1175,-801,-416,-745,0,-2294,1500,49,0,21061
1488,-1057,-379,-935,0,-2061,1500,49,0,21061
1363,-1210,-284,-1105,0,-1662,1307,49,0,21060
1235,-1201,-226,-1181,0,-1379,1066,50,0,21054
1070,-1102,-178,-1227,0,-1130,1066,50,0,21054
870,-984,-83,-1223,0,-959,1004,51,0,21051
780,-870,15,-1095,0,-944,964,51,0,21044
506,-602,-344,-907,0,-1076,964,51,0,21044
207,-603,-327,-959,0,-1305,1202,51,0,21042
-267,-826,-94,-959,0,-1854,1388,49,0,21036
-488,-592,245,-731,0,-2445,1388,49,0,21036
1204,10,173,-321,0,-2468,1485,46,0,21036
1582,-103,24,-58,0,-1708,1430,40,0,21039
1565,-396,40,-8,0,-570,1430,40,0,21039
2691,-797,1701,475,0,476,968,31,0,21045
946,-453,113,1250,0,1217,968,31,0,21045
582,-358,-246,1444,0,1317,968,31,0,21045
418,-360,-213,1559,0,1220,1063,30,0,21046
267,-347,-315,1626,0,937,1564,31,0,21045
147,-431,-540,1459,0,607,2048,44,0,21034
46,-680,-959,783,0,93,2048,44,0,21034
132,-747,-1326,-168,0,-279,2048,44,0,21034
273,-614,-1783,-1492,0,-576,2257,70,0,21009
1042,-215,-1274,-3088,0,-759,2257,70,0,21009
1674,-105,-744,-3804,0,-738,2257,70,0,21009
2828,123,848,-3767,0,-529,1594,86,0,20997
2148,-193,856,-3221,0,-142,1594,86,0,20997
2276,-291,268,-2879,0,56,1192,97,0,20993
2039,-435,254,-2739,0,158,1192,97,0,20993
1596,-348,275,-2416,0,220,932,101,0,20991
996,-179,417,-1925,0,269,842,107,0,20987
768,-155,307,-1438,0,263,842,107,0,20987
590,-248,125,-1018,0,221,842,107,0,20987
552,-327,-52,-726,0,139,955,108,0,20987
609,-370,-180,-484,0,53,955,108,0,20987
670,-397,-250,-323,0,24,990,107,0,20984
662,-477,-352,-209,0,5,990,107,0,20984
674,-517,-433,-112,0,-17,990,107,0,20984
701,-507,-458,-60,0,-30,1010,106,0,20984
724,-522,-491,3,0,-55,1007,105,0,20982
711,-522,-499,42,0,-65,1007,105,0,20982
697,-490,-479,81,0,-101,1025,105,0,20981
723,-505,-445,125,0,-127,1048,104,0,20980
736,-503,-497,187,0,-145,1048,104,0,20980
749,-521,-524,211,0,-153,1047,103,0,20980
745,-512,-579,225,0,-153,1034,104,0,20980
743,-517,-595,213,0,-151,1034,104,0,20980
771,-513,-589,195,0,-125,1034,104,0,20980
752,-494,-562,192,0,-81,1000,106,0,20981
717,-477,-560,203,0,-67,1000,106,0,20981
757,-487,-537,236,0,-49,989,110,0,20984
763,-502,-536,274,0,-22,989,110,0,20984
692,-445,-550,322,0,-28,989,124,0,20994
675,-444,-560,341,0,-69,989,124,0,20994
716,-441,-535,326,0,-97,989,124,0,20994
735,-457,-519,296,0,-68,963,136,0,21009
751,-482,-500,263,0,-13,963,136,0,21009
703,-413,-504,211,0,55,963,136,0,21009
678,-391,-490,201,0,81,1004,133,0,21011
656,-374,-453,216,0,83,1004,133,0,21011

