포핸드 커트 ,포핸드 커트 ,Matching,94
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
551,-207,731,-439,0,1426,1136,40,0,14873
587,-198,673,-464,0,1309,1136,40,0,14873
722,-184,750,-423,0,1143,1136,40,0,14873
788,-202,719,-367,0,1045,1136,40,0,14873
858,-259,694,-334,0,974,1180,41,0,14874
861,-285,658,-321,0,890,1271,42,0,14875
858,-277,745,-283,0,803,1271,42,0,14875
925,-336,873,-153,0,676,1212,42,0,14874
994,-390,848,-5,0,617,1212,42,0,14874
990,-364,778,176,0,637,1121,42,0,14874
930,-317,691,287,0,669,1007,41,0,14871
809,-210,510,306,0,572,1007,41,0,14871
679,-186,364,213,0,277,1320,41,0,14869
783,-141,242,-39,0,-224,1788,41,0,14864
1025,-172,283,-269,0,-407,1788,41,0,14864
1374,-274,576,-367,0,-249,2186,40,0,14858
1596,-476,1080,22,0,301,2186,40,0,14858
1784,-493,1242,704,0,678,2148,39,0,14854
2109,-423,952,1391,0,850,1955,40,0,14842
2148,-546,570,1282,0,517,1955,40,0,14842
1574,-1076,-194,57,0,-963,2014,41,0,14833
1083,-1302,-154,-1428,0,-2740,2315,44,0,14811
1010,-1124,1238,-1804,0,-5734,2315,44,0,14811
2056,-139,1633,-620,0,-7702,1866,45,0,14793
3073,140,1518,478,0,-7625,1866,45,0,14793
2124,-337,865,1052,0,-5503,1218,46,0,14786
1036,-653,421,938,0,-3911,1148,48,0,14779
124,-864,433,511,0,-2726,1148,48,0,14779
-172,-919,508,209,0,-2239,1273,50,0,14772
-289,-845,659,-96,0,-1921,1273,50,0,14772
-206,-804,829,-248,0,-1738,1273,50,0,14772
-71,-728,1051,-282,0,-1505,1257,51,0,14770
-54,-668,1122,-232,0,-1290,1257,51,0,14770
-113,-586,1169,-151,0,-1024,1183,52,0,14770
-158,-522,1157,-92,0,-804,1094,55,0,14770
-212,-442,1082,-59,0,-571,1094,55,0,14770
-290,-348,1019,-103,0,-240,1066,56,0,14772
-387,-315,951,-160,0,23,1062,59,0,14775
-349,-225,995,-235,0,322,1062,59,0,14775
-384,-128,1006,-246,0,526,1033,59,0,14776
-387,2,935,-283,0,786,1066,62,0,14780
-425,87,911,-317,0,956,1066,62,0,14780
-438,142,953,-329,0,1064,1075,65,0,14792
-334,195,1032,-282,0,1126,1075,65,0,14792
-286,220,1062,-192,0,1209,1075,65,0,14792
-252,210,1025,-87,0,1305,1075,65,0,14792
-226,204,1047,-36,0,1350,1027,66,0,14795
-105,209,1014,29,0,1421,1009,68,0,14802
-74,229,974,33,0,1492,1009,68,0,14802
-47,219,969,-5,0,1550,1033,71,0,14811
-3,204,974,-42,0,1549,1033,71,0,14811
67,177,1003,-95,0,1513,1033,71,0,14811
153,148,1032,-131,0,1459,970,73,0,14817
254,113,1030,-164,0,1421,970,73,0,14817
302,63,888,-259,0,1407,1001,74,0,14820
384,43,889,-372,0,1405,1009,76,0,14826
401,36,873,-491,0,1424,1009,76,0,14826
406,18,923,-515,0,1379,1020,77,0,14830
474,-22,912,-453,0,1298,1015,78,0,14833
561,-42,893,-378,0,1276,1006,78,0,14837

