포핸드 커트 ,백핸드 쇼트 ,Matching,86
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
291,349,613,-303,0,-373,757,48,0,2623
253,356,630,-200,0,-366,747,50,0,2623
226,403,463,-159,0,-371,884,53,0,2621
260,417,408,-294,0,-355,884,53,0,2621
369,474,456,-510,0,-243,1010,57,0,2622
396,519,573,-603,0,-119,1010,57,0,2622
379,567,626,-632,0,32,1135,59,0,2622
549,621,651,-660,0,179,1256,64,0,2624
748,574,762,-670,0,532,1256,64,0,2624
813,520,755,-608,0,806,1287,65,0,2626
863,536,739,-500,0,984,1334,69,0,2628
1028,505,605,-447,0,1072,1334,69,0,2628
1177,476,529,-484,0,1136,1297,74,0,2629
1282,421,402,-570,0,1140,1297,74,0,2629
1350,406,321,-651,0,1042,1085,76,0,2629
1219,371,224,-778,0,839,790,80,0,2628
960,373,175,-884,0,613,790,80,0,2628
683,288,109,-1030,0,266,831,83,0,2627
457,296,168,-1109,0,-76,1211,89,0,2625
476,316,-46,-1198,0,-438,1211,89,0,2625
664,438,-83,-1417,0,-753,1607,92,0,2621
858,390,-121,-1573,0,-827,1607,92,0,2621
1416,398,-113,-1469,0,-753,1801,94,0,2620
1753,243,159,-1057,0,-706,1842,95,0,2618
1436,373,338,-371,0,-703,1842,95,0,2618
1979,313,-243,3,0,-536,1677,94,0,2617
1666,351,-602,-101,0,-264,1494,94,0,2615
1231,268,-570,-377,0,-104,1494,94,0,2615
1847,511,196,-283,0,41,1084,93,0,2616
1246,456,-144,-207,0,311,1084,93,0,2616
1052,539,127,-83,0,361,937,92,0,2616
816,520,128,111,0,399,884,90,0,2616
719,541,148,331,0,345,884,90,0,2616
698,544,76,530,0,204,883,86,0,2620
575,565,-85,523,0,87,883,86,0,2620
395,544,-156,284,0,-93,883,86,0,2620
470,500,100,180,0,-138,883,86,0,2620
750,547,299,226,0,50,860,82,0,2626
662,668,140,220,0,241,860,82,0,2626
510,514,-154,-5,0,310,1035,77,0,2638
818,763,735,96,0,331,1035,77,0,2638
791,552,466,265,0,477,1002,74,0,2647
749,541,228,288,0,523,1052,58,0,2670
551,513,367,207,0,485,1052,58,0,2670
627,416,603,260,0,320,1052,58,0,2670
670,399,635,382,0,248,1052,58,0,2670
790,497,596,527,0,176,1052,58,0,2670
769,533,531,550,0,203,1052,58,0,2670
706,541,540,458,0,237,1141,57,0,2671
705,569,666,384,0,234,1170,56,0,2671
716,544,745,358,0,232,1175,52,0,2671
718,366,819,367,0,218,1175,52,0,2671
748,224,887,434,0,190,1169,50,0,2670
774,41,860,518,0,136,1184,49,0,2670
796,-98,773,480,0,70,1184,49,0,2670
856,-287,732,283,0,27,1220,46,0,2668
983,-381,796,190,0,80,1220,46,0,2668
1005,-422,738,193,0,337,1085,44,0,2668
829,-415,619,207,0,457,1058,42,0,2669
677,-430,465,217,0,373,1058,42,0,2669

