포핸드 스메싱 ,포핸드 커트 ,Matching,28
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
858,-464,130,-262,0,209,918,99,0,2714
765,-480,-182,47,0,522,918,94,0,2721
657,-525,-254,373,0,951,918,94,0,2721
626,-558,-197,325,0,920,1003,94,0,2726
624,-597,-215,277,0,873,1003,94,0,2726
665,-665,-135,224,0,825,1003,94,0,2726
681,-729,-32,245,0,869,1152,99,0,2731
748,-789,-2,312,0,919,1152,99,0,2731
796,-833,-61,1070,0,1073,1152,99,0,2731
794,-836,-131,1069,0,988,1144,102,0,2732
766,-838,-175,1021,0,883,1081,106,0,2738
788,-838,-230,828,0,707,1081,106,0,2738
973,-394,83,529,0,-390,1124,107,0,2731
813,-533,-189,465,0,-313,1124,107,0,2731
752,-613,-280,269,0,-425,1124,107,0,2731
804,-712,-334,-83,0,-663,1208,108,0,2728
891,-758,-296,-406,0,-930,1767,107,0,2714
990,-745,-141,-657,0,-1247,1767,107,0,2714
1160,-661,80,-789,0,-1641,1767,107,0,2714
1384,-539,229,-800,0,-2001,2153,105,0,2703
1814,-437,535,-553,0,-2556,2153,105,0,2703
1881,-711,213,-393,0,-2958,2279,102,0,2686
1989,-813,-125,-487,0,-3256,2279,102,0,2686
2124,-826,-323,-833,0,-3293,2279,102,0,2686
2179,-845,-303,-1068,0,-2995,1905,101,0,2681
1990,-864,-226,-1195,0,-2499,872,100,0,2674
1510,-785,-64,-1195,0,-1967,872,100,0,2674
954,-542,146,-978,0,-1663,651,90,0,2675
819,-379,217,-760,0,-1543,651,90,0,2675
690,-305,242,-522,0,-1349,651,90,0,2675
607,-207,230,-224,0,-1048,651,90,0,2675
610,-136,204,-18,0,-801,609,77,0,2688
646,-48,168,215,0,-448,609,77,0,2688
629,-5,107,372,0,-159,609,77,0,2688
583,78,29,542,0,144,695,65,0,2701
612,135,21,626,0,301,695,65,0,2701
586,220,-48,679,0,398,798,55,0,2711
625,290,-40,695,0,423,798,55,0,2711
709,292,70,671,0,424,843,50,0,2715
737,308,187,642,0,442,867,41,0,2722
711,312,273,603,0,433,867,41,0,2722
680,313,368,528,0,377,918,33,0,2726
644,302,458,448,0,323,918,33,0,2726
658,300,587,344,0,267,908,30,0,2728
621,286,646,264,0,266,865,27,0,2730
488,224,667,164,0,258,865,27,0,2730
377,252,668,84,0,225,953,25,0,2731
280,203,780,48,0,136,1050,25,0,2732
316,204,875,34,0,145,1050,25,0,2732
354,168,965,45,0,152,1065,25,0,2732
395,157,1078,121,0,141,978,24,0,2732
306,44,1006,219,0,105,960,24,0,2731
351,139,964,323,0,80,890,21,0,2731
337,131,865,379,0,78,890,21,0,2731
324,127,820,388,0,54,893,21,0,2731
298,121,764,349,0,-14,957,18,0,2729
311,94,771,277,0,-88,957,18,0,2729
232,36,870,223,0,-359,957,18,0,2729
288,15,921,178,0,-367,948,18,0,2727
263,9,916,138,0,-360,948,18,0,2727

