포핸드 스메싱 ,포핸드 쇼트 ,Matching,23
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
195,103,-382,-619,0,-1398,600,142,0,2497
208,22,-352,-500,0,-1385,600,142,0,2497
284,-130,-527,-425,0,-1289,562,138,0,2493
219,-204,-597,-478,0,-1152,562,138,0,2493
-6,-247,-526,-582,0,-1011,539,135,0,2491
-83,-246,-409,-607,0,-958,593,133,0,2490
-126,-248,-295,-540,0,-853,869,130,0,2490
-224,-246,-309,-457,0,-710,869,130,0,2490
-355,-262,-502,-410,0,-493,1064,129,0,2489
-503,-292,-606,-457,0,-342,1121,128,0,2489
-595,-342,-603,-526,0,-215,1321,125,0,2490
-727,-396,-548,-485,0,-100,1321,125,0,2490
-828,-493,-605,-361,0,1,1587,123,0,2495
-892,-660,-898,-196,0,214,1587,123,0,2495
-852,-732,-1059,-178,0,462,1630,118,0,2506
-879,-774,-1093,-247,0,886,1630,118,0,2506
-977,-835,-974,-318,0,1121,1630,118,0,2506
-1068,-911,-773,-258,0,1233,1939,114,0,2516
-1044,-1062,-854,-99,0,1349,1939,114,0,2516
-721,-1226,-1228,18,0,1893,2028,108,0,2531
-676,-1415,-1512,-126,0,2522,2028,108,0,2531
-727,-1566,-1488,-608,0,3095,1888,106,0,2540
-494,-1477,-1040,-896,0,3280,1893,101,0,2555
-60,-1407,-630,-821,0,3358,1893,101,0,2555
288,-1425,-849,-161,0,3711,2692,98,0,2565
384,-1565,-1681,254,0,4016,3040,92,0,2584
859,-1705,-2130,172,0,4342,3040,92,0,2584
1206,-1796,-1956,-135,0,4529,3223,83,0,2609
1526,-1735,-1351,-280,0,4464,3223,83,0,2609
1672,-1708,-1150,150,0,4414,3223,83,0,2609
1724,-1961,-1500,894,0,4509,3825,77,0,2623
1923,-2070,-1634,1332,0,4647,3825,77,0,2623
2040,-2384,-1701,1574,0,4852,3970,73,0,2637
2130,-2444,-1623,1539,0,4870,3970,73,0,2637
2159,-2745,-1525,1491,0,4714,4125,71,0,2645
2271,-2909,-1338,1641,0,4485,4125,71,0,2645
2440,-3089,-1367,1954,0,4286,3923,73,0,2653
2572,-3023,-1381,2262,0,4183,3923,73,0,2653
2505,-3044,-1349,2305,0,4068,3923,73,0,2653
2508,-2940,-1196,2273,0,3723,3473,75,0,2648
2575,-2859,-1040,2196,0,3338,3473,75,0,2648
2753,-2651,-780,2037,0,2799,3473,75,0,2648
2862,-2451,-471,1904,0,2447,3167,76,0,2646
2884,-2096,-220,1750,0,2131,2588,76,0,2633
2797,-1797,-105,1577,0,1921,2588,76,0,2633
2687,-1513,-35,1373,0,1723,2119,75,0,2628
2351,-925,144,776,0,988,2119,75,0,2628
2377,-767,169,632,0,667,1567,71,0,2635
1728,-114,15,-176,0,-492,1567,71,0,2635
1821,-94,47,-307,0,-614,1567,71,0,2635
1653,-126,95,-338,0,-395,1119,66,0,2641
1372,-83,24,-373,0,-316,1119,66,0,2641
1126,-56,-77,-444,0,-337,913,59,0,2645
967,-31,-127,-558,0,-433,913,59,0,2645
910,-46,-108,-625,0,-495,901,50,0,2650
823,-84,-197,-750,0,-598,901,50,0,2650
781,-250,-237,-1087,0,-751,901,50,0,2650
684,-354,-324,-1546,0,-791,965,50,0,2650
687,-366,-373,-1690,0,-766,991,52,0,2651
694,-410,-443,-1818,0,-716,991,52,0,2651

