포핸드 스메싱 ,백핸드 커트 ,Matching,23
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
810,-639,-246,-99,0,-228,1099,94,0,2734
822,-641,-216,-165,0,-241,1099,94,0,2734
847,-652,-203,-218,0,-227,1099,94,0,2734
870,-665,-149,-268,0,-175,1062,93,0,2733
870,-662,-119,-288,0,-115,1062,93,0,2733
853,-652,-89,-265,0,-29,1044,93,0,2733
847,-641,-68,-215,0,49,1026,92,0,2730
819,-617,-47,-136,0,111,1026,92,0,2730
785,-615,-51,-6,0,143,1026,92,0,2730
758,-616,-44,103,0,121,1026,92,0,2730
774,-641,-54,228,0,60,1058,92,0,2728
825,-659,-180,399,0,87,1014,86,0,2720
759,-636,-224,385,0,46,1014,86,0,2720
752,-586,-231,369,0,-50,1014,86,0,2720
831,-603,-187,211,0,-19,1014,86,0,2720
827,-570,-171,189,0,93,1014,85,0,2715
706,-599,-394,-139,0,329,1014,85,0,2715
761,-580,-332,-251,0,282,1020,86,0,2713
841,-471,-306,-567,0,180,1306,88,0,2700
1149,-336,-276,-624,0,-1393,1306,88,0,2700
1242,-295,-231,-568,0,-1547,1553,88,0,2675
1339,-276,-186,-442,0,-1636,1553,88,0,2675
1540,98,-183,91,0,-1942,1801,88,0,2657
1719,214,-167,328,0,-1774,1801,88,0,2657
1691,260,-350,441,0,-1608,1801,88,0,2657
1684,340,-574,396,0,-1671,1585,89,0,2650
1555,330,-624,123,0,-2000,1411,90,0,2644
1381,266,-508,-53,0,-2250,1103,96,0,2628
1002,352,-309,-239,0,-2480,1103,96,0,2628
959,383,-331,-374,0,-2550,1178,102,0,2617
1004,480,-427,-617,0,-2479,1166,116,0,2595
997,518,-413,-781,0,-2397,1166,116,0,2595
823,556,-355,-835,0,-2393,1331,140,0,2565
765,634,-450,-776,0,-2610,1331,140,0,2565
876,803,-548,-695,0,-2964,1355,155,0,2548
1198,1069,-708,-668,0,-3224,783,157,0,2510
1238,1116,-847,-752,0,-3142,783,157,0,2510
1254,1070,-952,-938,0,-2679,783,157,0,2510
993,985,-838,-982,0,-2281,783,157,0,2510
616,902,-777,-968,0,-1876,783,157,2,2510
409,793,-741,-968,0,-1680,783,157,0,2510
253,662,-699,-952,0,-1577,783,157,0,2510
325,539,-663,-906,0,-1533,783,157,0,2510
237,470,-609,-793,0,-1462,626,154,0,2507
210,401,-576,-724,0,-1429,600,142,0,2497
164,215,-503,-678,0,-1390,600,142,0,2497
195,103,-382,-619,0,-1398,600,142,0,2497
208,22,-352,-500,0,-1385,600,142,0,2497
284,-130,-527,-425,0,-1289,562,138,0,2493
219,-204,-597,-478,0,-1152,562,138,0,2493
-6,-247,-526,-582,0,-1011,539,135,0,2491
-83,-246,-409,-607,0,-958,593,133,0,2490
-126,-248,-295,-540,0,-853,869,130,0,2490
-224,-246,-309,-457,0,-710,869,130,0,2490
-355,-262,-502,-410,0,-493,1064,129,0,2489
-503,-292,-606,-457,0,-342,1121,128,0,2489
-595,-342,-603,-526,0,-215,1321,125,0,2490
-727,-396,-548,-485,0,-100,1321,125,0,2490
-828,-493,-605,-361,0,1,1587,123,0,2495
-892,-660,-898,-196,0,214,1587,123,0,2495

