포핸드 드라이브 ,포핸드 커트 ,Matching,44
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1601,-1255,558,1968,0,1195,1690,98,0,24533
1579,-1166,536,1750,0,1027,1690,98,0,24533
1568,-1084,545,1545,0,939,1690,98,0,24533
1505,-886,555,1277,0,921,1690,98,0,24533
1439,-735,565,1054,0,903,1484,99,0,24533
1366,-590,540,721,0,826,1345,97,0,24539
1282,-499,524,540,0,740,1345,97,0,24539
1220,-464,500,421,0,628,1345,97,0,24539
1276,-303,440,260,0,436,1345,97,0,24539
1297,-280,368,169,0,386,1236,80,0,24610
1077,-557,202,-1238,0,-295,1236,80,0,24610
1019,-686,253,-1256,0,-276,1236,80,0,24610
953,-758,207,-1266,0,-300,1642,71,0,24633
1003,-1052,51,-1855,0,-740,1642,71,0,24633
1013,-1153,192,-1970,0,-910,1734,60,0,24642
1070,-1262,298,-1960,0,-1131,1734,60,0,24642
1075,-1339,210,-1954,0,-1271,1808,55,0,24645
1091,-1388,194,-2009,0,-1416,1859,44,0,24643
1126,-1436,184,-2084,0,-1484,1859,44,0,24643
1153,-1480,126,-2232,0,-1509,1841,36,0,24639
1146,-1521,79,-2413,0,-1530,1841,36,0,24639
1130,-1523,74,-2627,0,-1604,1841,36,0,24639
1104,-1465,117,-2882,0,-1816,1865,39,0,24632
1136,-1430,216,-2974,0,-2048,1865,39,0,24632
1273,-1409,302,-2926,0,-2327,1813,43,0,24627
1312,-1338,370,-2817,0,-2479,1676,53,0,24616
1361,-1244,275,-2694,0,-2596,1676,53,0,24616
1380,-1132,162,-2680,0,-2590,1566,61,0,24609
1354,-1015,151,-2715,0,-2521,1377,78,0,24592
1262,-889,156,-2726,0,-2463,1377,78,0,24592
1197,-757,133,-2730,0,-2420,1336,91,0,24581
1239,-553,153,-2676,0,-2364,1329,105,0,24567
1310,-479,129,-2539,0,-2257,1264,123,0,24551
1249,-470,72,-2276,0,-2103,1163,170,0,24513
1180,-417,57,-2025,0,-2057,1163,170,0,24513
1160,-360,-20,-1670,0,-2038,1117,126,0,24493
1113,-321,-119,-1412,0,-2034,1117,126,0,24493
1059,-292,-243,-1129,0,-2053,1108,101,0,24506
1055,-231,-378,-979,0,-2072,1061,98,0,24502
1115,-204,-511,-898,0,-2010,1061,98,0,24502
1062,-166,-497,-883,0,-1932,946,95,0,24492
1073,-147,-452,-846,0,-1862,946,95,0,24492
1019,-109,-541,-777,0,-1765,946,95,0,24492
935,-80,-596,-743,0,-1683,946,95,0,24492
832,-52,-589,-699,0,-1609,928,92,0,24496
798,-33,-642,-653,0,-1572,928,92,0,24496
694,13,-613,-560,0,-1519,934,91,0,24493
642,47,-602,-435,0,-1484,934,91,0,24493
568,62,-721,-290,0,-1409,950,91,0,24497
537,69,-773,-223,0,-1330,962,89,0,24502
497,98,-781,-173,0,-1234,962,89,0,24502
443,121,-822,-120,0,-1104,984,89,0,24508
420,131,-822,-97,0,-1031,997,88,0,24516
415,145,-838,-59,0,-922,1046,87,0,24524
447,148,-874,-53,0,-806,1126,87,0,24524
457,146,-897,-69,0,-619,1126,87,0,24524
446,166,-997,-149,0,-517,1150,87,0,24524
394,182,-1066,-380,0,-514,1154,87,0,24533
353,177,-1004,-571,0,-648,1154,87,0,24533
466,141,-842,-633,0,-793,1419,88,0,24519

