포핸드 드라이브 ,포핸드 드라이브 ,Matching,43
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
269,126,-869,37,0,-492,960,94,0,17562
218,168,-860,57,0,-511,1048,92,0,17550
226,200,-912,62,0,-546,1048,92,0,17550
234,228,-954,59,0,-533,1108,92,0,17535
239,273,-975,42,0,-515,1174,90,0,17516
289,308,-1005,-4,0,-487,1174,90,0,17516
339,324,-1042,-81,0,-463,1223,90,0,17489
332,362,-1108,-181,0,-439,1235,89,0,17452
282,385,-1111,-287,0,-448,1235,89,0,17452
294,400,-1055,-274,0,-492,1339,89,0,17452
319,407,-1131,-162,0,-531,1339,89,0,17452
328,394,-1216,-89,0,-612,1339,89,0,17452
429,353,-1183,-9,0,-682,1472,91,0,17561
515,271,-1110,68,0,-656,1472,91,0,17561
468,-22,-956,102,0,-649,2062,93,0,17593
389,-380,-752,81,0,-817,3145,98,0,17598
489,-846,-622,96,0,-926,3145,98,0,17598
588,-1935,-1004,-21,0,-479,4429,107,0,17611
647,-2852,-1478,-414,0,136,4429,107,0,17611
1178,-3981,-1075,-722,0,1536,4636,115,0,17619
2031,-4156,48,226,0,3635,4648,133,0,17639
2262,-3829,342,2593,0,6710,4648,133,0,17639
2479,-3293,-144,3791,0,7822,5404,143,0,17649
3896,-3064,-13,4697,0,7988,5832,150,0,17660
5070,-3042,18,4989,0,7716,5813,154,0,17669
5509,-2902,500,5084,0,7182,5401,152,0,17678
5100,-2835,572,5044,0,6521,4739,136,0,17695
4636,-2937,708,4854,0,5617,4739,136,0,17695
4310,-3034,891,4389,0,4363,4163,117,0,17710
4019,-3006,1000,3927,0,3659,4163,117,0,17710
3360,-2741,1329,3445,0,3101,3628,107,0,17717
2885,-2578,1296,3310,0,2707,2980,69,0,17741
2608,-2345,1034,3089,0,2307,2980,69,0,17741
2446,-2222,1047,2804,0,2107,2980,69,0,17741
2239,-2035,1080,2547,0,1912,2114,66,0,17727
2071,-1778,1016,2399,0,1786,2114,66,0,17727
1829,-1445,879,2102,0,1497,1756,155,0,17653
1824,-1259,794,1925,0,1291,1756,155,0,17653
1798,-1066,668,1718,0,1154,1756,155,0,17653
1727,-944,678,1527,0,1054,1756,155,0,17653
1574,-734,572,1312,0,859,1557,159,0,17656
1506,-610,529,1180,0,745,1557,159,0,17656
1481,-501,507,1001,0,636,1557,159,0,17656
1453,-435,466,801,0,602,1265,158,0,17656
1370,-355,400,457,0,560,1214,155,0,17657
1352,-335,346,163,0,512,1214,155,0,17657
1121,-248,298,-539,0,164,1298,145,0,17654
1123,-295,260,-708,0,72,1298,145,0,17654
1118,-343,326,-973,0,-15,1298,145,0,17654
1105,-384,356,-1167,0,-71,1318,141,0,17651
1136,-474,396,-1336,0,-100,1600,132,0,17645
1119,-656,337,-1536,0,-141,1600,132,0,17645
1111,-792,274,-1731,0,-263,1904,126,0,17642
1215,-978,300,-1974,0,-569,2207,114,0,17629
1276,-1161,464,-2095,0,-900,2207,114,0,17629
1369,-1455,585,-2130,0,-1464,2392,95,0,17561
1405,-1616,494,-2191,0,-1764,2392,95,0,17561
1403,-1779,399,-2449,0,-1981,2392,95,0,17561
1445,-1877,338,-2727,0,-2066,2396,77,0,17499
1426,-1953,384,-3044,0,-2153,2396,77,0,17499

