포핸드 드라이브 ,백핸드 커트 ,Matching,73
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1526,-681,-517,254,0,1725,1442,155,0,54
1397,-540,-526,239,0,1483,1235,156,0,59
1357,-486,-520,234,0,1343,1235,156,0,59
1263,-392,-516,252,0,1223,1235,156,0,59
1152,-297,-553,281,0,1130,1165,156,0,59
1018,-222,-585,289,0,999,1030,157,0,60
924,-126,-631,251,0,784,1030,157,0,60
813,-72,-590,-137,0,-23,1054,161,0,48
795,-72,-554,-232,0,-230,1054,161,0,48
786,-90,-492,-281,0,-464,1054,161,0,48
806,-117,-506,-300,0,-658,1054,161,0,48
856,-173,-584,-384,0,-875,1111,163,0,44
897,-260,-570,-508,0,-992,1185,164,0,40
887,-378,-430,-608,0,-1140,1376,167,0,31
914,-462,-399,-618,0,-1269,1376,167,0,31
996,-603,-474,-623,0,-1416,1550,168,0,26
1061,-676,-566,-674,0,-1501,1714,171,0,13
1127,-760,-494,-729,0,-1569,1714,171,0,13
1196,-844,-328,-673,0,-1658,2027,172,0,6
1255,-957,-344,-561,0,-1740,2422,172,0,-13
1298,-1090,-555,-492,0,-1869,2422,172,0,-13
1584,-1407,-403,-780,0,-2372,2422,172,0,-13
1740,-1512,-420,-684,0,-2521,2539,168,0,-33
1872,-1609,-432,-621,0,-2613,2539,168,0,-33
1931,-1669,-453,-576,0,-2713,2539,168,0,-33
1876,-1634,-528,-611,0,-2804,2491,167,0,-41
1844,-1552,-648,-795,0,-2979,2491,161,0,-57
1849,-1466,-603,-989,0,-3164,2491,161,0,-57
1993,-1409,-443,-1148,0,-3398,2509,154,0,-80
2150,-1396,-295,-1199,0,-3510,2509,154,0,-80
2267,-1445,-228,-1179,0,-3509,2509,154,0,-80
2154,-1421,-261,-1132,0,-3467,2200,150,0,-96
2002,-1318,-360,-1096,0,-3464,2200,150,0,-96
1913,-1184,-431,-1081,0,-3522,2073,148,0,-104
1930,-1084,-452,-1092,0,-3547,1897,143,0,-119
1865,-995,-338,-1108,0,-3493,1897,143,0,-119
1769,-917,-304,-1064,0,-3430,1731,142,0,-127
1648,-827,-345,-980,0,-3379,1594,139,0,-142
1581,-758,-409,-915,0,-3361,1594,139,0,-142
1441,-648,-435,-820,0,-3342,1534,137,0,-156
1403,-544,-501,-751,0,-3352,1534,137,0,-156
1396,-482,-575,-712,0,-3350,1488,135,0,-164
1313,-393,-606,-637,0,-3360,1476,133,0,-176
1333,-317,-596,-526,0,-3368,1476,133,0,-176
1324,-210,-618,-300,0,-3313,1479,131,0,-187
1314,-188,-744,-148,0,-3185,1479,131,0,-187
1192,-191,-991,-100,0,-2960,1403,129,0,-194
990,-167,-1103,-141,0,-2827,1278,125,0,-206
830,-79,-1103,-173,0,-2786,1278,125,0,-206
759,-16,-1049,-112,0,-2826,1263,123,0,-212
803,42,-987,41,0,-2847,1261,119,0,-223
864,-32,-986,175,0,-2751,1261,119,0,-223
782,-50,-1021,300,0,-2574,1170,112,0,-237
552,-51,-1124,420,0,-2368,1170,112,0,-237
403,-17,-1180,463,0,-2289,1170,112,0,-237
288,13,-1161,498,0,-2231,1078,108,0,-246
296,-9,-1118,530,0,-2147,1078,108,0,-246
209,-54,-1036,592,0,-1970,1109,107,0,-248
142,-45,-1017,654,0,-1843,1230,104,0,-55
30,-20,-1038,707,0,-1708,1230,104,0,-55

