포핸드 드라이브 ,백핸드 쇼트 ,Matching,20
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1171,-265,-61,-218,0,-291,1119,106,0,-2173
1130,-275,-99,-299,0,-295,1119,106,0,-2173
1071,-257,-135,-377,0,-297,1119,106,0,-2173
1068,-266,-122,-455,0,-308,1146,105,0,-2175
1033,-252,-79,-502,0,-306,1192,103,0,-2193
1014,-259,-44,-497,0,-328,1192,103,0,-2193
1010,-246,-129,-503,0,-363,1192,103,0,-2193
1054,-279,-168,-581,0,-389,1192,103,0,-2193
1088,-272,-95,-712,0,-429,1257,102,0,-2199
1115,-254,64,-733,0,-464,1321,100,0,-2216
1149,-269,109,-653,0,-480,1321,100,0,-2216
1119,-264,4,-579,0,-480,1420,97,0,-2255
1127,-253,-15,-627,0,-484,1420,97,0,-2255
1127,-283,60,-733,0,-503,1420,97,0,-2255
1173,-271,105,-798,0,-556,1540,95,0,-2271
1267,-287,218,-893,0,-642,1754,92,0,-2293
1357,-289,298,-960,0,-707,1754,92,0,-2293
1485,-317,387,-1040,0,-793,1862,88,0,-2310
1603,-360,397,-1118,0,-861,1862,88,0,-2310
1710,-398,426,-1276,0,-962,1894,86,0,-2318
1749,-407,373,-1424,0,-1079,1929,81,0,-2330
1783,-371,375,-1593,0,-1200,1929,81,0,-2330
1749,-359,415,-1738,0,-1374,1983,77,0,-2340
1868,-416,443,-1772,0,-1572,1983,77,0,-2340
2066,-521,391,-1830,0,-1833,1938,75,0,-2346
2125,-575,336,-1916,0,-1948,1777,71,0,-2357
2056,-569,302,-2049,0,-2044,1777,71,0,-2357
1978,-562,256,-2121,0,-2073,1613,70,0,-2362
1851,-522,157,-2159,0,-2095,1436,70,0,-2371
1713,-430,186,-2140,0,-2140,1436,70,0,-2371
1712,-338,152,-2061,0,-2200,1260,71,0,-2377
1629,-414,28,-2024,0,-2182,1024,132,0,-2474
1589,-409,-94,-2046,0,-2190,1024,132,0,-2474
1456,-363,-78,-2045,0,-2175,1024,132,0,-2474
1411,-345,-55,-1938,0,-2175,1024,132,0,-2474
1302,-388,-142,-1708,0,-2146,1024,132,0,-2474
1208,-326,-264,-1574,0,-2129,1024,132,0,-2474
1040,-291,-423,-1505,0,-2137,1024,132,0,-2474
1027,-217,-481,-1486,0,-2130,1024,132,0,-2474
965,-300,-442,-1373,0,-1981,1024,132,0,-2474
864,-307,-458,-1198,0,-1832,1024,132,0,-2474
705,-268,-584,-1054,0,-1734,1042,149,0,-2494
676,-230,-681,-1011,0,-1697,1056,165,0,-2514
714,-265,-619,-987,0,-1623,1075,157,0,-2528
662,-332,-627,-838,0,-1490,1136,130,0,-2550
536,-280,-704,-671,0,-1380,1136,130,0,-2550
424,-218,-773,-443,0,-1287,1136,130,0,-2550
379,-218,-864,-310,0,-1226,1136,130,0,-2550
303,-254,-998,-246,0,-1160,1136,130,0,-2550
327,-218,-1035,-245,0,-1065,1181,127,0,-2551
284,-141,-1023,-206,0,-868,1209,125,0,-2550
202,-89,-1017,-126,0,-737,1209,125,0,-2550
144,-18,-1078,-40,0,-672,1240,120,0,-2549
182,39,-1180,-19,0,-613,1240,120,0,-2549
222,99,-1160,-40,0,-533,1240,120,0,-2549
183,184,-1122,-32,0,-413,1291,120,0,-2549
153,178,-1132,-19,0,-354,1368,118,0,-2546
148,157,-1153,-36,0,-314,1479,117,0,-2544
103,123,-1144,-56,0,-289,1479,117,0,-2544
53,134,-1151,-37,0,-259,1660,116,0,-2542

