포핸드 드라이브 ,포핸드 쇼트 ,Matching,67
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1053,-235,-483,-1127,0,-2010,1023,122,0,-2104
958,-169,-357,-1075,0,-1974,1016,153,0,-2145
864,-160,-410,-827,0,-1866,1016,153,0,-2145
802,-181,-618,-676,0,-1754,1010,173,0,-2161
746,-201,-794,-693,0,-1642,986,165,0,-2186
724,-177,-752,-761,0,-1547,986,165,0,-2186
620,-84,-692,-739,0,-1405,986,165,0,-2186
532,-75,-696,-641,0,-1330,986,165,0,-2186
446,-71,-812,-542,0,-1267,986,165,0,-2186
409,-57,-878,-531,0,-1239,1010,163,0,-2189
406,-72,-812,-513,0,-1164,1010,163,0,-2189
307,-25,-804,-396,0,-1004,1095,161,0,-2190
201,18,-901,-293,0,-900,1194,158,0,-2192
130,69,-1052,-238,0,-846,1194,158,0,-2192
147,70,-1079,-240,0,-804,1220,157,0,-2193
152,80,-1103,-245,0,-694,1279,155,0,-2193
74,139,-1093,-238,0,-576,1279,155,0,-2193
-1,171,-1019,-148,0,-449,1418,153,0,-2192
-57,130,-1044,-49,0,-390,1418,153,0,-2192
-79,75,-1159,44,0,-310,1562,153,0,-2190
-91,25,-1204,99,0,-191,1763,154,0,-2185
-59,-76,-1220,177,0,-8,1763,154,0,-2185
-93,-226,-1271,285,0,251,2028,155,0,-2183
-96,-328,-1311,323,0,397,2197,160,0,-2177
-78,-438,-1288,368,0,552,2197,160,0,-2177
-88,-573,-1327,475,0,702,2620,162,0,-2172
40,-898,-1523,632,0,1010,3101,169,0,-2162
199,-1137,-1613,714,0,1374,3101,169,0,-2162
301,-1385,-1611,764,0,1900,3639,180,0,-2151
335,-1593,-1635,762,0,2245,3639,180,0,-2151
465,-2002,-1430,830,0,2520,4280,175,0,-2143
740,-2294,-1217,1093,0,2745,4675,162,0,-2123
1190,-2594,-871,1552,0,3170,4675,162,0,-2123
1721,-3173,-604,2375,0,4060,5247,146,0,-2098
2027,-3621,-717,2794,0,4705,5247,146,0,-2098
2788,-4386,-389,2832,0,5210,5268,140,0,-2086
3255,-4569,305,2938,0,5371,5072,127,0,-2064
3779,-4499,347,3209,0,5358,5072,127,0,-2064
3964,-4455,366,3195,0,5189,4566,121,0,-2054
4065,-4231,686,3126,0,4834,3813,111,0,-2039
3873,-3686,898,3105,0,4507,3813,111,0,-2039
3686,-3117,1082,3072,0,4066,3530,107,0,-2034
3613,-2655,1293,2948,0,3388,2892,101,0,-2027
3577,-2258,1526,2888,0,2888,2892,101,0,-2027
3170,-1695,1386,2732,0,2306,2352,96,0,-2023
2852,-1350,1057,2297,0,1904,2352,96,0,-2023
2548,-1054,1106,1500,0,1522,2005,94,0,-2022
2304,-833,1313,1101,0,1209,1571,90,0,-2022
2153,-608,1246,1016,0,865,1571,90,0,-2022
1951,-478,859,1009,0,694,1418,88,0,-2022
1630,-472,348,844,0,595,1243,86,0,-2022
1500,-480,185,686,0,596,1243,86,0,-2022
1369,-411,146,600,0,592,1135,83,0,-2024
1191,-307,61,595,0,523,1135,83,0,-2024
1085,-264,-121,582,0,407,1143,82,0,-2025
1138,-297,-255,478,0,282,1111,79,0,-2027
1129,-326,-244,417,0,260,1111,79,0,-2027
1039,-291,-301,387,0,218,1107,79,0,-2028
995,-283,-328,339,0,166,1113,77,0,-2031
993,-296,-366,231,0,90,1113,77,0,-2031

