포핸드 드라이브 ,포핸드 스메싱 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
732,793,-201,-1142,0,-1950,1377,128,0,24227
760,874,-125,-1090,0,-2349,1498,132,0,24222
1116,1103,-235,-925,0,-2559,1450,137,0,24212
1408,1096,-319,-849,0,-2328,1450,137,0,24212
1418,908,-277,-809,0,-1676,1306,141,0,24203
1099,854,-185,-729,0,-1244,1306,141,0,24203
773,866,-246,-584,0,-995,1374,143,0,24200
807,925,-357,-506,0,-973,1399,145,0,24196
849,1082,-480,-525,0,-1034,1385,145,0,24193
880,1080,-517,-631,0,-1142,1360,147,0,24188
960,992,-278,-716,0,-1297,1335,150,0,24180
936,1048,-162,-607,0,-1409,1335,150,0,24180
938,1097,-268,-441,0,-1510,1261,153,0,24171
921,890,-519,-395,0,-1572,1261,153,0,24171
932,765,-615,-537,0,-1622,1211,153,0,24166
945,729,-416,-751,0,-1669,1184,152,0,24157
806,701,-236,-760,0,-1712,1184,152,0,24157
597,583,-256,-596,0,-1873,1360,152,0,24152
511,475,-495,-465,0,-2118,1487,147,0,24139
497,502,-764,-456,0,-2457,1487,147,0,24139
639,511,-625,-480,0,-2626,1487,147,0,24139
882,428,-429,-335,0,-2525,1723,144,0,24133
674,328,-454,-151,0,-2245,1723,144,0,24133
598,196,-757,-37,0,-1907,2791,140,0,24129
352,32,-983,-81,0,-1497,2791,140,0,24129
217,36,-948,-167,0,-1269,3815,138,0,24127
248,-41,-857,-222,0,-985,4546,135,0,24127
94,2,-795,-190,0,-796,4546,135,0,24127
-215,-41,-1070,-200,0,-605,6490,115,0,24155
470,-1741,-669,-2127,0,-615,6490,115,0,24155
312,-3076,-683,-1574,0,250,6490,115,0,24155
-111,-4245,-1832,-1201,0,841,6490,115,0,24155
864,-5618,-2516,-1673,0,1752,9429,104,0,24167
4231,-6011,-806,-1231,0,4024,10575,93,0,24184
6176,-4665,2476,2517,0,9607,11954,80,0,24202
5558,-6417,-124,6420,0,11448,13903,59,0,24228
8802,-8288,-664,8715,0,10833,13903,59,0,24228
11507,-11760,-936,9752,0,9811,13260,64,0,24232
11977,-12721,-67,9308,0,8694,13260,64,0,24232
11248,-13080,277,8137,0,7207,11015,73,0,24221
10932,-12404,1061,7215,0,6766,7893,92,0,24145
9378,-10393,1413,6038,0,7502,7893,92,0,24145
7641,-8225,1526,4606,0,7181,5962,99,0,24128
6784,-6248,1983,2635,0,4982,4011,105,0,24130
6186,-4894,2132,1910,0,3755,4011,105,0,24130
4730,-3589,1735,1720,0,3071,2789,107,0,24136
3404,-2511,1145,1575,0,2338,2789,107,0,24136
2934,-2072,606,1298,0,1872,2576,109,0,24135
2616,-1508,609,873,0,1289,2294,108,0,24138
2442,-1229,659,676,0,913,2294,108,0,24138
2318,-1099,586,584,0,477,2105,101,0,24141
2224,-1009,374,474,0,253,2105,101,0,24141
2140,-1098,122,91,0,-14,2105,101,0,24141
1899,-1140,-78,-424,0,-275,1949,97,0,24141
1600,-1227,-259,-1317,0,-786,1929,93,0,24147
1515,-1232,-263,-2029,0,-1261,1919,85,0,24278
1502,-1280,-93,-2634,0,-1883,1919,85,0,24278
1540,-1313,34,-2790,0,-2317,1893,82,0,24294
1636,-1277,44,-2785,0,-2588,1792,78,0,24293
1666,-1330,-53,-2745,0,-2684,1601,72,0,24286

