포핸드 드라이브 ,포핸드 커트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
-4,10,1018,-2,0,-1,1019,1,0,297
-10,3,1024,-1,0,0,1016,2,0,297
-5,0,1020,1,0,1,1016,2,0,297
-16,-5,1017,0,0,-1,1016,2,0,297
-1,-2,1017,-1,0,1,1016,2,0,297
-11,0,1021,0,0,0,1016,2,0,297
10,-1,1007,-1,0,-2,1026,2,0,297
33,5,1021,-2,0,-2,1036,2,0,297
33,11,1014,-2,0,-1,1036,2,0,297
44,10,1027,1,0,-4,1052,2,0,297
44,14,1012,1,0,-1,1062,1,0,297
31,8,1006,-1,0,-8,1062,1,0,297
62,-10,1030,-3,0,-5,1109,1,0,297
3,-16,1038,-2,0,-7,1109,1,0,297
34,18,1085,0,0,-8,1133,1,0,297
-83,20,1194,-8,0,-5,1044,1,0,297
-197,138,1689,-25,0,3,1044,1,0,297
-14,-48,1093,127,0,-35,998,0,0,297
24,49,1039,113,0,-27,988,0,0,297
119,-51,919,130,0,-1,1049,0,0,297
91,-151,892,99,0,30,1255,0,0,297
120,-207,562,72,0,60,1255,0,0,297
-108,81,1288,0,0,55,1219,0,0,297
139,-474,478,95,0,20,1989,0,0,297
184,-397,164,80,0,51,1989,0,0,297
-1088,652,2730,213,0,-4,1018,1,0,297
-103,12,1029,-57,0,86,996,1,0,297
-30,23,974,60,0,-3,996,1,0,297
-14,26,902,114,0,-40,1087,2,0,297
22,21,990,114,0,-60,1087,2,0,297
252,162,1066,110,0,-29,1061,2,0,297
-3,-28,1093,-66,0,-23,1034,3,0,297
-53,-35,1305,63,0,-56,1034,3,0,297
-56,-218,1043,236,0,-91,1034,3,0,297
-48,-35,1038,-84,0,49,1028,3,0,297
-24,-9,1040,-104,0,46,1026,4,0,297
-46,4,1031,-97,0,40,1023,5,0,297
-78,-11,1046,-71,0,20,1023,5,0,297
-71,-39,1062,-15,0,-10,967,5,0,297
-34,-99,976,39,0,-22,955,5,0,298
-17,-125,921,38,0,0,955,5,0,298
-48,-126,916,-9,0,48,1000,5,0,298
-72,-110,970,-39,0,70,1034,5,0,298
-54,-80,1015,-20,0,92,1034,5,0,298
-60,-71,1049,28,0,109,1018,6,0,298
-89,-74,1050,108,0,118,966,6,0,298
-76,-93,1007,149,0,88,966,6,0,298
-20,-123,936,143,0,63,988,6,0,298
21,-135,927,91,0,75,988,6,0,298
30,-160,956,34,0,99,1018,5,0,298
65,-116,1017,-21,0,145,1012,5,0,299
39,-100,1093,-13,0,176,1012,5,0,299
17,-76,1077,58,0,163,996,6,0,298
-11,-65,1024,114,0,114,996,6,0,298
-53,-78,996,163,0,-11,994,6,0,298
-7,-99,967,169,0,-117,1030,7,0,298
105,-125,973,143,0,-200,1030,7,0,298
165,-141,1009,118,0,-188,1030,7,0,298
103,-139,1039,101,0,-144,1001,5,0,297
54,-112,1014,113,0,-122,1001,5,0,297

