포핸드 쇼트 ,포핸드 커트 ,Matching,35
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
964,172,516,563,0,625,1106,54,0,33211
949,199,507,425,0,657,1121,54,0,33191
922,230,580,286,0,718,1121,54,0,33191
939,223,614,226,0,807,1102,122,0,33132
922,222,605,162,0,933,1102,122,0,33132
829,195,502,59,0,973,1102,122,0,33132
771,170,316,-225,0,937,1102,122,0,33132
836,111,305,-533,0,914,1102,122,0,33132
998,51,445,-893,0,941,1214,120,0,33134
1067,24,549,-1088,0,1020,1229,116,0,33139
1067,-58,590,-1223,0,1078,1229,116,0,33139
1078,-160,513,-1383,0,1073,1270,108,0,33145
1107,-226,319,-1562,0,1012,1270,108,0,33145
1122,-236,142,-1976,0,883,1437,105,0,33149
1152,-286,234,-2321,0,711,1657,96,0,33159
1284,-356,447,-2621,0,442,1657,96,0,33159
1452,-452,495,-2745,0,252,1744,90,0,33174
1570,-585,485,-2863,0,91,1745,79,0,33234
1564,-702,428,-2957,0,7,1745,79,0,33234
1488,-801,276,-3137,0,-142,1779,73,0,33262
1401,-860,162,-3314,0,-376,1964,64,0,33281
1455,-873,151,-3482,0,-698,1964,64,0,33281
1611,-927,272,-3591,0,-1057,2049,57,0,33285
1695,-1006,334,-3608,0,-1247,2049,57,0,33285
1723,-1092,427,-3553,0,-1451,2002,55,0,33285
1756,-1131,487,-3456,0,-1585,1799,56,0,33280
1627,-1164,428,-3324,0,-1738,1799,56,0,33280
1519,-1096,336,-3244,0,-1921,1701,56,0,33277
1514,-946,372,-3137,0,-2157,1529,69,0,33260
1603,-775,435,-2944,0,-2272,1529,69,0,33260
1563,-719,552,-2664,0,-2239,1529,69,0,33260
1479,-653,506,-2280,0,-2142,1529,69,0,33260
1410,-581,430,-2037,0,-2053,1328,72,0,33255
1313,-512,317,-1808,0,-1949,1164,79,0,33243
1232,-424,196,-1699,0,-1886,1164,79,0,33243
1225,-336,86,-1622,0,-1820,1062,90,0,33230
1226,-276,30,-1559,0,-1744,1062,90,0,33230
1076,-178,53,-1422,0,-1664,1022,96,0,33222
1042,-106,22,-1302,0,-1650,1000,126,0,33188
1056,-61,0,-1168,0,-1634,1000,126,0,33188
1059,-11,-45,-988,0,-1611,1000,126,0,33188
1024,18,-95,-843,0,-1581,994,168,0,33150
970,58,-246,-697,0,-1563,994,168,0,33150
960,89,-344,-636,0,-1554,979,115,0,33121
962,113,-472,-625,0,-1484,979,115,0,33121
956,134,-498,-643,0,-1390,979,115,0,33121
919,194,-390,-621,0,-1246,979,115,0,33121
891,197,-369,-526,0,-1126,979,115,0,33121
853,204,-436,-425,0,-1020,998,115,0,33119
796,217,-517,-347,0,-955,1037,115,0,33113
806,247,-570,-293,0,-937,1037,115,0,33113
819,274,-634,-239,0,-931,1037,115,0,33113
788,272,-659,-196,0,-911,1037,115,0,33113
704,225,-711,-114,0,-863,1093,115,0,33113
664,163,-767,-64,0,-789,1157,117,0,33110
668,56,-811,-30,0,-584,1157,117,0,33110
645,-70,-871,-79,0,-331,1305,118,0,33110
624,-273,-936,-245,0,22,1447,123,0,33109
682,-406,-882,-388,0,289,1447,123,0,33109
697,-565,-785,-477,0,493,1691,126,0,33107

