포핸드 쇼트 ,포핸드 쇼트 ,Matching,91
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1184,-54,-94,-1613,0,-1305,1161,95,0,28547
1190,-28,-139,-1480,0,-1284,1110,104,0,28550
1228,3,-169,-1348,0,-1238,1110,104,0,28550
1124,52,-199,-1171,0,-1183,1092,115,0,28549
1056,98,-226,-1034,0,-1227,1092,115,0,28549
1020,150,-332,-894,0,-1345,1092,115,0,28549
1020,168,-390,-836,0,-1361,1092,115,0,28549
1005,184,-407,-807,0,-1309,1040,116,0,28543
982,214,-386,-777,0,-1265,1040,116,0,28543
946,254,-428,-685,0,-1212,1016,117,0,28536
909,267,-491,-607,0,-1158,1016,117,0,28536
814,287,-561,-557,0,-1083,1000,117,0,28534
779,292,-576,-574,0,-1055,987,117,0,28529
746,274,-571,-620,0,-1026,987,117,0,28529
736,235,-513,-636,0,-987,1046,116,0,28529
767,172,-506,-586,0,-923,1211,115,0,28527
746,77,-588,-473,0,-794,1211,115,0,28527
719,-27,-700,-387,0,-665,1412,112,0,28526
738,-246,-847,-315,0,-474,1793,106,0,28529
806,-500,-884,-261,0,-279,1793,106,0,28529
774,-841,-894,-99,0,0,2289,98,0,28532
752,-1117,-833,116,0,172,2289,98,0,28532
790,-1427,-816,591,0,460,2735,94,0,28534
846,-1717,-1253,973,0,868,3384,82,0,28538
1069,-2035,-1865,1085,0,1442,3384,82,0,28538
1559,-2189,-1706,1099,0,2377,3676,71,0,28540
1928,-2244,-834,1756,0,3055,3676,71,0,28540
3088,-1688,417,3878,0,4026,3805,62,0,28529
3412,-1162,469,5750,0,4581,3805,62,0,28529
3842,-692,198,6875,0,4448,3659,61,0,28516
3899,-469,397,6711,0,3732,3388,63,0,28502
3399,-665,646,5819,0,2441,3197,69,0,28472
3447,-874,961,4717,0,1420,3197,69,0,28472
3414,-894,1138,3593,0,821,2712,72,0,28462
2951,-722,1349,2520,0,385,1831,81,0,28446
2535,-582,1460,2165,0,245,1831,81,0,28446
2035,-390,1229,2028,0,235,1507,91,0,28434
1752,-236,995,1913,0,190,1507,91,0,28434
1554,-97,896,1730,0,89,1507,91,0,28434
1503,-21,892,1600,0,76,1447,98,0,28430
1375,60,883,1421,0,181,1447,98,0,28430
1232,93,884,1258,0,246,1379,100,0,28430
1067,170,903,1063,0,283,1338,104,0,28430
982,232,930,942,0,323,1338,104,0,28430
900,290,957,826,0,380,1334,107,0,28432
832,319,1024,700,0,423,1334,107,0,28432
788,353,1028,597,0,472,1325,107,0,28435
764,383,1037,382,0,593,1302,106,0,28440
738,397,1025,163,0,705,1302,106,0,28440
872,395,778,-1393,0,1109,1370,90,0,28471
1029,358,904,-1669,0,1192,1370,90,0,28471
1139,269,857,-1860,0,1269,1370,90,0,28471
1208,160,747,-2060,0,1246,1370,90,0,28471
1295,-21,395,-2933,0,601,1563,86,0,28502
1456,-85,348,-3239,0,391,1659,76,0,28582
1528,-123,369,-3396,0,248,1659,76,0,28582
1586,-186,365,-3403,0,-15,1852,72,0,28591
1663,-287,299,-3341,0,-278,1887,68,0,28596
1769,-407,217,-3272,0,-607,1945,64,0,28596
1861,-496,245,-3192,0,-800,1955,58,0,28597

