포핸드 쇼트 ,백핸드 커트 ,Matching,40
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
772,-303,-521,154,0,384,978,124,0,21038
751,-290,-531,99,0,401,978,124,0,21038
755,-272,-502,-12,0,404,997,126,0,21036
765,-262,-478,-109,0,382,997,126,0,21036
742,-305,-445,-245,0,298,1044,127,0,21034
779,-256,-417,-327,0,197,1116,131,0,21032
812,-231,-380,-387,0,111,1116,131,0,21032
896,-247,-391,-467,0,40,1179,134,0,21028
944,-300,-418,-558,0,19,1179,134,0,21028
1009,-282,-451,-699,0,33,1202,137,0,21023
994,-252,-394,-946,0,42,1202,137,0,21023
971,-247,-342,-1034,0,2,1238,141,0,21015
959,-230,-304,-1079,0,-86,1238,141,0,21015
1011,-188,-256,-1045,0,-241,1238,141,0,21015
1061,-188,-278,-992,0,-350,1598,144,0,21007
1187,-186,-373,-987,0,-450,1598,144,0,21007
1296,-190,-427,-1047,0,-494,1724,145,0,21002
1391,-193,-465,-1153,0,-554,1786,147,0,20997
1471,-172,-475,-1219,0,-668,1844,149,0,20985
1601,-178,-464,-1240,0,-926,1844,149,0,20985
1746,-228,-354,-1150,0,-1243,1891,154,0,20972
1881,-257,-351,-922,0,-1786,1891,154,0,20972
1948,-277,-472,-815,0,-2223,1817,160,0,20949
2005,-288,-609,-860,0,-2608,1817,160,0,20949
1965,-299,-670,-931,0,-3076,1817,160,0,20949
1903,-361,-659,-868,0,-3553,1490,162,0,20928
1912,-156,-575,-557,0,-4071,1490,162,0,20928
1815,-179,-615,-289,0,-4189,1490,162,0,20928
1817,-63,-742,-96,0,-4047,1041,154,0,20909
1660,-108,-725,-22,0,-3714,1041,154,0,20909
1322,-57,-569,92,0,-3240,1041,154,0,20909
1095,21,-538,214,0,-2900,1041,154,0,20909
919,-57,-590,308,0,-2610,967,152,0,20905
552,19,-717,357,0,-2335,1003,144,0,20902
825,14,-738,303,0,-2112,1003,144,0,20902
708,-1,-660,276,0,-1694,1013,138,0,20901
557,-62,-571,330,0,-1368,1013,138,0,20901
378,-130,-575,484,0,-985,1190,133,0,20903
257,-101,-676,570,0,-746,1449,124,0,20908
159,-66,-699,596,0,-556,1449,124,0,20908
77,-52,-748,630,0,-290,1841,104,0,20928
-47,-54,-1020,579,0,34,1841,104,0,20928
-60,-169,-1122,405,0,241,1841,104,0,20928
-77,-257,-1162,211,0,406,1841,104,0,20928
-36,-396,-1083,48,0,563,2228,98,0,20935
121,-941,-1252,165,0,1288,2857,93,0,20943
268,-1131,-1231,391,0,1656,3512,79,0,20967
379,-1520,-1507,656,0,2202,3512,79,0,20967
673,-1825,-1639,808,0,2664,3512,79,0,20967
1031,-2205,-1744,961,0,3222,4261,74,0,20976
1589,-2709,-1910,1124,0,3977,4822,72,0,20985
2092,-3054,-2014,1340,0,4521,5166,68,0,21001
2751,-3514,-2139,1986,0,5127,5166,68,0,21001
3248,-3669,-2205,2700,0,5403,5051,69,0,21009
4032,-3766,-2341,3444,0,5465,4522,73,0,21023
4350,-3641,-2102,3773,0,5256,4522,73,0,21023
4402,-3039,-1667,3838,0,4515,3915,76,0,21030
4304,-2664,-1489,3479,0,3768,3575,80,0,21038
4498,-2243,-841,2483,0,3030,3195,84,0,21048
4463,-1779,-49,1763,0,2629,2793,91,0,21067

