포핸드 쇼트 ,포핸드 스메싱 ,Matching,85
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1287,400,587,-140,0,-250,1377,89,0,2977
1277,353,599,-237,0,-254,1377,89,0,2977
1274,287,570,-352,0,-217,1313,93,0,2980
1255,207,505,-621,0,-124,1313,93,0,2980
1142,154,503,-898,0,-96,1346,108,0,2976
1198,124,571,-1248,0,-246,1346,108,0,2976
1449,54,560,-1407,0,-369,1346,108,0,2976
1674,-37,466,-1518,0,-420,1346,108,0,2976
1579,-67,299,-1610,0,-490,1346,108,0,2976
1314,-49,281,-1748,0,-781,1391,112,0,2971
1360,-100,175,-1938,0,-1281,1418,120,0,2963
1476,-220,57,-2106,0,-1459,1418,120,0,2963
1458,-364,-137,-2207,0,-1478,1335,123,0,2959
1287,-366,-274,-2171,0,-1463,1294,129,0,2951
1143,-339,-352,-2001,0,-1568,1294,129,0,2951
1114,-355,-395,-1776,0,-1651,1386,132,0,2947
1107,-362,-566,-1491,0,-1699,1477,135,0,2940
1104,-392,-710,-1381,0,-1647,1477,135,0,2940
1087,-393,-820,-1300,0,-1501,1568,138,0,2937
1017,-368,-882,-1248,0,-1417,1568,138,0,2937
979,-336,-947,-1166,0,-1397,1810,137,0,2935
989,-348,-968,-995,0,-1403,2178,136,0,2934
866,-405,-1072,-816,0,-1433,2178,136,0,2934
641,-596,-1465,-745,0,-1504,2860,135,0,2935
358,-833,-1966,-995,0,-1403,3525,133,0,2937
-50,-1135,-2537,-1571,0,-954,3712,130,0,2940
-619,-1268,-2844,-1820,0,-224,4227,113,0,2958
-2119,-1190,-3111,-1106,0,527,4227,113,0,2958
-2367,-1738,-3277,292,0,875,4227,113,0,2958
-271,-2979,-2782,3068,0,3134,4769,96,0,2976
892,-3345,-3287,5139,0,5799,4769,96,0,2976
744,-4238,-2749,6198,0,6847,4289,89,0,2984
2198,-3839,-865,6718,0,5046,4083,84,0,2986
3520,-3885,-368,5124,0,3104,3790,80,0,2989
4158,-2607,1267,1645,0,1107,2573,79,0,2989
3364,-1172,2823,375,0,504,2573,79,0,2989
2130,-144,2327,631,0,389,1735,78,0,2989
1593,185,1386,958,0,400,1372,76,0,2988
1350,204,645,1036,0,412,1372,76,0,2988
1308,176,434,932,0,393,1349,75,0,2987
1314,159,360,814,0,356,1330,75,0,2987
1297,194,377,735,0,300,1322,74,0,2985
1255,236,331,677,0,250,1326,75,0,2984
1261,254,249,510,0,188,1350,76,0,2982
1299,238,274,357,0,169,1350,76,0,2982
1282,244,311,218,0,115,1362,77,0,2981
1239,243,332,105,0,4,1377,87,0,2975
1256,219,316,-70,0,-118,1377,87,0,2975
1311,229,325,-219,0,-144,1377,87,0,2975
1307,264,349,-383,0,-79,1377,87,0,2975
1312,265,412,-460,0,-32,1372,95,0,2971
1316,211,402,-527,0,-33,1372,95,0,2971
1278,95,324,-695,0,-176,1447,101,0,2969
1371,14,280,-931,0,-352,1495,114,0,2963
1573,-52,280,-1300,0,-506,1495,114,0,2963
1584,-55,356,-1529,0,-583,1373,140,0,2951
1554,-34,399,-1651,0,-756,1373,140,0,2951
1494,-85,366,-1627,0,-959,1373,140,0,2951
1379,-173,150,-1605,0,-1256,1373,140,0,2951
1356,-285,-12,-1684,0,-1417,1293,145,0,2944

