포핸드 드라이브 ,포핸드 커트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
79,-5,1014,75,0,15,1042,0,0,-50
-141,-8,1052,-72,0,4,1018,0,0,-50
-144,10,1093,55,0,-9,1018,0,0,-50
126,-15,1047,-97,0,-16,970,0,0,-50
127,5,1138,28,0,3,970,0,0,-50
-102,-86,823,-55,0,18,1102,0,0,-50
-165,5,1119,-66,0,2,1061,1,0,-50
-142,37,1082,99,0,-13,1061,1,0,-50
143,12,1124,-146,0,-16,958,0,0,-50
151,20,1172,52,0,3,958,0,0,-50
-106,-103,811,-63,0,24,1087,0,0,-50
-188,-4,1124,-79,0,6,1014,1,0,-50
-130,67,1262,140,0,-19,1014,1,0,-50
156,-93,802,-172,0,-21,1295,1,0,-50
132,40,1266,56,0,2,1317,0,0,-50
148,-118,271,201,0,32,1317,0,0,-50
-124,72,1352,-172,0,3,1260,0,0,-50
-239,-2,1065,137,0,-11,1423,0,0,-50
38,-193,196,29,0,-30,1423,0,0,-50
268,59,1091,-50,0,1,1857,0,0,-50
188,55,1730,231,0,23,1857,0,0,-50
-225,107,-103,-144,0,-16,3372,1,0,-50
-25,56,348,68,0,-21,4127,1,1,-48
366,-401,-5500,56,0,-23,2797,1,10,-48
38,32,1617,-23,0,155,4500,2,8,-48
979,-148,7465,428,0,27,1614,4,59,-49
-587,148,5598,38,0,140,611,4,27,-47
-262,172,-450,825,0,512,672,5,0,-48
-455,-7,88,409,0,426,976,5,0,-48
-422,15,482,81,0,274,976,5,0,-48
-271,-138,808,16,0,112,1086,7,0,-48
-203,-45,1143,52,0,12,1086,7,0,-48
78,-144,1137,24,0,-14,998,7,0,-48
-62,-99,998,78,0,18,994,8,0,-48
-258,-49,1255,169,0,-9,923,9,0,-49
-168,-234,742,75,0,-65,1046,10,0,-49
-120,-182,1075,71,0,-170,976,11,0,-51
20,-11,1137,185,0,-230,976,11,0,-51
173,-26,879,242,0,-233,1053,12,0,-51
-59,-115,810,27,0,-215,1053,12,0,-51
-136,-60,1095,-8,0,-226,980,13,0,-52
-28,-182,827,74,0,-202,1175,15,0,-52
-231,-228,220,-35,0,-165,1175,15,0,-52
71,-320,1659,357,0,-241,687,16,0,-53
367,-292,249,425,0,-196,687,16,0,-53
86,19,682,244,0,-144,689,16,0,-54
15,-86,201,212,0,-122,1138,16,0,-54
368,-494,403,56,0,-110,1138,16,0,-54
296,-90,891,390,0,-11,1422,16,0,-54
147,-338,1411,-101,0,-174,1374,16,0,-56
373,-345,1666,508,0,-17,1374,16,0,-56
-708,-477,1296,951,0,155,1206,17,0,-56
83,-474,1014,-79,0,-358,1331,15,0,-57
117,-467,1044,-30,0,-398,1331,15,0,-57
136,-538,1149,3,0,-411,1387,15,0,-58
171,-560,1247,-3,0,-394,1387,15,0,-58
228,-602,1293,-23,0,-372,1307,17,0,-58
243,-615,1146,-62,0,-319,1289,21,0,-59
200,-654,854,-234,0,-244,1289,21,0,-59
126,-664,1055,-320,0,-261,1326,29,0,-57

